postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
AL100AB,AL10 0AB,AL,100,0,100,0,0,0,0,50.0,65.0,8.3,200.0,8.5,14.6,102.9,0,3.0,4.8,0.7,12.0,0.8,1.2,7.6,0,0,0,2,10,16,0,103.2,121.1,55.8,138.8,0
AL100AD,AL10 0AD,AL,100,0,100,0,0,0,0,150.0,137.5,50.0,200.0,0,0,137.5,0,9.0,8.3,3.0,12.0,0,0,8.3,0,0,0,0,0,4,0,156.4,0,0,156.4,0
AL100AE,AL10 0AE,AL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AL100AG,AL10 0AG,AL,100,0,100,0,0,0,0,70.0,95.2,6.6,200.0,7.4,7.4,130.4,0,5.0,6.4,0.8,12.0,0.9,0.9,8.6,0,0,0,2,0,5,0,61.7,55.5,55.5,64.2,0
AL100AH,AL10 0AH,AL,100,0,100,0,0,0,0,70.0,89.6,4.8,200.0,5.2,9.9,117.8,0,6.0,7.1,0.6,20.0,0.7,0.9,9.2,0,0,1,1,4,17,0,145.2,146.2,180.1,135.5,0
AL100AJ,AL10 0AJ,AL,100,0,100,0,0,0,0,25.3,52.1,5.8,150.0,5.9,7.5,96.7,0,3.6,4.8,0.8,10.0,0.9,0.9,8.7,0,0,0,2,1,3,0,181.8,165.1,131.8,231.9,0
AL100AL,AL10 0AL,AL,100,0,100,0,0,0,0,50.0,55.2,0.5,200.0,6.1,7.7,87.8,0,3.0,4.1,0.5,12.0,0.8,1.3,6.1,0,1,3,6,1,16,0,167.1,99.4,90.9,212.7,0
AL100AN,AL10 0AN,AL,100,0,100,0,0,0,0,50.0,73.3,3.3,200.0,7.0,7.6,106.2,0,5.0,5.5,0.7,12.0,0.9,1.0,7.9,0,0,2,10,2,28,0,152.1,90.8,109.2,183.5,0
AL100AQ,AL10 0AQ,AL,100,0,100,0,0,0,0,45.8,54.1,1.6,200.0,3.1,10.7,84.2,0,3.0,5.1,0.5,20.0,0.6,0.9,8.0,0,1,1,0,7,13,0,110.8,31.0,65.9,141.8,0
AL100AT,AL10 0AT,AL,100,0,100,0,0,0,0,24.0,52.7,7.1,200.0,8.0,18.9,93.2,0,1.3,4.3,0.8,20.0,1.1,1.0,8.8,0,0,0,3,15,15,0,125.8,27.7,89.6,165.8,0
AL100AU,AL10 0AU,AL,100,0,100,0,0,0,0,30.0,57.8,11.6,200.0,0,20.3,87.8,0,2.0,3.8,0.4,12.0,0,1.1,6.4,0,0,0,0,12,15,0,183.5,0,146.3,177.8,0
AL100AW,AL10 0AW,AL,100,0,100,0,0,0,0,55.0,76.8,15.4,200.0,0,20.2,94.2,0,5.0,5.1,0.8,12.0,0,0.9,6.4,0,0,0,0,4,13,0,207.0,0,419.6,141.6,0
AL100AX,AL10 0AX,AL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AL100AY,AL10 0AY,AL,100,0,100,0,0,0,0,50.0,55.9,14.3,200.0,0,19.1,82.1,0,3.0,3.9,0.4,12.0,0,1.0,6.0,0,0,0,0,5,7,0,54.0,0,26.6,104.3,0
AL100AZ,AL10 0AZ,AL,100,0,100,0,0,0,0,21.8,40.0,1.5,152.0,4.7,15.0,69.7,0,1.3,3.0,0.3,12.0,0.6,0.9,5.5,0,1,0,1,11,11,0,124.3,2.5,91.9,115.8,0
AL100BA,AL10 0BA,AL,100,0,100,0,0,0,0,50.0,63.0,5.0,200.0,7.0,15.5,76.9,0,3.0,4.4,0.8,12.0,1.0,1.0,5.4,0,0,0,2,5,24,0,217.7,50.4,134.1,190.4,0
AL100BB,AL10 0BB,AL,100,0,100,0,0,0,0,65.0,71.8,17.0,200.0,0,19.3,100.0,0,4.0,4.7,0.8,12.0,0,1.0,6.6,0,0,0,0,7,13,0,178.5,0,246.7,141.8,0
AL100BD,AL10 0BD,AL,100,0,100,0,0,0,0,50.0,60.3,8.2,200.0,8.9,15.5,82.7,0,3.0,5.1,0.8,16.8,1.1,1.0,7.2,0,0,0,2,7,18,0,193.7,79.3,173.6,204.4,0
AL100BE,AL10 0BE,AL,100,0,100,0,0,0,0,70.0,77.5,2.7,200.0,2.7,18.0,105.7,0,5.0,5.2,0.2,12.0,0.2,1.1,7.6,0,0,1,0,8,19,0,176.6,77.9,135.5,195.9,0
AL100BG,AL10 0BG,AL,100,0,100,0,0,0,0,50.0,60.3,2.2,200.0,4.4,17.6,92.9,0,3.0,3.8,0.6,12.0,0.6,1.0,6.0,0,0,1,1,11,17,0,133.0,151.0,104.7,143.5,0
AL100BH,AL10 0BH,AL,100,0,100,0,0,0,0,50.0,46.9,16.1,79.2,0,16.1,51.3,0,3.0,4.8,0.8,20.0,0,0.8,5.4,0,0,0,0,1,7,0,68.0,0,18.0,84.8,0
AL100BJ,AL10 0BJ,AL,100,0,100,0,0,0,0,18.6,29.5,11.0,80.0,0,16.9,71.6,0,1.2,1.9,0.8,10.0,0,1.1,10.0,0,0,0,0,10,3,0,112.4,0,107.0,130.3,0
AL100BL,AL10 0BL,AL,100,0,100,0,0,0,0,50.0,69.5,13.9,200.0,0,17.7,105.7,0,3.0,4.8,0.9,12.0,0,1.1,7.4,0,0,0,0,7,10,0,43.6,0,45.1,42.6,0
AL100BN,AL10 0BN,AL,100,0,100,0,0,0,0,50.0,50.4,17.5,79.8,0,17.5,58.7,0,3.0,4.2,0.8,10.0,0,0.8,5.3,0,0,0,0,1,4,0,130.7,0,83.1,159.0,0
