postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
BA100AA,BA10 0AA,BA,100,0,100,0,0,0,0,22.3,25.4,14.3,74.8,0,21.6,57.3,0,1.2,1.4,1.0,4.9,0,1.4,0,0,0,0,0,17,2,0,112.1,0,116.3,40.0,0
BA100AB,BA10 0AB,BA,100,0,100,0,0,0,0,22.4,33.8,8.1,79.8,8.1,18.2,65.0,0,1.0,0.9,0.5,1.2,0,0.9,0,0,0,0,1,5,3,0,238.5,0,93.7,431.6,0
BA100AE,BA10 0AE,BA,100,0,100,0,0,0,0,8.2,12.5,8.1,23.1,8.4,12.5,0,0,0.8,0.8,0.4,1.2,0.6,0.8,0,0,0,0,5,2,0,0,105.2,154.1,105.2,0,0
BA100AF,BA10 0AF,BA,100,0,100,0,0,0,0,14.3,21.2,3.2,52.4,6.0,13.0,38.1,0,1.1,3.3,0.6,10.3,0.9,1.3,7.9,0,0,2,4,27,16,0,187.9,60.2,161.2,250.5,0
BA100AH,BA10 0AH,BA,100,0,100,0,0,0,0,22.6,25.4,8.1,54.9,8.1,19.6,48.6,0,1.2,2.4,0.4,10.0,0.4,1.1,10.0,0,0,0,1,11,3,0,72.7,0.1,63.3,110.3,0
BA100AJ,BA10 0AJ,BA,100,0,100,0,0,0,0,21.2,22.4,13.4,40.0,0,18.9,39.9,0,1.2,1.1,1.0,1.3,0,1.1,0,0,0,0,0,10,2,0,74.9,0,70.1,113.0,0
BA100AL,BA10 0AL,BA,100,0,100,0,0,0,0,21.3,33.5,11.8,79.9,0,18.6,60.2,0,1.2,4.1,0.8,20.0,0,1.1,13.3,0,0,0,0,9,5,0,142.4,0,83.0,249.3,0
BA100AN,BA10 0AN,BA,100,0,100,0,0,0,0,21.1,28.6,5.0,70.1,5.0,15.4,55.0,0,1.1,4.6,0.4,19.8,0.4,0.8,19.8,0,0,0,1,3,2,0,206.5,9.1,111.5,396.3,0
BA100AP,BA10 0AP,BA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA100AR,BA10 0AR,BA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA100AS,BA10 0AS,BA,100,0,100,0,0,0,0,20.2,19.1,6.8,23.3,6.8,19.1,0,0,1.2,1.0,0.4,1.2,0.4,1.0,0,0,0,0,1,16,0,0,20.7,0.0,20.7,0,0
BA100AT,BA10 0AT,BA,100,0,100,0,0,0,0,20.3,24.4,12.3,54.9,0,20.0,54.9,0,1.2,2.4,0.9,10.0,0,1.3,10.0,0,0,0,0,7,1,0,64.8,0,60.8,92.4,0
BA100AU,BA10 0AU,BA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA100AW,BA10 0AW,BA,100,0,100,0,0,0,0,20.7,19.4,8.1,24.2,8.1,19.4,0,0,1.1,1.0,0.4,1.2,0.4,1.0,0,0,0,0,1,6,0,0,82.2,1.7,82.2,0,0
BA100AY,BA10 0AY,BA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA100AZ,BA10 0AZ,BA,100,0,100,0,0,0,0,19.5,20.7,5.4,40.0,6.8,14.9,37.9,0,1.0,3.6,0.7,20.0,0.7,0.9,20.0,0,0,0,2,4,2,0,103.6,5.9,74.9,189.5,0
BA100BA,BA10 0BA,BA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA100BB,BA10 0BB,BA,100,0,100,0,0,0,0,14.1,13.7,3.8,22.0,5.9,13.7,0,0,0.9,0.8,0.4,1.2,0.7,0.8,0,0,0,1,1,3,0,0,89.0,63.6,89.0,0,0
BA100BE,BA10 0BE,BA,100,0,100,0,0,0,0,20.6,19.7,16.6,21.5,0,19.7,0,0,1.2,1.2,0.9,1.2,0,1.2,0,0,0,0,0,9,0,0,44.3,0,44.3,0,0
BA100BG,BA10 0BG,BA,100,0,100,0,0,0,0,22.4,41.1,20.8,79.8,0,21.8,79.8,0,1.1,1.2,1.1,1.2,0,1.2,0,0,0,0,0,4,2,0,109.3,0,18.7,291.8,0
BA100BH,BA10 0BH,BA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA100BJ,BA10 0BJ,BA,100,0,100,0,0,0,0,21.8,29.1,8.1,80.0,8.1,18.9,80.0,0,1.2,1.1,0.4,1.4,0.4,1.1,0,0,0,0,1,4,1,0,77.2,20.9,58.0,173.2,0
BA100BN,BA10 0BN,BA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA100BP,BA10 0BP,BA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA100BQ,BA10 0BQ,BA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA100BR,BA10 0BR,BA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA100BS,BA10 0BS,BA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA100BT,BA10 0BT,BA,100,0,100,0,0,0,0,18.8,24.4,8.2,64.7,8.2,17.4,47.3,0,1.1,2.9,0.4,10.9,0.8,1.4,9.3,0,0,0,1,25,8,0,167.4,160.1,171.0,170.5,0
BA100BU,BA10 0BU,BA,100,0,100,0,0,0,0,18.9,17.2,4.1,22.1,6.1,17.2,0,0,1.2,1.6,0.6,7.2,0.8,1.6,0,0,0,1,1,10,0,0,107.7,51.2,107.7,0,0
BA100BW,BA10 0BW,BA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA100BX,BA10 0BX,BA,94,0,100,0,0,0,6,17.3,23.8,1.8,78.1,1.8,15.3,60.7,0,1.1,3.2,0.7,20.0,0,1.8,20.0,0,1,0,0,12,3,0,135.0,0,118.0,203.0,0
BA100BY,BA10 0BY,BA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA100BZ,BA10 0BZ,BA,100,0,100,0,0,0,0,18.9,17.9,0.3,32.8,0.3,16.8,32.8,0,1.1,1.6,0.6,8.1,0,1.1,8.1,0,1,0,0,12,1,0,76.6,0,79.2,45.9,0
BA100DA,BA10 0DA,BA,100,0,100,0,0,0,0,18.2,19.6,4.5,51.6,6.3,16.7,45.8,0,1.2,2.4,0.7,10.0,0.8,1.6,9.1,0,0,1,1,16,2,0,217.4,284.7,175.9,580.4,0
BA100DB,BA10 0DB,BA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA100DD,BA10 0DD,BA,100,0,100,0,0,0,0,16.4,29.4,7.2,79.9,7.7,13.8,60.8,0,1.2,4.1,0.8,20.0,1.1,1.8,13.3,0,0,0,3,9,6,0,137.4,192.3,123.7,164.9,0
BA100DE,BA10 0DE,BA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA100DG,BA10 0DG,BA,100,0,100,0,0,0,0,22.9,26.7,14.3,66.0,0,21.4,53.0,0,1.2,2.9,1.0,20.0,0,1.2,20.0,0,0,0,0,10,2,0,117.5,0,123.8,85.8,0
BA100DH,BA10 0DH,BA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA100DJ,BA10 0DJ,BA,100,0,100,0,0,0,0,22.5,31.8,17.9,79.7,0,21.3,68.6,0,1.1,3.5,1.0,20.0,0,1.1,20.0,0,0,0,0,7,2,0,162.8,0,169.5,139.4,0
BA100DL,BA10 0DL,BA,100,0,100,0,0,0,0,11.7,23.6,2.7,78.4,7.1,9.5,58.6,0,1.1,5.4,0.4,20.0,1.0,1.0,20.0,0,0,1,4,5,4,0,115.3,51.1,42.6,286.9,0
BA100DN,BA10 0DN,BA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA100DP,BA10 0DP,BA,100,0,100,0,0,0,0,8.1,8.1,7.9,8.1,8.1,8.1,0,0,0.4,0.5,0.4,0.8,0.5,0.5,0,0,0,0,5,0,0,0,0.4,0.4,0.4,0,0
BA100DQ,BA10 0DQ,BA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA100DS,BA10 0DS,BA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
