postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
BB101AA,BB10 1AA,BB,100,0,100,0,0,0,0,33.2,44.1,10.0,100.0,10.0,14.1,74.0,0,2.1,2.8,0.8,6.0,1.2,1.0,4.6,0,0,0,1,4,5,0,151.5,92.0,89.9,234.4,0
BB101AB,BB10 1AB,BB,100,0,100,0,0,0,0,15.5,47.8,12.7,152.0,0,14.3,98.0,0,1.2,4.0,0.8,12.0,0,1.0,8.5,0,0,0,0,6,4,0,237.6,0,276.0,238.7,0
BB101AD,BB10 1AD,BB,100,0,100,0,0,0,0,16.0,47.4,7.0,200.0,8.0,13.1,107.5,0,1.2,2.8,0.8,12.0,1.1,1.0,7.0,0,0,0,2,5,4,0,180.7,152.1,123.0,281.7,0
BB101AE,BB10 1AE,BB,100,0,100,0,0,0,0,50.0,64.3,7.1,200.0,7.1,12.5,83.8,0,3.0,4.0,0.8,12.0,0.8,1.0,5.1,0,0,0,1,2,8,0,197.0,299.2,158.2,184.5,0
BB101AF,BB10 1AF,BB,100,0,100,0,0,0,0,16.3,24.1,14.3,54.9,0,16.0,52.5,0,1.2,3.2,0.8,10.0,0,2.3,6.5,0,0,0,0,7,2,0,180.6,0,153.4,275.6,0
BB101AG,BB10 1AG,BB,100,0,100,0,0,0,0,10.9,12.4,7.2,19.0,8.2,12.4,0,0,1.0,0.9,0.7,1.2,0.8,0.9,0,0,0,0,2,4,0,0,27.2,42.1,27.2,0,0
BB101AH,BB10 1AH,BB,100,0,100,0,0,0,0,50.0,48.9,12.7,100.0,0,15.8,69.6,0,3.0,5.4,1.0,20.0,0,1.1,8.1,0,0,0,0,5,8,0,196.2,0,133.5,259.3,0
BB101AJ,BB10 1AJ,BB,100,0,100,0,0,0,0,21.5,53.4,13.2,200.0,0,17.4,101.4,0,1.3,4.2,1.0,12.0,0,1.2,8.3,0,0,0,0,4,3,0,178.2,0,264.7,62.7,0
BB101AL,BB10 1AL,BB,100,0,100,0,0,0,0,18.7,30.0,7.0,100.0,8.3,13.6,58.7,0,1.1,2.4,0.8,10.0,1.1,1.1,5.0,0,0,0,4,10,8,0,211.0,120.4,212.2,208.7,0
BB101AN,BB10 1AN,BB,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BB101AP,BB10 1AP,BB,100,0,100,0,0,0,0,19.3,36.1,9.8,100.0,9.8,13.6,70.0,0,1.3,3.3,1.0,10.0,1.0,1.1,6.5,0,0,0,1,5,4,0,164.0,306.8,166.2,169.9,0
BB101AS,BB10 1AS,BB,100,0,100,0,0,0,0,50.0,41.9,19.5,50.0,0,19.5,47.5,0,3.0,2.5,1.0,3.0,0,1.0,3.0,0,0,0,0,1,4,0,67.9,0,62.5,69.3,0
BB101AT,BB10 1AT,BB,100,0,100,0,0,0,0,50.0,43.5,6.1,150.0,7.1,10.9,67.2,0,3.0,3.2,0.8,10.0,0.9,0.9,4.8,0,0,0,2,6,11,0,194.1,7.0,110.0,249.1,0
BB101AU,BB10 1AU,BB,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BB101AW,BB10 1AW,BB,100,0,100,0,0,0,0,21.5,45.8,8.2,200.0,9.0,17.0,92.0,0,1.2,3.4,0.8,12.0,1.0,1.1,7.2,0,0,0,2,6,5,0,210.0,219.2,98.3,413.9,0
BB101AX,BB10 1AX,BB,100,0,100,0,0,0,0,20.1,42.9,15.8,200.0,0,19.0,106.7,0,1.1,2.5,0.8,12.0,0,1.0,6.7,0,0,0,0,8,3,0,178.6,0,196.4,137.1,0
BB101AZ,BB10 1AZ,BB,100,0,100,0,0,0,0,20.6,26.7,15.7,50.0,0,18.9,50.0,0,1.3,1.6,1.0,3.0,0,1.2,3.0,0,0,0,0,3,1,0,208.9,0,213.3,195.8,0
BB101BA,BB10 1BA,BB,100,0,100,0,0,0,0,18.6,23.8,8.2,50.0,9.0,16.0,47.5,0,1.1,2.0,0.8,10.0,1.0,1.0,4.7,0,0,0,2,10,4,0,150.1,38.6,137.1,261.4,0
BB101BE,BB10 1BE,BB,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BB101BG,BB10 1BG,BB,100,0,100,0,0,0,0,28.2,42.0,11.4,100.0,0,13.9,70.0,0,3.6,4.6,1.2,10.0,0,1.3,8.0,0,0,0,0,2,2,0,209.3,0,20.5,324.9,0
BB101BH,BB10 1BH,BB,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BB101BJ,BB10 1BJ,BB,100,0,100,0,0,0,0,11.0,30.6,5.9,100.0,7.7,8.5,60.0,0,1.0,1.8,0.4,6.0,0.8,0.8,3.4,0,0,0,6,2,6,0,222.6,118.7,106.2,410.8,0
BB101BL,BB10 1BL,BB,100,0,100,0,0,0,0,32.3,31.7,11.7,50.0,0,13.4,50.0,0,2.1,2.0,0.8,3.0,0,1.0,3.0,0,0,0,0,3,3,0,231.0,0,343.6,118.4,0
BB101BN,BB10 1BN,BB,100,0,100,0,0,0,0,14.1,47.5,9.5,200.0,9.5,12.0,106.7,0,1.1,3.1,0.8,12.0,0.8,1.0,6.7,0,0,0,1,4,3,0,171.8,165.3,192.4,137.4,0
BB101BQ,BB10 1BQ,BB,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
