postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
BD100AA,BD10 0AA,BD,100,0,100,0,0,0,0,14.6,30.3,4.8,152.0,6.6,11.9,69.5,0,1.2,2.3,0.4,12.0,0.8,1.0,5.6,0,0,1,3,13,8,0,153.2,59.7,159.2,140.5,0
BD100AB,BD10 0AB,BD,100,0,100,0,0,0,0,20.0,48.0,7.9,152.0,8.0,12.9,89.0,0,1.2,3.5,0.8,12.0,1.1,1.0,6.3,0,0,0,2,5,6,0,76.0,47.3,113.2,32.6,0
BD100AD,BD10 0AD,BD,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BD100AE,BD10 0AE,BD,100,0,100,0,0,0,0,9.8,18.1,4.3,54.9,7.7,8.6,51.6,0,1.1,3.0,0.7,10.0,0.9,1.0,10.0,0,0,1,4,2,2,0,68.2,47.5,51.2,127.8,0
BD100AF,BD10 0AF,BD,100,0,100,0,0,0,0,50.0,62.0,2.6,200.0,4.1,4.1,104.2,0,3.0,4.7,0.6,12.0,0.7,0.7,7.5,0,0,5,3,0,11,0,171.6,143.6,143.6,201.9,0
BD100AG,BD10 0AG,BD,100,0,100,0,0,0,0,8.6,9.9,5.3,40.0,7.8,8.4,40.0,0,1.1,1.5,0.5,10.0,1.0,1.0,10.0,0,0,0,16,3,1,0,113.5,86.6,115.8,68.5,0
BD100AH,BD10 0AH,BD,100,0,100,0,0,0,0,8.1,9.2,5.9,15.3,7.7,9.2,0,0,0.9,0.9,0.7,1.0,0.9,0.9,0,0,0,0,4,1,0,0,105.3,56.4,105.3,0,0
BD100AJ,BD10 0AJ,BD,100,0,100,0,0,0,0,30.0,51.5,6.6,200.0,8.4,11.7,80.2,0,2.0,3.6,0.6,12.0,0.9,1.0,5.4,0,0,0,4,9,18,0,126.9,34.1,39.4,196.4,0
BD100AL,BD10 0AL,BD,100,0,100,0,0,0,0,30.0,59.5,2.9,200.0,6.4,10.6,104.3,0,2.0,3.9,0.6,12.0,0.9,1.0,6.5,0,0,1,2,8,12,0,146.1,5.9,134.0,157.2,0
BD100AN,BD10 0AN,BD,100,0,100,0,0,0,0,25.0,36.8,3.1,200.0,6.0,7.2,66.4,0,1.6,2.4,0.5,12.0,0.9,0.9,4.0,0,0,2,8,1,11,0,33.1,24.7,24.5,41.8,0
