postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
BH104AA,BH10 4AA,BH,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BH104AB,BH10 4AB,BH,100,0,100,0,0,0,0,67.0,76.9,7.7,200.0,8.1,12.1,104.7,0,7.5,8.7,0.9,20.0,1.0,1.0,12.0,0,0,0,2,1,7,0,249.9,171.6,119.1,306.0,0
BH104AD,BH10 4AD,BH,100,0,100,0,0,0,0,25.0,40.7,0.3,200.0,5.3,7.7,73.7,0,2.0,3.3,0.5,12.0,0.9,1.1,5.6,0,1,2,7,2,12,0,119.5,128.0,132.6,114.3,0
BH104AE,BH10 4AE,BH,100,0,100,0,0,0,0,50.0,60.0,50.0,100.0,0,0,60.0,0,3.0,3.7,3.0,6.0,0,0,3.7,0,0,0,0,0,7,0,108.0,0,0,108.0,0
BH104AF,BH10 4AF,BH,100,0,100,0,0,0,0,30.0,46.7,2.2,200.0,7.2,8.8,76.9,0,2.5,3.9,0.6,12.0,1.0,1.4,6.1,0,0,2,12,2,20,0,167.1,171.0,161.9,178.9,0
BH104AG,BH10 4AG,BH,100,0,100,0,0,0,0,55.0,72.0,3.2,200.0,3.9,9.3,84.6,0,6.0,6.6,0.8,14.7,1.0,1.3,7.6,0,0,2,0,1,15,0,181.5,255.3,277.3,155.3,0
BH104AH,BH10 4AH,BH,100,0,100,0,0,0,0,7.9,36.6,2.0,150.0,5.8,5.8,71.9,0,2.1,3.3,0.4,10.0,0.8,0.8,5.8,0,0,3,5,0,7,0,160.5,168.1,168.1,153.0,0
BH104AJ,BH10 4AJ,BH,100,0,100,0,0,0,0,5.4,50.8,3.2,152.0,4.6,4.6,112.4,0,1.0,4.2,0.4,12.0,0.8,0.8,11.0,0,0,2,2,0,3,0,90.5,16.2,16.2,189.5,0
BH104AL,BH10 4AL,BH,100,0,100,0,0,0,0,7.8,26.2,2.2,100.0,5.2,5.2,49.8,0,1.1,3.4,0.6,10.0,0.9,0.9,6.1,0,0,5,4,0,8,0,109.9,56.8,56.8,163.0,0
BH104AN,BH10 4AN,BH,100,0,100,0,0,0,0,79.9,83.0,2.5,152.0,2.5,2.5,94.5,0,4.5,5.8,0.9,12.0,0.9,0.9,6.8,0,0,1,0,0,7,0,131.2,43.3,43.3,155.1,0
