postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
BL00AA,BL0 0AA,BL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BL00AB,BL0 0AB,BL,100,0,100,0,0,0,0,19.5,30.2,8.1,73.9,8.8,12.4,57.0,0,1.2,3.2,0.4,10.0,0.8,0.9,10.0,0,0,0,2,1,2,0,106.1,52.9,85.5,137.1,0
BL00AD,BL0 0AD,BL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BL00AG,BL0 0AG,BL,100,0,100,0,0,0,0,20.9,34.9,18.4,79.7,0,19.9,53.7,0,4.4,5.3,0.8,10.0,0,2.4,10.0,0,0,0,0,5,4,0,151.5,0,198.7,140.1,0
BL00AH,BL0 0AH,BL,100,0,100,0,0,0,0,18.3,29.8,15.9,66.9,0,17.5,60.4,0,1.2,1.5,1.2,2.6,0,1.5,0,0,0,0,0,5,2,0,165.3,0,184.4,117.7,0
BL00AJ,BL0 0AJ,BL,100,0,100,0,0,0,0,28.8,38.3,15.8,79.7,0,16.8,59.8,0,1.3,4.2,1.2,10.0,0,1.3,10.0,0,0,0,0,2,2,0,161.4,0,54.1,268.7,0
BL00AL,BL0 0AL,BL,96,0,100,4,4,4,4,21.0,31.7,7.6,79.9,8.6,15.2,60.0,0,1.2,4.5,0.7,20.0,0.8,1.0,11.6,0,0,0,5,7,7,0,120.0,165.5,134.0,129.4,0
BL00AN,BL0 0AN,BL,100,0,100,0,0,0,0,16.9,24.9,2.5,73.7,6.1,14.1,52.1,0,1.1,1.8,0.2,10.0,0.7,1.0,10.0,0,0,1,1,8,4,0,84.5,14.1,87.4,89.5,0
BL00AP,BL0 0AP,BL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BL00AQ,BL0 0AQ,BL,100,0,100,0,0,0,0,21.1,32.5,7.0,76.7,7.0,18.7,63.4,0,1.2,5.3,0.9,20.0,1.0,1.1,14.9,0,0,0,1,8,4,0,91.2,2.8,94.2,84.4,0
