postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
BN107AA,BN10 7AA,BN,100,0,100,0,0,0,0,18.8,20.4,9.0,35.0,9.0,15.5,35.0,0,1.0,2.4,0.6,7.2,0.6,0.8,7.2,0,0,0,1,2,1,0,159.2,228.2,119.5,389.6,0
BN107AB,BN10 7AB,BN,100,0,100,0,0,0,0,17.5,25.6,8.2,55.0,8.2,15.2,50.0,0,1.3,3.1,0.8,10.0,1.0,1.1,10.0,0,0,0,1,6,3,0,261.7,270.7,235.8,305.4,0
BN107AD,BN10 7AD,BN,100,0,100,0,0,0,0,18.5,17.2,10.5,21.4,0,17.2,0,0,1.0,1.1,0.8,1.4,0,1.1,0,0,0,0,0,4,0,0,15.4,0,15.4,0,0
BN107AE,BN10 7AE,BN,100,0,100,0,0,0,0,19.0,33.4,4.5,77.5,4.5,16.2,62.8,0,1.2,5.9,0.5,20.0,0.5,1.1,15.6,0,0,1,0,11,7,0,256.3,68.9,200.2,378.4,0
BN107AF,BN10 7AF,BN,100,0,100,0,0,0,0,15.3,27.9,13.7,57.0,0,14.6,50.0,0,1.3,5.9,0.7,16.1,0,1.1,13.9,0,0,0,0,5,3,0,115.2,0,94.1,170.4,0
BN107AG,BN10 7AG,BN,90,0,100,0,0,0,10,40.0,30.8,6.2,55.0,6.9,10.5,47.0,0,9.8,6.0,0.9,10.0,1.3,1.2,9.9,0,0,0,2,2,5,0,211.4,272.3,198.1,173.5,0
BN107AH,BN10 7AH,BN,100,0,100,0,0,0,0,16.7,21.0,4.1,65.8,5.9,14.5,53.6,0,1.1,3.1,0.5,20.0,0.7,1.0,13.3,0,0,1,1,13,3,0,176.1,212.2,208.8,20.4,0
BN107AJ,BN10 7AJ,BN,100,0,100,0,0,0,0,17.3,35.6,8.3,79.8,9.2,13.3,61.7,0,1.1,4.4,0.8,20.0,1.1,1.0,12.4,0,0,0,3,4,6,0,188.2,223.9,135.4,249.9,0
BN107AL,BN10 7AL,BN,100,0,100,0,0,0,0,15.2,24.7,6.1,65.7,6.9,13.6,50.3,0,1.1,3.8,0.8,18.5,0.9,1.4,10.8,0,0,0,2,21,10,0,165.1,26.1,139.8,135.8,0
BN107AN,BN10 7AN,BN,100,0,100,0,0,0,0,6.9,15.0,1.2,49.0,3.7,6.5,49.0,0,0.9,3.1,0.8,9.8,0.9,0.9,9.8,0,1,1,1,1,1,0,37.2,20.9,17.8,76.3,0
BN107AP,BN10 7AP,BN,100,0,100,0,0,0,0,13.3,18.7,2.1,39.2,2.1,15.2,39.2,0,0.9,2.5,0.8,10.0,0.8,1.0,10.0,0,0,1,0,5,1,0,245.0,15.0,257.0,102.6,0
