postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
BR11AB,BR1 1AB,BR,10,0,10,0,0,0,90,17.9,15.7,1.0,24.0,3.3,15.7,0,0,1.0,1.0,0.6,1.3,0.8,1.0,0,0,1,0,1,7,0,0,280.2,54.4,280.2,0,0
BR11AE,BR1 1AE,BR,0,0,0,0,0,0,100,21.1,19.7,8.2,24.5,8.2,19.7,0,0,1.2,1.1,0.8,1.3,0.9,1.1,0,0,0,0,2,19,0,0,261.4,205.4,261.4,0,0
BR11AF,BR1 1AF,BR,0,0,0,0,0,0,0,16.7,15.5,2.6,21.2,7.3,15.5,0,0,1.1,1.0,0.4,1.3,0.8,1.0,0,0,0,1,4,49,0,0,167.4,170.2,167.4,0,0
BR11AG,BR1 1AG,BR,0,0,0,0,0,0,0,17.2,16.3,9.4,20.4,9.4,16.3,0,0,1.2,1.1,0.4,1.4,1.2,1.1,0,0,0,0,1,45,0,0,164.9,53.8,164.9,0,0
BR11BQ,BR1 1BQ,BR,100,0,100,0,0,0,0,19.7,20.3,2.7,79.8,7.1,16.4,79.8,0,1.1,1.1,0.6,1.3,0.9,1.1,0,0,0,1,3,11,1,0,28.9,3.4,27.0,58.1,0
BR11BY,BR1 1BY,BR,67,0,67,0,0,0,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BR11DD,BR1 1DD,BR,99,0,99,0,0,0,1,9.6,9.5,1.5,15.2,7.1,9.5,0,0,1.0,0.9,0.3,1.9,0.9,0.9,0,0,1,4,21,19,0,0,17.9,14.2,17.9,0,0
BR11DE,BR1 1DE,BR,100,0,100,0,0,0,0,19.7,18.3,8.1,22.2,8.1,18.3,0,0,1.1,1.0,0.9,1.2,0.9,1.0,0,0,0,0,1,4,0,0,63.0,44.1,63.0,0,0
BR11DG,BR1 1DG,BR,50,0,50,0,0,0,50,19.9,39.7,8.1,200.0,8.6,18.4,162.5,0,1.2,2.9,0.4,12.0,1.1,1.1,11.5,0,0,0,3,20,4,0,94.2,6.7,71.2,209.6,0
BR11DJ,BR1 1DJ,BR,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
