postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
BS105AA,BS10 5AA,BS,100,0,100,0,0,0,0,70.0,79.9,2.2,200.0,4.1,4.1,95.0,0,5.0,5.5,0.6,12.0,0.6,0.6,6.5,0,0,1,1,0,10,0,99.5,20.1,20.1,115.4,0
BS105AB,BS10 5AB,BS,100,0,100,0,0,0,0,50.0,61.8,3.8,152.0,5.7,5.7,84.2,0,3.0,4.2,0.5,12.0,0.7,0.7,5.6,0,0,1,3,0,10,0,205.0,186.9,186.9,213.1,0
BS105AD,BS10 5AD,BS,100,0,100,0,0,0,0,50.0,61.6,6.1,150.0,6.9,6.9,78.4,0,3.0,4.4,0.4,12.0,0.7,0.7,5.6,0,0,0,4,0,13,0,148.3,304.7,304.7,96.0,0
BS105AE,BS10 5AE,BS,100,0,100,0,0,0,0,50.0,52.0,4.9,152.0,6.4,6.4,71.0,0,3.0,3.5,0.8,12.0,0.8,0.8,4.8,0,0,1,4,0,12,0,86.7,59.7,59.7,106.5,0
BS105AF,BS10 5AF,BS,100,0,100,0,0,0,0,50.0,57.2,0.4,200.0,2.6,2.6,77.7,0,3.0,5.6,0.4,20.0,0.6,0.6,7.8,0,2,4,0,0,16,0,218.7,49.1,49.1,283.4,0
BS105AG,BS10 5AG,BS,100,0,100,0,0,0,0,50.0,64.0,1.5,200.0,2.5,9.6,84.4,0,4.0,4.3,0.4,12.0,0.6,2.2,5.1,0,1,3,0,2,16,0,68.6,55.0,43.7,82.1,0
BS105AH,BS10 5AH,BS,100,0,100,0,0,0,0,100.0,90.3,3.3,152.0,3.3,3.3,104.8,0,6.0,6.9,0.6,12.0,0.6,0.6,8.2,0,0,1,0,0,6,0,99.6,49.0,49.0,108.0,0
BS105AJ,BS10 5AJ,BS,100,0,100,0,0,0,0,50.0,49.5,0.9,100.0,0.9,15.5,55.2,0,4.0,5.3,0.5,15.1,0.5,0.5,5.8,0,1,0,0,1,12,0,153.5,1.2,5.1,178.2,0
BS105AL,BS10 5AL,BS,100,0,100,0,0,0,0,52.5,60.7,2.5,200.0,2.9,2.9,73.6,0,4.0,4.3,0.6,12.0,0.7,0.7,5.1,0,0,4,0,0,18,0,164.1,79.6,79.6,182.9,0
BS105AN,BS10 5AN,BS,100,0,100,0,0,0,0,45.0,53.1,0.3,200.0,2.8,2.8,85.2,0,3.0,5.0,0.5,12.0,0.7,0.7,7.4,0,2,5,0,0,11,0,183.9,154.2,154.2,209.1,0
BS105AP,BS10 5AP,BS,100,0,100,0,0,0,0,54.9,70.8,2.0,200.0,3.1,3.1,97.9,0,3.0,5.5,0.3,17.2,0.6,0.6,7.5,0,0,5,1,0,15,0,87.6,63.6,63.6,108.3,0
BS105AQ,BS10 5AQ,BS,100,0,100,0,0,0,0,50.0,61.7,2.5,152.0,3.2,8.8,80.4,0,3.0,4.2,0.6,12.0,0.7,0.8,5.5,0,0,4,0,2,17,0,151.0,112.6,75.3,187.9,0
BS105AR,BS10 5AR,BS,100,0,100,0,0,0,0,48.9,39.2,2.6,150.0,4.0,4.0,64.9,0,3.0,3.8,0.6,15.3,0.8,0.8,6.0,0,0,6,2,0,11,0,177.1,127.9,127.9,220.9,0
BS105AS,BS10 5AS,BS,100,0,100,0,0,0,0,54.9,74.8,0.4,200.0,4.1,4.1,90.5,0,6.0,6.1,0.4,20.0,0.7,0.7,7.4,0,1,3,2,0,27,0,143.3,31.0,31.0,172.0,0
BS105AT,BS10 5AT,BS,100,0,100,0,0,0,0,50.0,60.1,1.2,200.0,4.5,6.2,90.5,0,3.0,5.1,0.4,20.0,0.8,0.8,7.7,0,1,3,4,1,16,0,94.4,64.6,58.5,115.5,0
BS105AU,BS10 5AU,BS,100,0,100,0,0,0,0,50.0,58.8,3.9,200.0,4.8,7.0,89.1,0,3.0,4.4,0.7,16.9,0.8,0.8,6.5,0,0,3,3,1,12,0,262.8,300.6,263.3,279.7,0
BS105AW,BS10 5AW,BS,100,0,100,0,0,0,0,17.2,33.0,2.5,100.0,3.2,3.2,62.9,0,1.5,2.4,0.5,6.0,0.7,0.7,4.1,0,0,7,0,0,7,0,129.9,95.4,95.4,164.3,0
BS105AX,BS10 5AX,BS,100,0,100,0,0,0,0,50.0,47.8,4.6,152.0,5.6,5.6,64.7,0,3.0,3.8,0.6,12.0,0.8,0.8,5.2,0,0,1,3,0,10,0,162.9,320.8,320.8,92.5,0
BS105AY,BS10 5AY,BS,100,0,100,0,0,0,0,50.0,64.6,4.3,152.0,5.0,5.0,74.6,0,3.0,4.5,0.8,12.0,0.8,0.8,5.1,0,0,2,1,0,18,0,112.3,73.6,73.6,121.8,0
BS105AZ,BS10 5AZ,BS,100,0,100,0,0,0,0,50.0,77.6,4.7,200.0,4.8,4.8,88.0,0,4.0,6.3,0.7,15.1,0.7,0.7,7.1,0,0,2,0,0,14,0,193.3,40.5,40.5,240.5,0
BS105BA,BS10 5BA,BS,100,0,100,0,0,0,0,50.1,51.3,3.5,100.0,4.5,4.5,64.6,0,5.0,4.7,0.4,10.0,0.7,0.7,6.0,0,0,2,2,0,14,0,138.8,214.5,214.5,127.0,0
BS105BB,BS10 5BB,BS,100,0,100,0,0,0,0,50.0,56.6,2.5,200.0,4.1,4.1,68.3,0,3.0,5.8,0.3,20.0,0.6,0.6,7.1,0,0,3,1,0,18,0,149.8,76.8,76.8,166.0,0
BS105BD,BS10 5BD,BS,100,0,100,0,0,0,0,50.0,72.0,4.5,200.0,5.9,7.0,86.7,0,5.0,5.8,0.8,12.0,0.9,0.9,6.9,0,0,2,2,1,22,0,210.6,135.3,123.7,240.3,0
BS105BE,BS10 5BE,BS,100,0,100,0,0,0,0,70.0,76.4,2.8,152.0,2.8,2.8,83.0,0,5.5,6.4,0.6,12.0,0.6,0.6,6.9,0,0,1,0,0,11,0,100.4,0.5,0.5,116.7,0
BS105BG,BS10 5BG,BS,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BS105BH,BS10 5BH,BS,100,0,100,0,0,0,0,50.0,58.1,6.8,200.0,8.0,11.0,85.5,0,3.0,4.7,0.8,12.0,1.0,1.0,7.0,0,0,0,4,3,12,0,90.9,59.8,56.7,110.8,0
BS105BJ,BS10 5BJ,BS,100,0,100,0,0,0,0,40.0,52.1,8.1,200.0,8.6,13.8,74.7,0,3.0,4.3,0.4,12.0,0.8,1.1,6.0,0,0,0,2,8,17,0,114.8,112.1,74.7,138.4,0
BS105BL,BS10 5BL,BS,100,0,100,0,0,0,0,50.0,68.4,7.3,200.0,8.2,14.3,93.4,0,3.0,4.8,0.4,12.0,0.9,1.9,6.1,0,0,0,2,4,13,0,70.4,10.2,27.6,90.2,0
BS105BN,BS10 5BN,BS,100,0,100,0,0,0,0,50.0,55.4,11.5,150.0,0,17.2,69.3,0,4.0,5.6,1.0,20.0,0,3.3,6.5,0,0,0,0,4,11,0,53.9,0,46.7,56.5,0
BS105BP,BS10 5BP,BS,100,0,100,0,0,0,0,50.0,63.7,9.5,200.0,9.5,15.8,79.6,0,3.0,4.4,0.8,12.0,1.0,2.3,5.2,0,0,0,1,4,15,0,202.2,7.3,183.6,208.4,0
BS105BS,BS10 5BS,BS,100,0,100,0,0,0,0,19.6,64.0,3.8,200.0,7.3,13.1,140.2,0,1.7,5.1,0.6,12.0,1.0,2.1,9.7,0,0,1,4,7,8,0,139.4,129.4,156.6,103.2,0
BS105BT,BS10 5BT,BS,100,0,100,0,0,0,0,18.4,45.8,9.7,200.0,9.7,14.3,90.0,0,1.2,2.9,0.8,12.0,0.9,1.0,5.4,0,0,0,1,6,5,0,165.7,56.5,200.4,117.1,0
BS105BU,BS10 5BU,BS,100,0,100,0,0,0,0,50.0,58.7,12.5,200.0,0,14.0,73.6,0,3.0,3.9,0.8,12.0,0,0.8,5.0,0,0,0,0,3,9,0,133.7,0,96.0,146.3,0
BS105BW,BS10 5BW,BS,100,0,100,0,0,0,0,70.0,76.8,2.7,200.0,5.6,14.8,112.9,0,5.5,5.9,0.8,12.0,1.1,1.9,8.6,0,0,1,1,5,12,0,131.1,120.3,136.0,137.8,0
BS105BX,BS10 5BX,BS,100,0,100,0,0,0,0,50.0,69.2,3.5,200.0,4.4,4.4,90.8,0,3.0,4.4,0.4,12.0,0.6,0.6,5.7,0,0,4,0,0,12,0,116.2,57.9,57.9,157.1,0
BS105BY,BS10 5BY,BS,100,0,100,0,0,0,0,39.9,37.9,4.5,100.0,5.1,5.1,52.6,0,2.5,4.1,0.4,14.8,0.7,0.7,5.7,0,0,2,2,0,9,0,217.3,115.0,115.0,287.0,0
BS105BZ,BS10 5BZ,BS,100,0,100,0,0,0,0,125.0,114.0,5.0,200.0,5.2,5.2,141.3,0,8.0,7.1,0.7,12.0,0.8,0.8,8.6,0,0,0,2,0,8,0,137.5,66.0,66.0,155.3,0
BS105DA,BS10 5DA,BS,100,0,100,0,0,0,0,50.0,56.5,2.9,100.0,3.9,3.9,67.0,0,5.0,4.4,0.7,10.0,0.7,0.7,5.2,0,0,2,0,0,10,0,126.3,158.1,158.1,133.3,0
BS105DB,BS10 5DB,BS,100,0,100,0,0,0,0,50.0,51.1,3.1,200.0,5.0,5.9,72.1,0,3.0,3.8,0.8,12.0,0.9,0.9,5.1,0,0,1,4,1,13,0,128.8,173.0,163.5,112.7,0
BS105DD,BS10 5DD,BS,100,0,100,0,0,0,0,50.0,48.4,4.6,152.0,5.3,5.3,72.3,0,3.0,3.8,0.6,12.0,0.8,0.8,5.4,0,0,1,4,0,9,0,94.5,143.2,143.2,55.4,0
BS105DF,BS10 5DF,BS,100,0,100,0,0,0,0,5.5,12.1,3.9,40.0,5.1,5.1,40.0,0,1.0,2.7,0.8,10.0,0.9,0.9,10.0,0,0,2,2,0,1,0,257.6,253.3,253.3,274.7,0
BS105DJ,BS10 5DJ,BS,100,0,100,0,0,0,0,50.0,48.7,7.3,152.0,8.8,10.5,67.8,0,3.0,4.3,0.9,14.8,1.1,1.1,5.7,0,0,0,4,3,14,0,136.8,104.4,113.3,148.5,0
BS105DL,BS10 5DL,BS,100,0,100,0,0,0,0,79.9,103.4,17.2,200.0,0,17.2,112.0,0,6.1,7.2,1.2,12.0,0,1.2,7.9,0,0,0,0,1,10,0,110.5,0,17.9,128.9,0
BS105DR,BS10 5DR,BS,100,0,100,0,0,0,0,55.0,77.6,15.4,200.0,0,15.9,95.3,0,4.5,5.9,0.8,12.0,0,1.0,7.5,0,0,0,0,2,7,0,44.7,0,28.7,55.7,0
BS105DS,BS10 5DS,BS,100,0,100,0,0,0,0,50.0,55.6,8.2,100.0,8.2,15.0,80.0,0,3.0,3.3,0.6,6.0,0.6,0.8,4.8,0,0,0,1,2,5,0,57.5,1.0,38.9,68.6,0
BS105DT,BS10 5DT,BS,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BS105DU,BS10 5DU,BS,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BS105DW,BS10 5DW,BS,100,0,100,0,0,0,0,40.0,38.8,0.6,150.0,5.6,8.5,63.0,0,2.5,3.7,0.4,10.0,0.7,0.8,5.9,0,1,2,3,2,10,0,96.2,11.5,45.2,140.2,0
BS105DX,BS10 5DX,BS,100,0,100,0,0,0,0,45.0,43.9,3.4,152.0,6.2,11.9,63.9,0,3.0,3.0,0.4,12.0,0.6,0.9,4.4,0,0,1,2,7,16,0,128.1,18.8,149.2,122.7,0
BS105DY,BS10 5DY,BS,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BS105DZ,BS10 5DZ,BS,100,0,100,0,0,0,0,85.0,87.7,11.2,200.0,0,12.5,106.5,0,5.5,5.8,1.0,12.0,0,1.1,7.0,0,0,0,0,2,8,0,70.2,0,23.6,81.9,0
BS105EA,BS10 5EA,BS,100,0,100,0,0,0,0,70.0,78.8,0.8,200.0,0.8,6.3,92.0,0,6.0,7.3,0.5,20.0,0.5,0.8,8.5,0,1,0,0,1,11,0,142.0,0.0,33.0,161.8,0
BS105ED,BS10 5ED,BS,100,0,100,0,0,0,0,50.0,58.6,8.0,200.0,8.0,13.7,73.6,0,3.0,6.5,1.0,20.0,1.1,1.1,8.5,0,0,0,1,2,9,0,131.5,33.7,28.9,170.0,0
BS105EE,BS10 5EE,BS,100,0,100,0,0,0,0,50.0,60.3,6.6,200.0,7.6,12.9,84.0,0,3.0,3.8,0.8,12.0,0.9,0.9,5.3,0,0,0,2,2,8,0,46.5,14.0,35.9,55.0,0
BS105EF,BS10 5EF,BS,100,0,100,0,0,0,0,35.4,47.7,12.0,152.0,0,15.0,73.2,0,3.6,4.8,1.0,12.0,0,1.1,8.5,0,0,0,0,7,9,0,104.9,0,70.0,138.3,0
BS105EG,BS10 5EG,BS,100,0,100,0,0,0,0,50.0,57.9,7.0,100.0,7.0,12.9,65.9,0,3.0,3.6,0.4,6.0,0.8,0.8,4.1,0,0,0,1,2,17,0,69.2,193.6,95.1,71.3,0
BS105EH,BS10 5EH,BS,100,0,100,0,0,0,0,45.0,52.5,10.9,152.0,0,12.5,74.7,0,3.0,4.0,0.9,12.0,0,1.1,5.7,0,0,0,0,5,9,0,84.5,0,38.4,110.1,0
BS105EJ,BS10 5EJ,BS,100,0,100,0,0,0,0,50.0,47.5,5.0,152.0,6.8,11.3,69.6,0,3.0,3.8,0.3,12.0,0.8,1.0,5.7,0,0,0,5,6,18,0,109.8,37.1,91.5,121.0,0
BS105EL,BS10 5EL,BS,100,0,100,0,0,0,0,50.0,43.8,3.1,152.0,6.0,9.8,70.5,0,2.5,3.1,0.9,12.0,0.9,1.0,4.8,0,0,1,3,7,14,0,152.7,17.3,106.8,210.3,0
BS105EN,BS10 5EN,BS,100,0,100,0,0,0,0,29.9,42.8,0.6,200.0,4.7,11.3,74.4,0,1.3,3.4,0.4,12.0,0.8,1.0,6.0,0,1,1,2,9,13,0,147.0,64.3,134.9,175.6,0
BS105EP,BS10 5EP,BS,100,0,100,0,0,0,0,37.7,46.6,3.6,152.0,5.7,9.3,70.0,0,2.5,3.9,0.2,12.0,0.5,0.8,6.1,0,0,2,1,2,8,0,137.9,46.0,132.0,161.3,0
BS105EQ,BS10 5EQ,BS,100,0,100,0,0,0,0,60.0,85.0,10.8,200.0,0,15.1,98.9,0,6.0,6.4,1.1,12.0,0,1.4,7.5,0,0,0,0,3,15,0,116.0,0,30.3,134.3,0
BS105ES,BS10 5ES,BS,100,0,100,0,0,0,0,25.0,38.5,2.3,152.0,7.9,10.3,66.7,0,2.0,4.9,0.5,20.0,1.0,1.4,8.2,0,0,1,10,8,19,0,144.9,168.1,142.2,150.3,0
BS105ET,BS10 5ET,BS,100,0,100,0,0,0,0,50.0,54.5,6.7,152.0,7.6,11.2,86.0,0,3.0,4.7,0.8,20.0,1.0,1.1,7.3,0,0,0,4,12,22,0,159.9,59.3,88.6,208.4,0
BS105EU,BS10 5EU,BS,100,0,100,0,0,0,0,50.0,63.5,4.3,200.0,6.3,8.0,93.8,0,3.0,4.8,1.0,12.0,1.0,1.1,6.7,0,0,1,3,2,11,0,104.9,38.9,53.4,133.0,0
BS105EX,BS10 5EX,BS,100,0,100,0,0,0,0,25.0,45.8,6.5,152.0,8.1,11.3,80.3,0,1.0,2.9,0.7,12.0,0.8,0.9,5.3,0,0,0,4,3,7,0,63.0,22.9,98.6,27.4,0
BS105EY,BS10 5EY,BS,100,0,100,0,0,0,0,20.0,23.9,4.6,50.0,5.8,9.3,43.3,0,1.0,1.6,0.7,3.0,0.8,0.9,2.7,0,0,1,2,1,3,0,20.4,36.7,29.7,14.7,0
