postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CA101AA,CA10 1AA,CA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CA101AB,CA10 1AB,CA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CA101AD,CA10 1AD,CA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CA101AE,CA10 1AE,CA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CA101AF,CA10 1AF,CA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CA101AG,CA10 1AG,CA,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA101AH,CA10 1AH,CA,100,0,100,0,0,0,0,47.5,47.5,40.0,55.0,0,0,47.5,0,10.0,10.0,10.0,10.0,0,0,10.0,0,0,0,0,0,4,0,42.4,0,0,42.4,0
CA101AJ,CA10 1AJ,CA,100,0,100,0,0,0,0,40.7,38.2,6.2,80.0,7.8,9.5,53.1,0,10.0,9.5,0.4,20.0,0.4,1.3,11.1,0,0,0,12,1,25,0,62.1,18.8,28.9,78.1,0
CA101AL,CA10 1AL,CA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CA101AP,CA10 1AP,CA,0,0,0,80,100,100,100,1.7,1.7,1.3,2.3,1.7,1.7,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0,0,4,1,0,0,0,0,13.5,13.5,13.5,0,0
CA101AQ,CA10 1AQ,CA,100,0,100,0,0,0,0,40.0,35.1,7.8,79.8,8.1,8.1,54.4,0,10.0,10.1,0.4,20.0,0.4,0.4,11.7,0,0,0,5,0,7,0,69.8,16.4,16.4,108.0,0
CA101AR,CA10 1AR,CA,100,0,100,0,0,0,0,55.0,39.7,8.1,72.0,8.1,8.1,60.7,0,10.0,13.3,10.0,20.0,0,0,13.3,0,0,0,2,0,3,0,110.1,13.0,13.0,174.8,0
CA101AT,CA10 1AT,CA,100,0,100,0,0,0,0,40.0,40.0,6.8,80.0,7.9,7.9,50.2,0,10.0,10.3,0.4,20.0,0.4,0.4,11.5,0,0,0,7,0,22,0,63.3,35.1,35.1,73.4,0
CA101AU,CA10 1AU,CA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CA101AW,CA10 1AW,CA,100,0,100,0,0,0,0,48.8,37.1,8.1,71.4,8.1,8.1,53.7,0,10.0,12.6,9.8,20.0,0,0,12.6,0,0,0,4,0,7,0,86.0,5.6,5.6,132.0,0
CA101AX,CA10 1AX,CA,8,0,54,0,0,46,92,8.1,11.5,5.7,27.3,7.4,11.5,0,0,0.5,0.6,0.4,1.1,0.4,0.6,0,0,0,0,8,4,0,0,24.2,19.1,25.0,0,0
CA101AY,CA10 1AY,CA,0,0,100,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CA101AZ,CA10 1AZ,CA,0,0,100,0,0,14,100,8.1,8.5,6.6,11.3,7.6,8.5,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0,0,0,0,3,1,0,0,179.1,149.1,179.1,0,0
CA101BA,CA10 1BA,CA,17,0,100,0,8,25,83,8.1,15.0,2.2,55.0,5.9,7.9,43.4,0,0.4,2.9,0.4,10.9,0.4,0.4,7.8,0,0,3,4,1,2,0,103.8,54.5,66.3,253.8,0
CA101BB,CA10 1BB,CA,100,0,100,0,0,0,0,40.0,32.7,0.6,64.6,6.5,6.5,48.0,0,10.0,9.8,0.4,19.9,0.4,0.4,10.7,0,1,0,6,0,12,0,141.6,13.4,13.4,205.7,0
CA101BD,CA10 1BD,CA,100,0,100,0,0,0,0,54.9,42.1,3.1,80.0,7.1,7.1,59.6,0,10.0,9.9,0.4,20.0,0.4,0.4,11.5,0,0,1,4,0,10,0,28.8,43.8,43.8,21.2,0
CA101BE,CA10 1BE,CA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CA101BF,CA10 1BF,CA,100,0,100,0,0,0,0,39.8,30.7,5.1,59.5,7.8,9.1,46.4,0,10.0,9.6,0.4,19.0,0.6,2.4,11.0,0,0,0,14,2,22,0,98.6,27.7,32.9,128.5,0
CA101BG,CA10 1BG,CA,100,0,100,0,0,0,0,39.9,35.1,1.2,79.8,7.4,7.4,60.0,0,10.0,10.6,0.4,20.0,0.4,0.4,11.8,0,1,0,8,0,10,0,67.1,21.4,21.4,108.0,0
CA101BH,CA10 1BH,CA,100,0,100,0,0,0,0,39.9,25.8,8.1,40.0,8.1,8.1,39.9,0,10.0,10.0,10.0,10.0,0,0,10.0,0,0,0,4,0,5,0,18.4,10.2,10.2,29.4,0
CA101BJ,CA10 1BJ,CA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CA101BL,CA10 1BL,CA,98,0,98,0,0,2,2,37.4,31.2,5.7,80.0,7.8,9.0,52.0,0,10.0,8.5,0.4,18.1,0.4,2.2,11.1,0,0,0,16,1,18,0,65.6,30.3,30.0,93.8,0
CA101BN,CA10 1BN,CA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CA101BQ,CA10 1BQ,CA,100,0,100,0,0,0,0,40.0,39.3,6.0,55.0,6.0,6.0,46.0,0,10.0,8.1,0.4,10.0,0.4,0.4,10.0,0,0,0,1,0,5,0,120.5,12.1,12.1,142.2,0
CA101BS,CA10 1BS,CA,100,0,100,0,0,0,0,42.8,44.1,7.5,69.0,7.5,7.5,49.3,0,10.0,9.9,0.4,19.2,0.4,0.4,11.3,0,0,0,1,0,7,0,133.5,45.0,45.0,148.5,0
CA101BT,CA10 1BT,CA,100,0,100,0,0,0,0,23.2,27.7,7.4,58.0,8.0,11.4,48.6,0,6.2,7.8,0.4,16.3,0.4,2.8,9.9,0,0,0,7,2,7,0,39.0,9.9,33.6,51.5,0
CA101BU,CA10 1BU,CA,100,0,100,0,0,0,0,11.2,25.3,1.9,80.0,7.2,8.5,45.5,0,6.6,6.2,0.4,20.0,0.4,1.4,9.3,0,1,1,19,2,19,0,81.9,57.9,56.4,111.4,0
CA101BW,CA10 1BW,CA,100,0,100,0,0,0,0,8.1,19.8,8.1,54.9,8.1,8.1,54.9,0,10.0,10.0,10.0,10.0,0,0,10.0,0,0,0,3,0,1,0,57.4,69.7,69.7,20.7,0
CA101BX,CA10 1BX,CA,100,0,100,0,0,0,0,34.8,36.0,1.6,80.0,6.8,10.1,58.7,0,10.0,6.9,0.4,10.0,0.4,2.7,9.0,0,1,0,4,2,8,0,33.9,7.1,11.7,53.3,0
CA101BY,CA10 1BY,CA,0,0,0,0,0,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CA101BZ,CA10 1BZ,CA,0,0,25,50,75,75,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CA101DF,CA10 1DF,CA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CA101DG,CA10 1DG,CA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CA101DH,CA10 1DH,CA,25,0,100,0,0,0,75,6.2,13.4,1.3,34.3,3.8,8.2,34.3,0,0.8,3.0,0.4,10.0,0.7,1.2,10.0,0,1,1,1,1,1,0,53.7,44.5,65.2,7.6,0
CA101DJ,CA10 1DJ,CA,0,0,75,25,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CA101DL,CA10 1DL,CA,89,0,100,0,0,11,11,7.8,16.5,5.7,55.0,6.9,6.9,55.0,0,0.4,0.4,0.4,0.4,0.4,0.4,0,0,0,0,4,0,1,0,25.6,31.6,31.6,1.6,0
CA101DQ,CA10 1DQ,CA,100,0,100,0,0,0,0,7.7,27.4,2.3,80.0,5.9,5.9,62.4,0,0.4,3.9,0.4,20.0,0.4,0.4,11.1,0,0,10,26,0,22,0,67.9,21.0,21.0,148.2,0
