postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CB101AA,CB10 1AA,CB,43,0,43,0,0,0,57,23.0,27.3,8.1,100.0,8.1,20.1,46.7,0,1.2,1.6,0.4,6.0,1.1,1.0,3.0,0,0,0,1,15,6,0,85.0,4.0,108.1,31.2,0
CB101AE,CB10 1AE,CB,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB101AG,CB10 1AG,CB,92,0,92,0,0,0,8,30.0,54.1,4.7,200.0,4.7,19.2,86.1,0,1.3,4.0,0.2,12.0,0.2,0.9,7.5,0,0,1,0,10,12,0,65.0,11.0,59.8,69.8,0
CB101AH,CB10 1AH,CB,100,0,100,0,0,0,0,22.7,34.9,14.3,70.0,0,17.7,56.2,0,1.2,2.9,0.8,10.0,0,1.1,5.2,0,0,0,0,5,4,0,51.9,0,48.5,56.2,0
CB101AJ,CB10 1AJ,CB,96,0,96,0,0,0,4,23.0,62.1,4.5,200.0,4.5,19.1,118.0,0,1.3,3.7,0.7,12.0,0.7,1.1,7.2,0,0,1,0,12,10,0,103.8,0.3,64.7,165.1,0
CB101AL,CB10 1AL,CB,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB101AN,CB10 1AN,CB,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CB101AP,CB10 1AP,CB,75,0,75,0,0,0,25,8.1,13.1,7.4,24.0,7.9,13.1,0,0,0.8,0.8,0.4,2.4,0.5,0.8,0,0,0,0,9,6,0,0,19.1,3.1,19.1,0,0
CB101AQ,CB10 1AQ,CB,100,0,100,0,0,0,0,22.3,26.1,14.3,50.0,0,20.1,50.0,0,1.1,1.5,1.1,3.0,0,1.1,3.0,0,0,0,0,4,1,0,29.4,0,33.0,15.2,0
CB101AR,CB10 1AR,CB,100,0,100,0,0,0,0,23.1,29.2,6.7,79.8,7.4,17.3,49.8,0,1.1,1.2,0.5,2.0,0.8,1.2,0,0,0,0,2,5,4,0,84.8,1.7,103.8,51.4,0
CB101AT,CB10 1AT,CB,100,0,100,0,0,0,0,54.9,64.6,14.3,200.0,0,19.1,83.7,0,8.0,6.4,0.4,15.0,0,1.0,10.0,0,0,0,0,8,19,0,118.2,0,108.3,122.4,0
CB101AU,CB10 1AU,CB,100,0,100,0,0,0,0,115.9,117.3,50.0,200.0,0,0,117.3,0,12.0,8.8,3.0,12.0,0,0,8.8,0,0,0,0,0,6,0,123.5,0,0,123.5,0
CB101AW,CB10 1AW,CB,100,0,100,0,0,0,0,22.6,48.3,14.0,200.0,0,19.7,91.3,0,1.2,2.8,0.3,12.0,0,1.0,5.5,0,0,0,0,12,8,0,117.4,0,122.5,109.7,0
CB101AX,CB10 1AX,CB,100,0,100,0,0,0,0,21.4,34.3,16.5,80.0,0,19.7,52.5,0,1.0,2.5,0.4,10.0,0,0.9,6.5,0,0,0,0,5,4,0,63.2,0,22.8,113.8,0
CB101AY,CB10 1AY,CB,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CB101BB,CB10 1BB,CB,100,0,100,0,0,0,0,79.9,95.8,18.3,200.0,0,19.0,115.0,0,10.0,7.7,0.9,12.0,0,0.9,10.0,0,0,0,0,2,8,0,106.6,0,13.3,131.4,0
CB101BD,CB10 1BD,CB,100,0,100,0,0,0,0,50.0,60.5,13.6,200.0,0,19.3,84.4,0,3.0,4.6,0.8,12.0,0,1.0,6.8,0,0,0,0,11,19,0,84.1,0,40.9,109.1,0
