postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CF101AA,CF10 1AA,CF,0,0,0,0,0,0,100,21.3,19.4,14.3,22.1,0,19.4,0,0,1.2,1.1,0.7,1.3,0,1.1,0,0,0,0,0,9,0,0,127.6,0,127.6,0,0
CF101AB,CF10 1AB,CF,8,0,8,0,0,0,92,18.0,15.0,7.9,20.3,8.1,15.0,0,0,1.2,1.1,0.4,1.3,1.0,1.1,0,0,0,0,5,12,0,0,66.2,6.6,66.2,0,0
CF101AD,CF10 1AD,CF,7,0,7,0,0,0,93,19.9,18.3,8.1,23.5,8.9,18.3,0,0,1.2,1.0,0.4,1.3,0.4,1.0,0,0,0,0,2,19,0,0,96.5,34.4,87.0,0,0
CF101AE,CF10 1AE,CF,0,0,0,0,0,0,100,19.1,17.6,2.3,24.0,4.5,17.6,0,0,1.2,1.1,0.4,1.3,0.4,1.1,0,0,0,1,1,16,0,0,39.5,4.6,39.5,0,0
CF101AF,CF10 1AF,CF,0,0,0,0,0,0,100,20.0,18.1,3.1,23.1,5.6,18.1,0,0,1.1,1.1,0.4,1.3,0.7,1.1,0,0,0,1,1,19,0,0,60.5,18.8,60.5,0,0
CF101AG,CF10 1AG,CF,0,0,0,0,0,0,100,21.1,18.1,0.3,24.4,0.3,18.1,0,0,1.2,1.1,0.4,1.3,0,1.1,0,0,1,0,0,8,0,0,28.4,0,28.4,0,0
CF101AH,CF10 1AH,CF,0,0,0,0,0,0,100,18.8,16.8,6.9,24.3,7.8,16.8,0,0,1.1,1.1,0.7,1.3,1.0,1.1,0,0,0,0,4,12,0,0,17.0,13.3,17.0,0,0
CF101AJ,CF10 1AJ,CF,0,0,0,0,0,0,100,15.0,13.7,0.3,21.2,4.2,13.7,0,0,0.8,0.8,0.4,1.3,0.5,0.8,0,0,1,0,1,6,0,0,69.2,24.5,69.2,0,0
CF101AL,CF10 1AL,CF,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CF101AP,CF10 1AP,CF,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF101AQ,CF10 1AQ,CF,0,100,100,0,0,0,0,14.5,14.2,1.7,19.7,5.4,14.2,0,0,1.1,1.0,0.1,1.3,0.5,1.0,0,0,1,0,1,23,0,0,81.6,93.3,81.6,0,0
CF101AR,CF10 1AR,CF,0,0,0,0,0,0,100,19.7,19.2,6.7,24.0,6.7,19.2,0,0,1.2,1.1,0.6,1.3,0.9,1.1,0,0,0,0,1,18,0,0,139.4,192.9,139.4,0,0
CF101AT,CF10 1AT,CF,45,0,45,0,0,0,55,19.3,16.5,5.6,22.5,6.8,16.5,0,0,1.0,0.9,0.4,1.2,0.6,0.9,0,0,0,0,3,7,0,0,24.2,27.8,24.2,0,0
CF101AU,CF10 1AU,CF,10,0,10,0,0,0,90,18.8,18.0,8.1,23.2,8.1,18.0,0,0,1.2,1.1,0.9,1.3,1.0,1.1,0,0,0,0,1,13,0,0,40.6,12.1,40.6,0,0
CF101AW,CF10 1AW,CF,25,0,25,0,0,0,75,19.5,17.8,7.1,24.4,7.6,17.8,0,0,1.2,1.1,0.6,1.3,0.8,1.1,0,0,0,0,2,10,0,0,54.8,28.7,54.8,0,0
CF101AX,CF10 1AX,CF,90,0,90,0,0,0,10,19.1,17.6,0.6,23.5,4.4,17.6,0,0,1.0,1.0,0.4,1.3,1.0,1.0,0,0,1,0,1,10,0,0,43.8,4.3,43.8,0,0
CF101AY,CF10 1AY,CF,33,0,33,0,0,0,67,18.3,17.8,9.3,22.6,9.3,17.8,0,0,1.3,1.2,1.0,1.3,1.0,1.2,0,0,0,0,1,15,0,0,93.2,87.8,93.2,0,0
CF101AZ,CF10 1AZ,CF,0,0,0,0,0,0,100,15.4,17.5,3.3,39.9,3.3,13.8,39.9,0,1.2,1.1,0.6,1.3,0.6,1.1,0,0,0,1,0,5,1,0,32.8,86.6,32.8,0,0
CF101BA,CF10 1BA,CF,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
