postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CH11AB,CH1 1AB,CH,100,0,100,0,0,0,0,19.5,29.6,3.6,55.0,3.6,17.0,53.4,0,1.2,4.1,0.3,10.0,0.3,1.0,10.0,0,0,1,0,18,10,0,14.8,0.9,16.6,11.3,0
CH11DA,CH1 1DA,CH,0,0,0,0,0,0,100,21.6,18.7,5.8,24.4,7.5,18.7,0,0,1.2,1.2,0.4,2.5,0.8,1.2,0,0,0,0,7,27,0,0,86.4,36.0,86.4,0,0
CH11DE,CH1 1DE,CH,0,0,0,0,0,0,100,20.5,18.5,8.1,24.4,8.1,18.5,0,0,1.1,1.0,0.4,2.1,0.4,1.0,0,0,0,0,2,9,0,0,46.0,0.3,46.0,0,0
CH11DF,CH1 1DF,CH,17,0,17,0,0,0,83,19.7,15.8,4.8,24.5,7.4,15.8,0,0,1.0,1.0,0.4,1.9,0.8,1.0,0,0,0,1,6,9,0,0,53.9,24.4,53.9,0,0
CH11DW,CH1 1DW,CH,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH11EA,CH1 1EA,CH,0,0,0,0,0,0,100,21.5,16.4,0.9,24.4,5.3,16.4,0,0,1.1,0.9,0.3,1.3,0.4,0.9,0,0,1,0,2,5,0,0,36.1,68.1,36.1,0,0
CH11ED,CH1 1ED,CH,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH11EE,CH1 1EE,CH,0,0,0,0,0,0,100,17.3,15.1,6.9,24.4,7.9,15.1,0,0,0.9,0.8,0.4,1.2,0.8,0.8,0,0,0,0,7,10,0,0,38.2,35.5,38.2,0,0
CH11EF,CH1 1EF,CH,62,0,62,0,0,0,38,22.1,36.5,14.3,79.9,0,18.5,66.5,0,1.1,1.1,1.1,1.2,0,1.1,0,0,0,0,0,5,3,0,58.0,0,61.5,52.1,0
CH11EL,CH1 1EL,CH,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CH11ER,CH1 1ER,CH,0,0,0,0,0,0,100,20.7,17.8,0.6,24.2,5.8,17.8,0,0,1.1,1.0,0.4,1.2,0.8,1.0,0,0,1,0,3,14,0,0,22.1,3.4,22.1,0,0
CH11HA,CH1 1HA,CH,24,0,24,0,0,0,76,21.4,21.6,8.1,79.7,8.1,17.4,59.8,0,1.1,1.0,0.4,1.2,0.9,1.0,0,0,0,0,3,15,2,0,51.7,2.2,52.8,42.7,0
CH11HB,CH1 1HB,CH,100,0,100,0,0,0,0,17.1,24.9,2.1,79.8,6.2,13.8,55.3,0,1.1,2.3,0.4,10.0,1.2,1.1,8.0,0,0,3,4,15,8,0,147.4,32.4,28.7,414.3,0
