postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CM07AA,CM0 7AA,CM,100,0,100,0,0,0,0,19.3,21.1,1.3,80.0,4.7,16.9,80.0,0,1.1,1.0,0.2,1.3,0.3,1.0,0,0,1,0,1,12,1,0,99.7,8.7,103.8,42.9,0
CM07AB,CM0 7AB,CM,100,0,100,0,0,0,0,19.2,21.5,4.3,80.0,6.9,17.3,80.0,0,1.2,1.1,0.3,1.4,0.9,1.1,0,0,0,1,2,25,2,0,154.7,18.8,144.4,336.8,0
CM07AD,CM0 7AD,CM,100,0,100,0,0,0,0,18.8,26.0,9.9,79.9,9.9,17.5,49.6,0,1.2,3.0,0.8,17.4,1.2,1.1,10.1,0,0,0,1,10,4,0,203.8,23.9,84.3,532.2,0
CM07AE,CM0 7AE,CM,100,0,100,0,0,0,0,18.1,19.1,1.9,54.9,6.9,16.1,44.6,0,1.1,1.7,0.4,10.0,0.8,1.0,10.0,0,1,0,3,22,3,0,180.2,235.5,174.2,214.2,0
CM07AF,CM0 7AF,CM,100,0,100,0,0,0,0,16.2,19.2,7.4,54.9,7.5,14.8,45.7,0,1.1,2.7,0.8,10.0,1.0,1.6,9.5,0,0,0,2,10,2,0,92.8,123.1,94.7,81.9,0
CM07AG,CM0 7AG,CM,50,0,100,0,0,0,50,12.0,11.9,8.6,15.0,8.6,11.9,0,0,1.1,1.1,0.9,1.2,1.1,1.1,0,0,0,0,1,3,0,0,163.7,5.5,163.7,0,0
CM07AH,CM0 7AH,CM,100,0,100,0,0,0,0,19.2,23.3,7.2,79.7,8.3,17.7,51.8,0,1.2,2.4,0.8,10.0,1.0,1.1,9.7,0,0,0,3,38,8,0,157.6,79.6,138.1,271.0,0
CM07AJ,CM0 7AJ,CM,100,0,100,0,0,0,0,14.4,18.6,1.2,70.8,6.3,14.2,70.8,0,1.0,1.7,0.2,10.0,0.6,1.7,0,0,1,0,2,9,1,0,75.7,169.2,67.2,178.5,0
CM07AL,CM0 7AL,CM,100,0,100,0,0,0,0,18.8,22.8,5.9,68.6,7.0,16.2,50.8,0,1.1,2.9,0.5,20.0,0.7,1.0,13.7,0,0,0,6,41,11,0,173.3,37.4,110.6,468.2,0
CM07AN,CM0 7AN,CM,100,0,100,0,0,0,0,17.6,18.2,1.9,48.7,1.9,15.4,48.7,0,1.2,1.9,0.8,10.0,1.0,1.1,10.0,0,1,0,0,10,1,0,110.8,8.8,118.9,21.8,0
CM07AP,CM0 7AP,CM,100,0,100,0,0,0,0,20.4,26.1,1.2,80.0,4.1,18.4,51.2,0,1.2,2.6,0.4,11.8,0.8,1.0,10.2,0,1,0,1,34,11,0,175.5,519.8,194.6,130.4,0
