postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CO100AB,CO10 0AB,CO,0,0,0,0,4,100,100,4.1,3.9,0.4,7.3,3.9,3.9,0,0,0.8,0.8,0.4,1.1,0.8,0.8,0,0,3,11,5,0,0,0,61.7,61.7,61.7,0,0
CO100AD,CO10 0AD,CO,0,0,57,0,0,57,100,3.5,3.4,1.5,6.1,3.4,3.4,0,0,0.5,0.6,0.4,0.9,0.6,0.6,0,0,1,9,1,0,0,0,44.5,47.3,47.3,0,0
CO100AE,CO10 0AE,CO,0,0,80,0,20,20,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CO100AF,CO10 0AF,CO,50,0,100,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CO100AG,CO10 0AG,CO,100,0,100,0,0,0,0,39.9,38.6,1.5,73.1,1.5,1.5,51.0,0,10.0,10.3,0.9,20.0,0.9,0.9,15.0,0,1,0,0,0,3,0,149.3,4.9,4.9,197.5,0
CO100AH,CO10 0AH,CO,83,0,100,0,0,0,17,40.0,41.2,1.2,80.0,2.5,8.0,54.0,0,10.0,7.5,0.4,20.0,0.7,0.7,11.4,0,2,2,0,1,13,0,164.6,57.9,50.0,228.6,0
CO100AJ,CO10 0AJ,CO,90,0,100,0,0,0,10,30.0,25.6,0.3,54.1,1.5,10.9,40.4,0,6.4,6.4,0.4,19.9,0.7,2.5,10.7,0,6,1,0,4,11,0,84.8,18.2,32.0,114.1,0
CO100AL,CO10 0AL,CO,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CO100AN,CO10 0AN,CO,100,0,100,0,0,0,0,2.8,19.3,2.2,49.9,2.5,2.5,41.6,0,0.8,4.5,0.4,20.0,0.6,0.6,20.0,0,0,4,0,0,3,0,83.5,47.0,47.0,132.2,0
CO100AP,CO10 0AP,CO,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CO100AQ,CO10 0AQ,CO,100,0,100,0,0,0,0,45.1,38.9,0.4,68.2,1.5,8.6,48.2,0,6.1,6.8,0.4,20.0,0.5,1.9,8.6,0,2,1,0,1,13,0,52.5,45.8,49.8,54.5,0
CO100AR,CO10 0AR,CO,96,0,100,0,0,0,4,40.0,36.8,0.8,55.0,2.3,7.3,44.7,0,9.7,7.4,0.3,11.2,0.6,0.6,9.3,0,1,2,0,1,15,0,210.9,39.6,123.6,234.2,0
CO100AS,CO10 0AS,CO,100,0,100,0,0,0,0,3.3,18.9,0.4,59.1,2.4,5.6,45.5,0,0.8,4.0,0.4,18.3,0.7,1.4,12.9,0,3,9,0,2,7,0,98.5,7.0,21.1,264.7,0
CO100AT,CO10 0AT,CO,100,0,100,0,0,0,0,39.9,31.6,0.9,59.3,2.8,2.8,46.0,0,9.0,7.5,0.4,20.0,0.6,0.6,11.6,0,1,2,0,0,6,0,117.8,96.8,96.8,124.8,0
CO100AU,CO10 0AU,CO,100,0,100,0,0,0,0,40.0,33.3,0.8,73.5,2.4,2.4,51.9,0,10.0,7.4,0.4,20.0,0.5,0.5,12.5,0,1,2,0,0,5,0,140.1,43.4,43.4,198.1,0
CO100AW,CO10 0AW,CO,100,0,100,0,0,0,0,36.2,29.7,0.8,54.9,1.9,6.6,39.0,0,8.6,6.9,0.4,11.5,0.6,2.3,8.9,0,3,3,0,2,20,0,290.3,66.8,335.8,262.3,0
CO100AX,CO10 0AX,CO,100,0,100,0,0,0,0,54.9,41.7,3.7,55.0,3.7,3.7,51.2,0,10.0,8.1,0.4,10.0,0.4,0.4,10.0,0,0,1,0,0,4,0,47.0,1.7,1.7,58.3,0
CO100AY,CO10 0AY,CO,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CO100AZ,CO10 0AZ,CO,100,0,100,0,0,0,0,55.0,42.2,3.8,55.0,3.8,3.8,55.0,0,10.0,7.7,0.8,10.0,0.8,0.8,10.0,0,0,1,0,0,3,0,33.2,15.1,15.1,46.9,0
CO100BA,CO10 0BA,CO,100,0,100,0,0,0,0,7.1,24.7,0.6,74.0,3.8,3.8,56.0,0,0.8,3.4,0.3,10.0,0.7,0.7,10.0,0,1,4,1,0,4,0,21.9,7.8,7.8,43.7,0
CO100BB,CO10 0BB,CO,30,0,100,0,0,0,70,15.2,12.2,0.9,40.0,2.7,11.1,40.0,0,0.7,1.2,0.2,7.7,0.5,1.2,0,0,8,1,2,14,1,0,58.7,71.9,64.5,26.5,0
CO100BD,CO10 0BD,CO,3,0,100,0,0,16,97,14.8,14.4,1.0,31.5,3.6,13.6,31.5,0,2.5,2.8,0.4,6.6,1.6,2.6,6.0,0,4,1,3,14,1,0,28.9,19.0,28.0,47.9,0
CO100BE,CO10 0BE,CO,0,0,100,0,0,0,100,3.0,7.6,0.8,20.0,1.8,7.6,0,0,0.5,0.9,0.3,1.9,0.5,0.9,0,0,3,2,0,3,0,0,126.0,19.7,126.0,0,0
CO100BG,CO10 0BG,CO,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CO100BH,CO10 0BH,CO,0,0,100,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CO100BJ,CO10 0BJ,CO,0,100,100,0,0,0,0,5.3,5.2,3.8,6.2,5.2,5.2,0,0,0.4,0.5,0.4,0.8,0.5,0.5,0,0,0,2,4,0,0,0,52.7,52.7,52.7,0,0
CO100BL,CO10 0BL,CO,0,100,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
