postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CR00AA,CR0 0AA,CR,100,0,100,0,0,0,0,14.2,43.0,5.0,300.0,6.7,11.5,63.4,300.0,1.3,3.8,0.3,15.0,0.8,1.4,6.2,15.0,0,0,4,10,10,1,187.9,78.2,186.9,139.2,610.2
CR00AB,CR0 0AB,CR,100,0,100,0,0,0,0,50.0,44.6,3.9,152.0,6.2,8.9,70.5,0,3.0,4.3,0.7,20.0,1.0,1.0,6.8,0,0,3,5,5,18,0,127.2,20.0,97.4,155.8,0
CR00AD,CR0 0AD,CR,100,0,100,0,0,0,0,27.0,45.4,5.9,200.0,7.1,12.7,86.4,0,3.0,4.5,0.4,12.0,0.9,2.3,7.2,0,0,0,3,2,4,0,125.3,57.2,59.4,207.5,0
CR00AE,CR0 0AE,CR,93,0,93,0,0,0,7,14.3,37.8,3.7,150.0,7.6,10.3,70.0,0,1.1,3.4,0.7,12.0,0.9,0.9,6.5,0,0,1,5,8,12,0,183.5,83.9,103.9,291.7,0
CR00AF,CR0 0AF,CR,100,0,100,0,0,0,0,37.8,47.9,1.8,200.0,6.9,8.3,84.5,0,3.0,4.6,0.8,12.0,1.0,1.0,7.6,0,1,1,6,4,13,0,107.9,105.8,98.3,119.8,0
CR00AG,CR0 0AG,CR,100,0,100,0,0,0,0,29.2,50.7,2.9,200.0,7.4,12.0,92.0,0,3.0,4.9,0.7,12.0,1.0,2.7,7.6,0,0,3,9,4,15,0,128.8,89.5,83.8,176.8,0
CR00AH,CR0 0AH,CR,95,0,100,0,0,0,5,11.8,50.2,3.7,200.0,7.3,9.0,109.1,0,1.1,3.6,0.7,12.0,0.9,1.0,7.3,0,0,2,6,2,7,0,119.7,50.1,44.5,205.8,0
CR00AJ,CR0 0AJ,CR,100,0,100,0,0,0,0,36.8,53.8,3.4,200.0,7.8,10.0,91.4,0,3.0,4.3,0.8,12.0,0.9,0.9,7.0,0,0,1,8,3,14,0,181.0,118.1,142.6,216.4,0
CR00AL,CR0 0AL,CR,100,0,100,0,0,0,0,14.1,39.0,8.3,152.0,8.3,12.5,85.5,0,1.1,3.0,0.8,12.0,1.1,1.0,6.7,0,0,0,1,6,4,0,239.1,663.4,287.4,154.7,0
CR00AN,CR0 0AN,CR,100,0,100,0,0,0,0,39.4,57.9,2.6,200.0,6.9,10.0,91.4,0,5.0,5.5,0.6,16.2,0.9,1.0,8.8,0,0,1,5,8,20,0,215.6,192.3,166.3,241.6,0
