postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CT101AA,CT10 1AA,CT,100,0,100,0,0,0,0,20.3,25.6,7.6,55.0,7.6,18.3,47.4,0,1.2,2.3,0.4,10.0,0.4,1.0,10.0,0,0,0,1,5,2,0,116.9,84.3,147.8,24.4,0
CT101AB,CT10 1AB,CT,100,0,100,0,0,0,0,21.7,24.7,8.1,55.0,8.1,18.6,55.0,0,1.0,1.0,0.8,1.2,0.9,1.0,0,0,0,0,1,4,1,0,58.0,6.1,59.4,51.3,0
CT101AD,CT10 1AD,CT,100,0,100,0,0,0,0,18.1,33.1,16.3,80.0,0,17.5,80.0,0,0.9,1.0,0.8,1.2,0,1.0,0,0,0,0,0,3,1,0,81.9,0,93.8,46.0,0
CT101AE,CT10 1AE,CT,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CT101AF,CT10 1AF,CT,100,0,100,0,0,0,0,8.0,17.5,4.4,55.0,6.7,10.0,55.0,0,1.1,2.6,0.8,8.9,1.1,1.1,8.9,0,0,1,3,1,1,0,132.7,154.7,154.7,43.1,0
CT101AG,CT10 1AG,CT,100,0,100,0,0,0,0,30.1,35.8,17.3,80.0,0,19.0,52.7,0,1.2,4.1,0.8,10.0,0,1.1,10.0,0,0,0,0,4,4,0,242.5,0,195.6,253.3,0
CT101AH,CT10 1AH,CT,100,0,100,0,0,0,0,39.9,32.2,0.2,58.7,3.6,14.2,48.5,0,5.7,6.0,0.2,20.0,0.5,1.0,11.0,0,1,0,1,8,11,0,176.3,12.5,61.4,280.6,0
CT101AJ,CT10 1AJ,CT,100,0,100,0,0,0,0,18.2,25.5,8.8,55.0,9.1,15.2,43.8,0,1.3,3.4,0.8,12.0,0.8,1.1,8.1,0,0,0,2,14,9,0,143.7,92.8,144.5,174.3,0
CT101AL,CT10 1AL,CT,100,0,100,0,0,0,0,14.0,16.4,4.7,50.6,7.7,12.5,48.1,0,0.9,1.9,0.7,7.0,0.9,1.3,6.7,0,0,1,5,10,2,0,114.2,77.1,132.3,9.7,0
CT101AP,CT10 1AP,CT,100,0,100,0,0,0,0,17.7,30.1,11.9,77.1,0,15.6,50.4,0,1.3,5.6,0.8,20.0,0,1.1,12.0,0,0,0,0,7,5,0,208.5,0,113.5,270.3,0
CT101AQ,CT10 1AQ,CT,100,0,100,0,0,0,0,15.6,24.8,2.5,72.7,2.5,14.5,55.5,0,1.2,3.4,0.4,19.0,0.4,1.0,12.2,0,0,1,0,14,5,0,114.2,0.1,148.4,11.6,0
CT101AR,CT10 1AR,CT,100,0,100,0,0,0,0,17.9,27.8,0.5,75.6,5.6,14.7,53.9,0,1.1,4.6,0.5,20.0,0.8,1.0,12.2,0,1,0,2,15,9,0,240.4,10.4,132.4,442.5,0
CT101AS,CT10 1AS,CT,100,0,100,0,0,0,0,16.8,29.2,3.1,69.3,7.7,10.8,50.9,0,1.2,4.9,0.3,20.0,0.9,1.0,11.2,0,0,1,5,7,11,0,166.2,134.9,189.2,149.3,0
CT101AT,CT10 1AT,CT,100,0,100,0,0,0,0,20.0,28.2,8.6,54.9,8.6,15.4,42.7,0,2.0,4.8,0.7,10.0,0.7,2.0,7.9,0,0,0,1,8,8,0,106.9,20.1,79.5,137.8,0
CT101AU,CT10 1AU,CT,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CT101AX,CT10 1AX,CT,100,0,100,0,0,0,0,18.1,25.1,3.8,55.0,3.8,15.9,46.6,0,1.2,3.5,0.7,11.0,0.8,1.1,10.0,0,0,1,0,13,6,0,117.7,21.9,53.2,275.3,0
CT101AY,CT10 1AY,CT,100,0,100,0,0,0,0,20.9,35.3,9.4,79.0,9.7,16.8,57.1,0,1.7,6.2,0.6,20.0,0.7,1.4,12.0,0,0,0,2,11,11,0,74.4,26.9,75.5,73.1,0
CT101AZ,CT10 1AZ,CT,100,0,100,0,0,0,0,17.7,23.8,5.1,55.0,6.9,15.4,50.1,0,1.1,2.9,0.7,10.0,0.8,1.0,10.0,0,0,0,2,20,7,0,109.8,6.7,77.6,221.4,0
CT101BA,CT10 1BA,CT,100,0,100,0,0,0,0,17.1,26.6,10.5,55.0,0,14.9,50.0,0,1.2,4.1,1.0,10.0,0,1.1,10.0,0,0,0,0,6,3,0,128.7,0,73.7,238.6,0
