postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CV100AA,CV10 0AA,CV,100,0,100,0,0,0,0,23.3,35.5,0.3,100.0,5.4,12.4,61.0,0,2.5,2.5,0.8,6.0,1.0,1.1,3.7,0,1,0,2,8,10,0,106.6,71.0,108.2,113.0,0
CV100AB,CV10 0AB,CV,100,0,100,0,0,0,0,16.3,56.7,5.8,200.0,7.7,12.8,139.0,0,1.3,3.8,0.9,12.0,1.1,1.2,8.8,0,0,0,5,10,8,0,127.7,80.1,76.8,216.7,0
CV100AD,CV10 0AD,CV,0,0,0,0,0,0,100,10.2,10.7,3.1,17.6,7.0,10.7,0,0,1.1,1.0,0.4,1.3,0.9,1.0,0,0,0,1,3,4,0,0,28.6,2.8,28.6,0,0
CV100AF,CV10 0AF,CV,100,0,100,0,0,0,0,9.4,27.3,3.6,79.9,6.3,6.3,53.7,0,1.1,4.3,0.6,10.0,0.8,0.8,10.0,0,0,2,3,0,4,0,118.4,122.9,122.9,112.8,0
CV100AG,CV10 0AG,CV,0,0,0,0,0,20,100,15.0,14.0,8.1,19.2,8.5,14.0,0,0,1.1,1.1,0.4,1.2,0.9,1.1,0,0,0,0,3,12,0,0,45.6,110.9,45.6,0,0
CV100AH,CV10 0AH,CV,100,0,100,0,0,0,0,14.1,31.9,8.1,79.8,8.1,12.7,79.8,0,0.9,0.9,0.4,1.4,0.9,0.9,0,0,0,0,1,4,2,0,26.6,3.6,1.8,76.0,0
CV100AL,CV10 0AL,CV,100,0,100,0,0,0,0,16.3,27.9,12.1,78.0,0,15.4,78.0,0,1.2,4.9,1.1,20.0,0,1.2,20.0,0,0,0,0,4,1,0,94.2,0,123.1,22.8,0
CV100AN,CV10 0AN,CV,100,0,100,0,0,0,0,53.8,69.7,8.1,200.0,8.1,15.0,97.1,0,5.0,5.8,1.0,12.0,1.0,1.2,7.7,0,0,0,1,4,10,0,128.5,28.1,133.5,126.5,0
CV100AP,CV10 0AP,CV,0,0,0,0,0,67,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CV100AQ,CV10 0AQ,CV,0,0,0,0,0,58,100,10.1,9.2,2.6,15.9,6.0,9.2,0,0,1.0,0.9,0.5,1.2,0.9,0.9,0,0,0,6,6,12,0,0,147.4,153.9,147.4,0,0
