postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CW100AA,CW10 0AA,CW,100,0,100,0,0,0,0,12.2,25.0,7.1,77.4,8.1,11.5,58.7,0,1.2,5.0,0.8,20.0,0.9,1.0,15.0,0,0,0,2,3,2,0,107.6,119.4,87.5,158.0,0
CW100AB,CW10 0AB,CW,100,0,100,0,0,0,0,13.9,26.0,4.6,73.8,6.6,12.1,53.9,0,1.1,3.6,0.7,20.0,0.8,1.0,12.0,0,0,1,2,13,8,0,70.1,34.4,65.4,79.3,0
CW100AD,CW10 0AD,CW,100,0,100,0,0,0,0,18.0,33.6,4.1,79.8,5.2,12.8,57.3,0,1.3,5.6,0.7,20.0,0.8,1.0,11.7,0,0,1,1,6,7,0,153.0,76.1,91.2,225.8,0
CW100AE,CW10 0AE,CW,100,0,100,0,0,0,0,17.7,24.1,7.3,54.9,7.3,16.2,44.9,0,1.2,3.3,0.8,10.0,1.1,1.4,9.7,0,0,0,1,25,10,0,171.3,111.4,141.9,270.8,0
CW100AF,CW10 0AF,CW,100,0,100,0,0,0,0,15.4,29.7,7.1,79.9,8.1,11.0,55.4,0,1.0,4.8,0.8,20.0,0.9,1.3,11.1,0,0,0,5,6,8,0,241.9,120.3,196.6,304.1,0
CW100AG,CW10 0AG,CW,100,0,100,0,0,0,0,14.6,25.8,4.4,79.8,6.3,11.2,50.1,0,1.1,3.9,0.7,15.0,1.0,1.0,10.5,0,0,1,5,9,9,0,117.0,39.1,146.6,90.0,0
CW100AH,CW10 0AH,CW,100,0,100,0,0,0,0,18.6,24.5,16.4,79.8,0,18.0,59.9,0,1.2,1.9,0.8,10.0,0,1.1,10.0,0,0,0,0,11,2,0,238.1,0,178.9,563.6,0
CW100AJ,CW10 0AJ,CW,100,0,100,0,0,0,0,14.2,21.7,3.8,79.8,7.0,13.4,52.1,0,1.1,2.4,0.5,20.0,0.8,1.0,10.4,0,0,1,5,23,8,0,226.0,68.8,226.4,238.4,0
CW100AN,CW10 0AN,CW,100,0,100,0,0,0,0,17.0,33.6,3.6,79.9,6.2,11.4,59.4,0,1.3,6.4,0.4,20.0,0.7,1.0,14.0,0,0,2,3,9,12,0,171.3,58.5,117.0,234.6,0
CW100AP,CW10 0AP,CW,100,0,100,0,0,0,0,28.8,26.0,6.5,40.0,6.5,12.0,40.0,0,9.5,7.5,0.9,10.0,0.9,5.2,9.8,0,0,0,1,1,2,0,135.3,389.9,230.1,40.5,0
