postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
DA100AA,DA10 0AA,DA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DA100AB,DA10 0AB,DA,100,0,100,0,0,0,0,8.7,19.5,0.2,69.6,6.8,7.7,54.8,0,1.2,3.7,0.7,20.0,1.2,1.1,15.0,0,1,0,6,2,3,0,126.6,69.1,61.4,322.3,0
DA100AD,DA10 0AD,DA,100,0,100,0,0,0,0,9.7,22.8,1.3,77.7,7.0,9.1,52.5,0,1.1,3.7,0.6,12.6,1.0,1.5,10.6,0,1,1,8,3,6,0,225.9,54.7,125.0,487.2,0
DA100AE,DA10 0AE,DA,100,0,100,0,0,0,0,9.4,22.9,4.6,71.2,7.8,8.1,50.9,0,1.3,4.2,0.8,20.0,1.1,1.2,13.8,0,0,1,14,2,9,0,208.3,130.2,126.4,310.6,0
DA100AF,DA10 0AF,DA,100,0,100,0,0,0,0,6.8,17.2,0.3,69.1,4.2,4.2,69.1,0,1.0,4.8,1.0,20.0,1.0,1.0,20.0,0,1,1,2,0,1,0,135.2,94.8,94.8,315.8,0
DA100AG,DA10 0AG,DA,100,0,100,0,0,0,0,9.2,15.2,0.6,56.9,6.5,7.5,50.2,0,1.1,2.9,0.3,20.0,1.0,1.0,16.7,0,2,2,14,5,5,0,123.2,83.1,122.4,126.8,0
DA100AH,DA10 0AH,DA,96,0,96,4,4,4,4,12.7,27.8,3.2,68.4,6.2,9.4,48.9,0,1.2,4.5,0.7,20.0,0.9,1.1,13.6,0,0,1,2,5,7,0,166.7,98.7,166.2,116.1,0
DA100AJ,DA10 0AJ,DA,100,0,100,0,0,0,0,62.2,50.6,8.5,69.8,8.5,8.5,64.7,0,10.0,10.3,0.8,20.0,0.8,0.8,15.0,0,0,0,1,0,3,0,248.8,476.6,476.6,172.8,0
DA100AL,DA10 0AL,DA,100,0,100,0,0,0,0,47.5,37.8,1.5,78.0,5.2,5.2,54.1,0,10.0,7.4,0.6,20.0,0.9,0.9,11.7,0,1,0,3,0,8,0,198.7,128.7,128.7,233.9,0
DA100AN,DA10 0AN,DA,100,0,100,0,0,0,0,7.1,23.4,4.6,80.0,6.3,6.3,57.6,0,1.0,4.8,0.8,20.0,0.9,0.9,14.0,0,0,1,11,0,6,0,127.1,88.3,88.3,200.1,0
