postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
DD100AA,DD10 0AA,DD,0,0,40,47,93,100,100,2.0,2.4,0.5,7.4,2.4,2.4,0,0,0.4,0.5,0.4,0.8,0.5,0.5,0,0,10,6,3,0,0,0,24.7,24.7,24.7,0,0
DD100AB,DD10 0AB,DD,0,0,100,0,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DD100AD,DD10 0AD,DD,0,0,100,0,0,50,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DD100AE,DD10 0AE,DD,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DD100AF,DD10 0AF,DD,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DD100AG,DD10 0AG,DD,0,0,100,9,9,82,100,8.0,8.5,5.9,13.8,7.7,8.5,0,0,1.0,0.9,0.4,1.2,0.8,0.9,0,0,0,0,9,2,0,0,67.3,66.5,67.3,0,0
DD100AH,DD10 0AH,DD,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DD100AJ,DD10 0AJ,DD,100,0,100,0,0,0,0,16.7,19.1,5.4,54.8,5.4,14.7,51.7,0,1.1,2.1,0.7,10.0,0.7,1.1,10.0,0,0,0,1,14,2,0,107.4,29.4,99.3,155.9,0
DD100AL,DD10 0AL,DD,0,0,0,0,0,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DD100AQ,DD10 0AQ,DD,0,0,6,18,35,100,100,3.8,3.8,0.6,9.8,3.8,3.8,0,0,0.4,0.5,0.4,1.1,0.5,0.5,0,0,4,8,3,0,0,0,76.2,76.2,76.2,0,0
DD100AU,DD10 0AU,DD,0,0,0,0,0,0,100,20.5,20.3,18.7,21.7,0,20.3,0,0,1.2,1.2,1.0,1.3,0,1.2,0,0,0,0,0,16,0,0,242.5,0,242.5,0,0
