postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
DE110AD,DE11 0AD,DE,100,0,100,0,0,0,0,9.5,22.4,2.3,79.7,7.8,9.2,53.2,0,0.9,0.9,0.8,1.1,0.9,0.9,0,0,0,1,5,1,3,0,58.5,23.4,20.3,147.8,0
DE110AE,DE11 0AE,DE,100,0,100,0,0,0,0,9.7,9.9,7.3,13.5,8.4,9.9,0,0,1.0,1.0,0.9,1.1,0.9,1.0,0,0,0,0,3,2,0,0,26.2,4.9,26.2,0,0
DE110AG,DE11 0AG,DE,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DE110AN,DE11 0AN,DE,100,0,100,0,0,0,0,13.4,25.6,4.5,79.9,7.7,10.4,58.2,0,1.1,4.9,0.9,20.0,1.0,1.0,15.1,0,0,1,7,7,7,0,42.0,17.5,32.7,60.8,0
DE110AP,DE11 0AP,DE,100,0,100,0,0,0,0,11.7,26.6,7.0,66.6,7.0,10.3,53.8,0,1.1,3.6,0.7,10.0,1.1,1.1,10.0,0,0,0,1,4,3,0,103.2,27.8,77.1,146.6,0
DE110AR,DE11 0AR,DE,100,0,100,0,0,0,0,40.0,36.1,6.5,60.7,6.5,10.6,48.9,0,5.6,8.0,0.8,20.0,0.8,1.0,15.0,0,0,0,1,1,4,0,229.8,72.1,48.9,325.6,0
DE110AS,DE11 0AS,DE,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE110AT,DE11 0AT,DE,100,0,100,0,0,0,0,30.4,33.2,2.9,71.5,4.3,4.3,62.2,0,1.0,6.5,0.2,20.0,0.8,0.8,17.9,0,0,3,3,0,6,0,218.1,168.7,168.7,294.7,0
DE110AU,DE11 0AU,DE,100,0,100,0,0,0,0,22.2,26.5,3.2,67.7,4.0,4.0,49.0,0,0.7,6.4,0.4,20.0,0.6,0.6,15.0,0,0,2,1,0,3,0,223.0,166.6,166.6,336.6,0
DE110AW,DE11 0AW,DE,100,0,100,0,0,0,0,15.2,28.8,9.2,79.7,9.3,12.4,52.4,0,1.2,3.9,0.4,10.0,1.2,1.1,10.0,0,0,0,2,11,9,0,166.8,47.4,125.5,148.6,0
DE110AX,DE11 0AX,DE,100,0,100,0,0,0,0,12.9,21.6,6.9,54.9,8.1,11.2,52.5,0,1.2,3.3,0.8,10.0,0.8,1.0,10.0,0,0,0,2,4,2,0,113.4,86.3,120.2,96.4,0
