postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
DG109AA,DG10 9AA,DG,100,0,100,0,0,0,0,20.7,26.1,8.1,54.9,8.1,16.5,54.9,0,1.2,4.1,1.0,10.0,0,1.1,10.0,0,0,0,1,2,1,0,60.5,23.6,41.0,119.0,0
DG109AB,DG10 9AB,DG,100,0,100,0,0,0,0,8.1,16.5,8.1,54.9,8.1,10.1,54.9,0,5.4,5.4,0.8,10.0,0,0.8,10.0,0,0,0,5,1,1,0,35.4,9.8,8.6,196.6,0
DG109AD,DG10 9AD,DG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DG109AE,DG10 9AE,DG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DG109AG,DG10 9AG,DG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DG109AH,DG10 9AH,DG,100,0,100,0,0,0,0,8.1,24.8,5.1,54.9,7.4,9.7,54.9,0,10.0,6.2,0.4,10.0,0.4,0.6,10.0,0,0,0,5,1,3,0,85.2,81.7,88.6,79.6,0
DG109AJ,DG10 9AJ,DG,100,0,100,0,0,0,0,31.5,33.3,3.4,66.8,5.8,5.8,60.9,0,8.8,8.8,0.9,16.7,0.9,0.9,16.7,0,0,1,1,0,2,0,257.9,26.3,26.3,489.4,0
DG109AL,DG10 9AL,DG,100,0,100,0,0,0,0,12.0,19.8,8.1,47.2,8.1,11.3,39.6,0,1.2,3.9,0.4,9.4,0.4,0.8,7.9,0,0,0,4,3,3,0,75.1,35.7,41.5,138.7,0
DG109AN,DG10 9AN,DG,100,0,100,0,0,0,0,48.1,38.3,8.1,57.7,8.1,12.5,51.2,0,8.2,8.9,0.8,16.6,0,0.8,10.9,0,0,0,1,1,4,0,74.1,22.9,38.7,91.8,0
DG109AP,DG10 9AP,DG,100,0,100,0,0,0,0,8.1,18.8,2.3,70.4,7.3,8.3,53.7,0,1.0,6.4,0.4,20.0,0.4,0.6,15.0,0,0,1,8,1,3,0,43.4,18.3,20.5,120.0,0
DG109AQ,DG10 9AQ,DG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DG109AR,DG10 9AR,DG,100,0,100,0,0,0,0,8.1,21.0,5.1,59.9,7.5,10.6,57.4,0,5.5,7.9,0.8,20.0,0,0.9,15.0,0,0,0,5,2,2,0,147.1,34.3,41.6,516.6,0
DG109AS,DG10 9AS,DG,100,0,100,0,0,0,0,11.4,21.3,7.4,54.9,7.8,10.1,54.9,0,5.3,5.3,0.5,10.0,0,0.5,10.0,0,0,0,2,1,1,0,94.1,17.8,71.6,161.8,0
DG109AW,DG10 9AW,DG,100,0,100,0,0,0,0,8.1,22.9,4.0,55.0,7.4,9.1,55.0,0,10.0,7.0,1.0,10.0,0,1.0,10.0,0,0,1,5,1,3,0,20.4,6.1,7.3,51.0,0
DG109AX,DG10 9AX,DG,100,0,100,0,0,0,0,8.1,9.0,3.4,20.5,7.1,9.0,0,0,0.4,0.6,0.4,0.8,0.4,0.6,0,0,0,1,5,1,0,0,36.1,11.8,36.1,0,0
DG109AY,DG10 9AY,DG,100,0,100,0,0,0,0,54.9,43.5,8.1,79.7,8.1,16.2,54.4,0,10.0,7.8,1.0,10.0,0,1.1,10.0,0,0,0,1,3,10,0,236.2,120.8,271.1,229.7,0
DG109AZ,DG10 9AZ,DG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DG109BA,DG10 9BA,DG,100,0,100,0,0,0,0,27.2,30.5,8.1,59.5,8.1,17.0,44.0,0,9.8,6.8,0.8,12.0,0,1.1,10.5,0,0,0,1,2,3,0,481.1,31.9,97.4,864.9,0
DG109BB,DG10 9BB,DG,100,0,100,0,0,0,0,27.5,33.6,8.1,64.5,8.1,20.7,53.0,0,7.5,6.9,0.8,16.9,0,2.1,11.7,0,0,0,1,5,4,0,98.1,5.4,121.8,62.6,0
DG109BD,DG10 9BD,DG,100,0,100,0,0,0,0,15.8,22.6,3.4,54.9,6.3,10.8,46.1,0,3.4,4.8,0.4,10.0,0.4,1.7,10.0,0,0,2,3,3,4,0,92.9,57.8,65.9,104.6,0
DG109BE,DG10 9BE,DG,100,0,100,0,0,0,0,17.6,20.1,4.5,48.1,7.3,12.9,40.3,0,1.2,3.3,0.4,10.0,0.4,1.4,7.6,0,0,1,5,8,5,0,108.5,29.0,84.3,152.1,0
DG109BF,DG10 9BF,DG,100,0,100,0,0,0,0,11.7,16.7,4.5,49.0,7.2,12.7,49.0,0,1.0,3.6,0.8,7.9,0,2.6,7.9,0,0,1,3,4,1,0,62.4,17.6,20.2,400.3,0
