postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
DH11AB,DH1 1AB,DH,100,0,100,0,0,0,0,4.5,19.2,1.1,66.8,3.4,3.4,66.8,0,0.8,5.5,0.6,19.7,0.7,0.7,19.7,0,1,1,1,0,1,0,22.2,28.2,28.2,4.4,0
DH11AD,DH1 1AD,DH,100,0,100,0,0,0,0,40.0,38.3,2.2,75.3,3.8,3.8,53.6,0,10.0,7.8,0.6,20.0,0.8,0.8,13.3,0,0,3,1,0,9,0,112.5,60.5,60.5,97.4,0
DH11AE,DH1 1AE,DH,100,0,100,0,0,0,0,40.0,33.5,2.8,68.7,2.9,2.9,45.7,0,10.0,8.7,0.7,19.0,0.8,0.8,11.8,0,0,2,0,0,5,0,462.3,9.6,9.6,735.4,0
DH11AF,DH1 1AF,DH,100,0,100,0,0,0,0,39.2,34.2,1.3,67.3,2.4,11.2,45.7,0,6.1,6.4,0.2,20.0,0.6,2.5,9.8,0,1,6,0,5,24,0,207.2,48.4,135.9,285.5,0
DH11AG,DH1 1AG,DH,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DH11AH,DH1 1AH,DH,100,0,100,0,0,0,0,12.3,20.4,0.9,51.7,2.2,4.9,41.5,0,0.7,3.6,0.3,10.0,0.6,0.6,9.0,0,8,12,0,3,17,0,95.2,44.5,46.2,140.8,0
DH11AJ,DH1 1AJ,DH,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DH11AL,DH1 1AL,DH,100,0,100,0,0,0,0,31.2,27.3,0.5,74.4,2.2,3.7,50.9,0,0.8,6.5,0.4,20.0,0.6,1.7,12.7,0,5,11,0,1,17,0,99.9,33.9,39.4,182.6,0
DH11AN,DH1 1AN,DH,100,0,100,0,0,0,0,17.3,19.3,2.2,40.0,2.8,2.8,35.9,0,3.9,4.4,0.4,10.0,0.7,0.7,8.1,0,0,4,0,0,4,0,58.3,19.2,19.2,109.5,0
DH11AP,DH1 1AP,DH,100,0,100,0,0,0,0,3.7,19.2,0.4,73.7,2.7,2.7,52.1,0,0.8,1.8,0.6,10.0,0.7,0.7,6.0,0,3,4,1,0,4,0,61.5,46.3,46.3,24.9,0
DH11AQ,DH1 1AQ,DH,100,0,100,0,0,0,0,38.2,27.9,1.7,59.9,2.6,2.6,45.8,0,7.3,5.8,0.4,15.8,0.6,0.6,9.6,0,3,9,0,0,17,0,100.8,18.6,18.6,164.1,0
DH11AR,DH1 1AR,DH,100,0,100,0,0,0,0,5.5,8.9,1.2,40.0,3.7,3.7,40.0,0,0.9,0.8,0.4,1.1,0.8,0.8,0,0,2,1,3,0,1,0,8.8,8.7,8.7,9.5,0
DH11AS,DH1 1AS,DH,100,0,100,0,0,0,0,5.6,25.0,1.0,79.9,4.0,4.0,58.7,0,0.8,4.3,0.4,20.0,0.8,0.8,11.2,0,3,8,5,0,10,0,69.3,71.0,71.0,58.8,0
DH11AT,DH1 1AT,DH,100,0,100,0,0,0,0,5.1,27.4,1.5,80.0,3.2,3.2,57.1,0,0.8,4.8,0.4,20.0,0.7,0.7,12.1,0,4,10,2,0,13,0,105.2,43.2,43.2,134.9,0
DH11AW,DH1 1AW,DH,100,0,100,0,0,0,0,40.0,38.0,2.3,79.8,2.8,2.8,58.1,0,5.4,6.6,0.5,20.0,0.7,0.7,12.5,0,0,4,0,0,7,0,226.3,38.7,38.7,333.7,0
DH11AY,DH1 1AY,DH,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DH11AZ,DH1 1AZ,DH,100,0,100,0,0,0,0,3.9,22.2,0.9,58.5,3.1,3.1,50.8,0,0.8,4.7,0.2,18.2,0.7,0.7,10.8,0,2,13,0,0,10,0,78.8,71.9,71.9,82.0,0
DH11BA,DH1 1BA,DH,100,0,100,0,0,0,0,47.5,34.3,1.4,79.7,3.4,3.4,58.3,0,5.4,6.0,0.4,19.5,0.7,0.7,11.4,0,2,5,0,0,9,0,49.0,33.3,33.3,64.9,0
DH11BB,DH1 1BB,DH,100,0,100,0,0,0,0,4.0,16.8,2.0,46.3,3.0,5.9,42.1,0,0.8,3.4,0.1,10.0,0.6,0.6,10.0,0,0,6,0,1,3,0,68.3,40.8,37.2,140.8,0
DH11BD,DH1 1BD,DH,100,0,100,0,0,0,0,33.6,27.2,0.8,72.3,3.1,3.1,48.0,0,0.8,3.0,0.5,10.0,0.7,0.7,10.0,0,1,5,0,0,7,0,80.4,17.0,17.0,139.8,0
DH11BE,DH1 1BE,DH,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DH11BG,DH1 1BG,DH,100,0,100,0,0,0,0,21.8,24.0,2.7,55.0,3.1,3.1,44.9,0,0.7,5.2,0.5,18.8,0.7,0.7,18.8,0,0,3,0,0,3,0,34.8,40.5,40.5,26.7,0
DH11BJ,DH1 1BJ,DH,100,0,100,0,0,0,0,31.1,32.3,0.3,79.7,4.8,4.8,59.9,0,1.1,4.9,0.4,10.0,0.9,0.9,10.0,0,1,1,3,0,5,0,100.7,131.5,131.5,69.8,0
DH11BL,DH1 1BL,DH,100,0,100,0,0,0,0,3.9,24.3,1.4,79.7,2.9,4.4,59.2,0,0.8,3.7,0.6,20.0,0.7,1.2,12.5,0,3,10,0,1,8,0,109.9,53.0,51.7,220.1,0
DH11BP,DH1 1BP,DH,100,0,100,0,0,0,0,29.1,28.9,2.2,55.0,2.7,2.7,55.0,0,5.2,5.2,0.4,10.0,0.4,0.4,10.0,0,0,2,0,0,2,0,24.1,2.1,2.1,46.1,0
DH11BQ,DH1 1BQ,DH,100,0,100,0,0,0,0,5.0,21.8,1.2,79.9,3.9,4.8,48.3,0,0.8,3.1,0.3,10.0,0.7,0.9,9.2,0,2,22,6,1,20,0,114.1,69.2,68.7,189.4,0
DH11DA,DH1 1DA,DH,100,0,100,0,0,0,0,9.3,19.3,6.0,75.1,7.8,8.3,57.5,0,1.1,3.4,0.9,20.0,1.0,1.0,20.0,0,0,0,6,1,2,0,108.9,86.0,99.2,107.7,0
DH11DB,DH1 1DB,DH,100,0,100,0,0,0,0,9.3,24.4,1.2,58.4,5.7,5.7,48.4,0,1.0,4.6,0.4,20.0,0.8,0.8,11.5,0,1,3,5,0,7,0,68.0,18.7,18.7,101.7,0
DH11DD,DH1 1DD,DH,96,0,100,4,4,4,4,41.8,36.2,4.7,71.5,7.7,8.7,54.6,0,4.4,6.5,0.4,20.0,0.9,0.9,10.9,0,0,1,4,3,12,0,95.7,117.6,89.2,122.5,0
DH11DE,DH1 1DE,DH,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DH11DF,DH1 1DF,DH,100,0,100,0,0,0,0,20.1,26.7,6.4,55.8,8.2,8.2,45.3,0,1.2,5.0,0.8,20.0,0.9,0.9,10.2,0,0,0,5,0,5,0,58.3,86.5,86.5,30.1,0
DH11DG,DH1 1DG,DH,100,0,100,0,0,0,0,5.4,5.4,0.6,8.0,5.4,5.4,0,0,0.9,0.9,0.8,0.9,0.9,0.9,0,0,1,0,4,0,0,0,85.8,85.8,85.8,0,0
DH11DH,DH1 1DH,DH,100,0,100,0,0,0,0,7.4,11.5,3.0,39.8,5.9,5.9,39.8,0,0.9,0.8,0.5,1.0,0.8,0.8,0,0,0,2,3,0,1,0,45.7,23.0,23.0,159.1,0
DH11DJ,DH1 1DJ,DH,100,0,100,0,0,0,0,10.5,28.4,5.6,79.0,8.1,9.7,59.7,0,1.1,5.7,0.4,20.0,0.9,1.0,14.7,0,0,0,15,5,12,0,172.6,85.9,91.5,329.5,0
DH11DL,DH1 1DL,DH,97,0,100,0,0,0,3,9.5,23.0,1.2,65.0,5.9,8.9,52.7,0,1.0,3.0,0.4,12.2,0.8,1.3,9.9,0,1,5,11,4,10,0,57.0,25.5,32.4,106.8,0
