postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
DL104AA,DL10 4AA,DL,100,0,100,0,0,0,0,8.1,12.2,8.1,24.4,8.1,12.2,0,0,0.4,0.7,0.4,1.2,0.5,0.7,0,0,0,0,8,3,0,0,8.9,11.1,8.9,0,0
DL104AB,DL10 4AB,DL,100,0,100,0,0,0,0,22.7,22.4,6.7,40.0,6.7,21.1,40.0,0,1.2,1.8,1.0,10.0,1.2,1.2,10.0,0,0,0,1,13,1,0,76.2,201.4,76.4,74.8,0
DL104AE,DL10 4AE,DL,100,0,100,0,0,0,0,27.6,35.8,8.1,80.0,8.1,11.7,59.9,0,0.9,0.9,0.8,1.0,1.0,0.9,0,0,0,0,1,1,2,0,74.0,5.1,5.1,108.4,0
DL104AF,DL10 4AF,DL,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL104AG,DL10 4AG,DL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DL104AJ,DL10 4AJ,DL,100,0,100,0,0,0,0,24.0,26.6,10.0,54.9,0,21.4,47.5,0,1.2,2.9,0.8,10.0,0,1.1,10.0,0,0,0,0,8,2,0,87.5,0,96.5,56.1,0
DL104AL,DL10 4AL,DL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DL104AP,DL10 4AP,DL,100,0,100,0,0,0,0,16.4,26.3,9.2,80.0,9.2,13.9,51.1,0,1.1,2.3,0.6,9.9,0.6,1.0,9.9,0,0,0,1,5,3,0,37.6,3.4,20.1,72.5,0
DL104AR,DL10 4AR,DL,100,0,100,0,0,0,0,17.4,25.0,0.3,79.7,2.8,13.8,55.1,0,1.3,2.9,0.4,10.0,0.9,1.1,10.0,0,1,1,1,13,6,0,66.1,2.2,60.9,89.1,0
DL104AS,DL10 4AS,DL,100,0,100,0,0,0,0,21.7,30.7,2.0,80.0,5.1,15.8,60.6,0,1.2,1.6,0.3,10.0,0.7,1.0,6.0,0,1,1,2,12,8,0,118.6,0.3,16.9,312.4,0
DL104AT,DL10 4AT,DL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DL104AU,DL10 4AU,DL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DL104AW,DL10 4AW,DL,100,0,100,0,0,0,0,23.5,29.6,16.3,54.9,0,21.1,54.9,0,1.3,3.4,1.2,10.0,0,1.3,10.0,0,0,0,0,3,1,0,102.7,0,27.6,327.7,0
DL104AX,DL10 4AX,DL,100,0,100,0,0,0,0,19.0,24.3,12.2,55.0,0,17.4,50.0,0,1.2,2.5,0.6,10.0,0,1.1,10.0,0,0,0,0,15,4,0,50.1,0,51.0,37.8,0
DL104AY,DL10 4AY,DL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DL104AZ,DL10 4AZ,DL,100,0,100,0,0,0,0,22.2,29.1,20.0,55.0,0,21.8,47.4,0,1.3,1.2,1.1,1.3,0,1.2,0,0,0,0,0,5,2,0,61.4,0,65.2,84.6,0
DL104BA,DL10 4BA,DL,100,0,100,0,0,0,0,22.0,34.1,12.0,80.0,0,19.3,57.7,0,1.3,4.9,0.8,20.0,0,1.2,12.3,0,0,0,0,16,10,0,108.2,0,48.2,160.7,0
DL104BB,DL10 4BB,DL,100,0,100,0,0,0,0,40.0,29.6,8.0,54.9,8.5,10.8,43.7,0,1.0,3.0,0.2,10.0,0.6,0.7,10.0,0,0,0,2,1,4,0,39.6,141.0,72.8,23.0,0
