postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
DN104AA,DN10 4AA,DN,39,0,39,0,0,0,61,19.5,18.3,5.8,22.9,6.9,18.3,0,0,1.2,1.1,0.4,1.2,0.6,1.1,0,0,0,0,2,13,0,0,50.1,41.8,50.1,0,0
DN104AB,DN10 4AB,DN,100,0,100,0,0,0,0,22.7,31.2,20.0,54.9,0,21.7,54.9,0,1.2,4.1,0.8,10.0,0,1.1,10.0,0,0,0,0,5,2,0,98.1,0,76.2,141.8,0
DN104AD,DN10 4AD,DN,100,0,100,0,0,0,0,23.1,35.8,20.0,79.8,0,22.1,63.2,0,1.3,3.4,1.2,10.0,0,1.2,10.0,0,0,0,0,6,3,0,82.6,0,77.6,92.7,0
DN104AF,DN10 4AF,DN,100,0,100,0,0,0,0,23.1,30.5,16.3,55.0,0,19.2,47.4,0,1.1,1.1,0.9,1.4,0,1.1,0,0,0,0,0,3,2,0,129.4,0,194.8,31.2,0
DN104AH,DN10 4AH,DN,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DN104AJ,DN10 4AJ,DN,71,0,71,0,0,0,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DN104AL,DN10 4AL,DN,75,0,75,0,0,0,25,23.4,30.5,15.9,54.6,0,21.2,53.7,0,1.3,4.2,0.9,10.0,0,1.9,10.0,0,0,0,0,5,2,0,87.2,0,93.7,70.8,0
DN104AN,DN10 4AN,DN,27,0,27,0,0,0,73,19.2,21.2,16.2,40.0,0,18.8,40.0,0,1.1,2.1,0.8,10.0,0,1.1,10.0,0,0,0,0,8,1,0,79.9,0,57.3,260.0,0
DN104AP,DN10 4AP,DN,0,0,0,0,0,0,100,18.7,17.3,7.0,22.1,7.6,17.3,0,0,1.1,1.1,0.8,1.2,0.9,1.1,0,0,0,0,2,14,0,0,78.3,133.1,78.3,0,0
DN104AQ,DN10 4AQ,DN,100,0,100,0,0,0,0,54.9,52.1,16.2,79.7,0,20.6,64.2,0,10.0,9.4,1.0,20.0,0,1.2,13.5,0,0,0,0,5,13,0,195.6,0,101.3,238.3,0
