postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
DT101AA,DT10 1AA,DT,100,0,100,0,0,0,0,17.9,26.2,5.1,51.4,5.1,17.0,44.7,0,1.2,5.2,0.9,19.0,0.9,2.0,11.8,0,0,0,1,5,3,0,85.6,0.2,48.0,161.0,0
DT101AB,DT10 1AB,DT,100,0,100,0,0,0,0,26.3,26.2,10.9,44.0,0,16.3,39.0,0,2.7,4.0,0.4,8.0,0,1.3,7.6,0,0,0,0,9,7,0,40.4,0,18.3,68.9,0
DT101AD,DT10 1AD,DT,100,0,100,0,0,0,0,14.1,15.6,6.1,35.1,8.3,14.2,35.1,0,1.1,1.4,0.7,5.7,0.9,1.0,5.7,0,0,0,4,10,1,0,111.6,79.4,85.9,26.6,0
DT101AE,DT10 1AE,DT,100,0,100,0,0,0,0,13.2,13.4,12.0,15.2,0,13.4,0,0,1.2,1.2,1.0,1.3,0,1.2,0,0,0,0,0,4,0,0,166.7,0,127.9,0,0
DT101AF,DT10 1AF,DT,100,0,100,0,0,0,0,17.8,24.0,1.9,79.7,4.5,14.4,51.4,0,1.2,3.0,0.5,10.0,0.7,1.1,9.7,0,1,2,1,16,7,0,127.9,140.5,93.4,211.6,0
DT101AG,DT10 1AG,DT,91,0,100,0,0,0,9,14.3,24.4,5.3,67.3,7.6,12.9,64.9,0,1.0,5.2,0.7,20.0,0.8,1.0,20.0,0,0,0,2,5,2,0,89.4,15.1,58.8,196.4,0
DT101AH,DT10 1AH,DT,100,0,100,0,0,0,0,40.0,41.2,16.3,54.9,0,16.3,47.5,0,10.0,8.2,1.2,10.0,0,1.2,10.0,0,0,0,0,1,4,0,199.3,0,18.2,244.5,0
DT101AJ,DT10 1AJ,DT,100,0,100,0,0,0,0,19.0,24.0,4.5,54.9,4.5,14.6,47.5,0,1.1,2.6,1.0,10.0,1.0,1.1,10.0,0,0,1,0,4,2,0,163.9,199.2,110.0,298.5,0
DT101AL,DT10 1AL,DT,100,0,100,0,0,0,0,19.4,18.9,17.2,19.6,0,18.9,0,0,1.2,1.1,1.0,1.2,0,1.1,0,0,0,0,0,5,0,0,59.9,0,69.4,0,0
DT101AN,DT10 1AN,DT,100,0,100,0,0,0,0,23.5,28.4,19.4,80.0,0,22.8,73.5,0,1.1,1.1,0.8,1.2,0,1.1,0,0,0,0,0,16,2,0,102.1,0,70.0,342.6,0
DT101AP,DT10 1AP,DT,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DT101AQ,DT10 1AQ,DT,100,0,100,0,0,0,0,9.1,9.6,5.8,14.4,8.0,9.6,0,0,1.2,1.2,1.2,1.2,1.2,1.2,0,0,0,0,3,1,0,0,11.4,2.5,11.4,0,0
DT101AR,DT10 1AR,DT,100,0,100,0,0,0,0,22.4,25.2,6.6,80.0,7.4,19.4,59.9,0,1.1,1.1,0.9,1.2,1.0,1.1,0,0,0,0,2,10,2,0,121.4,14.2,89.5,321.8,0
DT101AS,DT10 1AS,DT,93,0,93,0,0,0,7,22.9,22.1,8.1,40.0,8.1,20.9,40.0,0,1.2,1.1,1.0,1.2,0,1.1,0,0,0,0,1,14,1,0,57.5,0,48.7,31.5,0
DT101AU,DT10 1AU,DT,100,0,100,0,0,0,0,23.1,24.7,20.0,40.0,0,22.5,40.0,0,1.1,1.2,0.8,2.0,0,1.1,2.0,0,0,0,0,7,1,0,52.7,0,37.2,161.4,0
DT101AW,DT10 1AW,DT,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DT101AX,DT10 1AX,DT,83,0,83,0,0,0,17,22.6,26.9,16.5,54.9,0,21.3,54.9,0,1.1,2.5,0.7,10.0,0,1.1,10.0,0,0,0,0,5,1,0,130.0,0,22.1,669.2,0
DT101AY,DT10 1AY,DT,93,0,100,0,0,0,7,22.3,25.2,14.3,47.9,0,20.7,47.9,0,1.2,2.5,1.2,8.9,0,1.2,8.9,0,0,0,0,5,1,0,17.1,0,12.8,38.8,0
DT101AZ,DT10 1AZ,DT,100,0,100,0,0,0,0,39.9,36.3,1.0,80.0,4.9,13.5,55.6,0,1.2,6.1,0.4,20.0,0.8,1.1,16.1,0,1,1,2,7,13,0,65.5,15.7,10.8,107.6,0
DT101BA,DT10 1BA,DT,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DT101BB,DT10 1BB,DT,94,0,94,0,0,0,6,22.4,20.4,0.6,24.4,0.6,20.4,0,0,1.2,1.1,1.0,1.2,0,1.1,0,0,1,0,0,13,0,0,67.9,0.1,67.9,0,0
DT101BD,DT10 1BD,DT,100,0,100,0,0,0,0,20.5,26.7,8.1,80.0,8.1,19.2,78.7,0,1.1,2.3,0.4,20.0,0.4,1.1,20.0,0,0,0,1,13,2,0,76.2,167.7,81.9,26.1,0
DT101BE,DT10 1BE,DT,100,0,100,0,0,0,0,20.1,22.9,7.0,54.1,7.0,19.4,54.1,0,1.1,2.2,0.4,10.0,0.4,1.0,10.0,0,0,0,1,8,1,0,128.6,66.4,141.1,156.1,0
DT101BG,DT10 1BG,DT,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DT101BH,DT10 1BH,DT,100,0,100,0,0,0,0,20.6,27.2,6.5,79.8,7.2,17.2,53.1,0,1.2,3.4,0.7,10.0,0.8,1.1,9.9,0,0,0,2,16,7,0,116.5,0.5,53.5,269.3,0
DT101BJ,DT10 1BJ,DT,100,0,100,0,0,0,0,17.7,24.6,5.2,80.0,7.0,15.8,60.0,0,1.1,2.8,0.6,20.0,0.8,1.1,13.4,0,0,0,3,21,6,0,141.7,68.5,115.6,246.2,0
DT101BL,DT10 1BL,DT,74,0,100,0,0,0,26,17.6,22.1,1.8,52.6,6.1,14.1,37.5,0,1.1,3.1,0.1,10.0,0.8,1.4,7.4,0,1,0,4,16,11,0,151.9,19.4,100.9,252.2,0
DT101BN,DT10 1BN,DT,100,0,100,0,0,0,0,21.9,27.4,7.9,79.7,8.1,18.8,58.4,0,1.0,2.6,0.4,20.0,0.8,1.0,12.0,0,0,0,5,24,8,0,53.9,41.7,21.5,142.6,0
DT101BP,DT10 1BP,DT,100,0,100,0,0,0,0,16.5,19.8,7.4,48.9,8.5,15.2,37.3,0,1.2,2.6,0.8,9.9,0.9,1.3,7.7,0,0,0,3,20,6,0,135.4,195.2,104.8,193.9,0
DT101BQ,DT10 1BQ,DT,100,0,100,0,0,0,0,21.4,32.3,7.4,78.2,7.8,17.2,52.6,0,1.1,4.6,0.7,20.0,0.9,1.0,11.7,0,0,0,2,10,9,0,127.2,0.4,53.6,201.8,0
DT101BS,DT10 1BS,DT,100,0,100,0,0,0,0,18.7,30.0,10.9,79.8,0,17.0,52.8,0,1.2,3.3,1.0,10.0,0,1.2,8.4,0,0,0,0,7,4,0,174.6,0,67.1,362.6,0
