postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
DY101AA,DY10 1AA,DY,100,0,100,0,0,0,0,17.4,16.0,6.6,40.0,8.0,15.2,40.0,0,1.0,1.0,0.4,1.2,0.8,1.0,0,0,0,0,9,20,1,0,54.9,23.7,42.3,381.8,0
DY101AB,DY10 1AB,DY,50,0,50,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DY101AE,DY10 1AE,DY,6,0,6,0,0,0,94,19.7,19.0,6.7,39.9,8.1,15.6,39.9,0,1.0,0.9,0.6,1.2,0.8,0.9,0,0,0,0,2,4,1,0,54.7,10.7,63.5,1.6,0
DY101AF,DY10 1AF,DY,52,0,52,0,0,0,48,15.3,18.6,7.3,80.0,7.8,15.0,80.0,0,1.0,1.0,0.5,1.2,1.1,1.0,0,0,0,0,2,15,1,0,79.7,168.0,59.9,417.0,0
DY101AL,DY10 1AL,DY,100,0,100,0,0,0,0,21.6,31.9,8.5,80.0,8.5,17.9,59.9,0,1.2,1.1,1.0,1.2,1.0,1.1,0,0,0,0,1,3,2,0,65.4,26.5,40.7,139.6,0
DY101AQ,DY10 1AQ,DY,100,0,100,0,0,0,0,39.9,36.5,1.7,80.0,6.2,12.6,57.7,0,0.8,0.8,0.3,1.2,0.5,0.8,0,0,1,0,2,5,9,0,49.2,12.2,12.8,80.8,0
DY101AR,DY10 1AR,DY,100,0,100,0,0,0,0,21.7,37.5,8.1,80.0,8.1,17.8,77.0,0,1.1,4.9,0.9,20.0,0.9,1.1,20.0,0,0,0,1,3,2,0,95.2,220.3,137.8,10.0,0
DY101AU,DY10 1AU,DY,100,0,100,0,0,0,0,21.8,25.8,19.7,40.0,0,21.1,40.0,0,1.0,1.0,1.0,1.0,0,1.0,0,0,0,0,0,3,1,0,35.5,0,56.6,28.7,0
DY101AX,DY10 1AX,DY,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DY101AY,DY10 1AY,DY,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
