postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
E105AB,E10 5AB,E,100,0,100,0,0,0,0,19.5,37.2,3.7,200.0,7.7,14.0,79.9,0,1.2,2.2,0.4,12.0,0.8,1.0,5.8,0,0,1,3,7,6,0,351.6,311.2,386.9,292.7,0
E105AD,E10 5AD,E,100,0,100,0,0,0,0,19.6,44.8,13.8,200.0,0,17.2,84.5,0,1.3,3.0,0.8,12.0,0,1.1,5.7,0,0,0,0,23,16,0,160.3,0,171.7,144.7,0
E105AH,E10 5AH,E,100,0,100,0,0,0,0,17.7,36.6,2.3,200.0,5.2,14.4,83.6,0,1.2,2.3,0.1,12.0,0.5,0.9,5.3,0,0,2,2,15,9,0,240.9,202.7,236.4,251.7,0
E105AJ,E10 5AJ,E,100,0,100,0,0,0,0,12.8,28.7,4.4,100.0,6.9,10.2,62.0,0,1.1,2.0,0.6,6.0,0.8,0.9,3.8,0,0,1,3,5,5,0,106.1,31.8,50.5,206.3,0
E105AL,E10 5AL,E,100,0,100,0,0,0,0,16.3,21.9,0.3,54.9,0.3,14.2,52.6,0,1.1,3.5,0.7,20.0,0.7,1.0,13.3,0,1,0,0,11,3,0,222.2,0.4,230.6,188.4,0
E105AN,E10 5AN,E,80,0,80,0,0,0,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E105AP,E10 5AP,E,100,0,100,0,0,0,0,16.1,33.3,6.6,100.0,8.1,12.6,57.3,0,1.2,3.8,0.7,16.8,0.8,1.0,7.3,0,0,0,4,10,12,0,256.1,307.8,233.1,291.4,0
E105AR,E10 5AR,E,100,0,100,0,0,0,0,30.0,47.3,8.7,152.0,8.7,17.9,69.3,0,2.0,3.0,0.8,12.0,1.1,1.1,4.5,0,0,0,1,8,12,0,168.1,254.0,257.2,101.4,0
E105AS,E10 5AS,E,97,0,97,0,0,0,3,18.1,32.0,0.3,200.0,6.3,14.1,86.0,0,1.2,2.1,0.3,12.0,0.9,1.1,5.2,0,1,0,4,10,5,0,222.7,194.8,227.1,255.7,0
E105AT,E10 5AT,E,100,0,100,0,0,0,0,50.0,50.7,7.5,200.0,7.5,15.8,71.0,0,3.0,4.1,0.6,12.0,0.6,1.0,5.8,0,0,0,1,6,12,0,211.0,22.8,231.4,205.3,0
E105AU,E10 5AU,E,100,0,100,0,0,0,0,14.4,18.6,10.2,69.8,0,13.5,69.8,0,0.8,0.9,0.7,1.3,0,0.9,0,0,0,0,0,10,1,0,166.7,0,182.5,0,0
E105AX,E10 5AX,E,100,0,100,0,0,0,0,50.0,62.2,15.6,200.0,0,17.9,84.3,0,3.0,3.8,1.0,12.0,0,1.3,5.1,0,0,0,0,7,14,0,145.6,0,148.1,144.3,0
E105AY,E10 5AY,E,100,0,100,0,0,0,0,19.6,35.9,8.8,200.0,9.4,17.5,105.0,0,1.2,2.2,0.8,12.0,1.1,1.1,6.5,0,0,0,2,13,4,0,229.9,26.7,263.9,102.3,0
