postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
EC1A2AA,EC1A 2AA,EC,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EC1A2AE,EC1A 2AE,EC,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EC1A2AT,EC1A 2AT,EC,43,0,100,0,0,0,57,14.8,14.4,8.1,22.5,8.1,14.4,0,0,0.9,1.0,0.9,1.2,0.9,1.0,0,0,0,0,2,7,0,0,16.5,6.0,16.5,0,0
EC1A2AY,EC1A 2AY,EC,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EC1A2BN,EC1A 2BN,EC,0,0,100,0,0,0,100,18.1,17.3,14.1,19.7,0,17.3,0,0,1.1,1.1,1.0,1.2,0,1.1,0,0,0,0,0,5,0,0,23.8,0,23.8,0,0
EC1A2BP,EC1A 2BP,EC,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC1A2DH,EC1A 2DH,EC,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC1A2DJ,EC1A 2DJ,EC,100,0,100,0,0,0,0,17.2,16.1,8.1,21.1,8.9,16.1,0,0,1.2,1.1,0.6,1.3,0.6,1.1,0,0,0,0,2,6,0,0,111.6,0.0,111.6,0,0
EC1A2DQ,EC1A 2DQ,EC,50,0,100,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EC1A2EJ,EC1A 2EJ,EC,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EC1A2FD,EC1A 2FD,EC,100,0,100,0,0,0,0,15.0,13.0,0.2,18.9,4.9,13.0,0,0,1.0,0.9,0.4,1.2,0.8,0.9,0,0,1,1,3,14,0,0,31.0,11.6,31.0,0,0
EC1A2FG,EC1A 2FG,EC,0,0,100,0,0,0,100,10.0,7.8,0.6,12.5,4.8,7.8,0,0,1.0,1.0,0.9,1.2,1.0,1.0,0,0,2,0,2,3,0,0,12.5,7.5,12.5,0,0
EC1A4AS,EC1A 4AS,EC,0,0,100,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EC1A4EN,EC1A 4EN,EC,0,0,100,0,0,0,100,8.1,7.7,6.9,8.1,7.7,7.7,0,0,0.8,0.8,0.4,1.1,0.8,0.8,0,0,0,0,7,0,0,0,8.5,8.5,8.5,0,0
EC1A4ER,EC1A 4ER,EC,100,0,100,0,0,0,0,7.7,7.3,4.5,9.2,7.3,7.3,0,0,1.0,1.0,0.9,1.1,1.0,1.0,0,0,0,1,3,0,0,0,39.4,39.4,39.4,0,0
EC1A4EU,EC1A 4EU,EC,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EC1A4HD,EC1A 4HD,EC,100,0,100,0,0,0,0,8.1,9.9,7.4,20.8,8.0,9.9,0,0,1.0,1.0,1.0,1.1,0,1.0,0,0,0,0,21,4,0,0,18.4,18.4,18.4,0,0
EC1A4HJ,EC1A 4HJ,EC,100,0,100,0,0,0,0,6.3,6.1,4.3,7.4,6.1,6.1,0,0,0.6,0.6,0.4,0.8,0.6,0.6,0,0,0,2,8,0,0,0,18.2,18.2,18.2,0,0
EC1A4HT,EC1A 4HT,EC,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EC1A4HU,EC1A 4HU,EC,100,0,100,0,0,0,0,8.1,8.8,2.3,17.7,6.7,8.8,0,0,0.9,0.8,0.4,1.2,0.7,0.8,0,0,0,10,38,22,0,0,59.6,40.9,59.6,0,0
EC1A4HY,EC1A 4HY,EC,67,0,100,0,0,0,33,5.4,4.8,0.2,7.9,4.8,4.8,0,0,0.6,0.6,0.4,0.8,0.6,0.6,0,0,3,4,10,0,0,0,21.8,21.8,21.8,0,0
EC1A4JA,EC1A 4JA,EC,0,0,100,0,0,0,100,7.6,7.0,4.5,8.1,7.0,7.0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,1,3,0,0,0,3.8,3.8,3.8,0,0
EC1A4JE,EC1A 4JE,EC,100,0,100,0,0,0,0,20.0,52.8,2.6,200.0,7.3,14.1,99.2,0,1.3,3.5,0.4,12.0,0.9,1.0,6.3,0,0,1,5,18,20,0,117.3,23.5,108.8,110.7,0
EC1A4JH,EC1A 4JH,EC,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC1A4JL,EC1A 4JL,EC,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC1A4JN,EC1A 4JN,EC,17,0,100,0,0,0,83,16.9,14.7,0.3,19.4,0.3,14.7,0,0,1.1,1.0,0.8,1.2,0.9,1.0,0,0,1,0,0,6,0,0,72.5,10.9,72.5,0,0
EC1A4JP,EC1A 4JP,EC,0,0,100,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EC1A4JQ,EC1A 4JQ,EC,71,0,100,0,0,0,29,14.9,20.4,1.3,150.0,5.9,12.7,125.0,0,1.1,1.7,0.4,12.0,0.7,0.9,9.0,0,1,4,5,17,2,0,90.1,48.3,65.7,334.8,0
EC1A4JR,EC1A 4JR,EC,0,0,50,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EC1A4JT,EC1A 4JT,EC,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC1A4JU,EC1A 4JU,EC,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
