postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
EH104AA,EH10 4AA,EH,69,0,69,0,0,0,31,20.1,45.5,2.3,200.0,5.2,14.9,106.7,0,1.2,2.9,0.4,12.0,0.8,1.0,6.7,0,0,1,1,4,3,0,14.7,8.4,17.1,9.9,0
EH104AB,EH10 4AB,EH,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EH104AD,EH10 4AD,EH,44,0,44,0,0,0,56,20.4,36.1,5.1,152.0,7.2,17.6,73.2,0,1.2,2.3,0.4,12.0,0.8,1.1,4.7,0,0,0,2,18,10,0,26.9,66.3,34.4,12.8,0
EH104AE,EH10 4AE,EH,80,0,80,0,0,0,20,26.7,53.5,18.9,200.0,0,21.0,86.0,0,1.6,3.2,1.0,12.0,0,1.2,5.2,0,0,0,0,5,5,0,32.7,0,48.8,16.5,0
EH104AF,EH10 4AF,EH,62,0,62,0,0,0,38,20.1,31.1,14.3,70.0,0,17.6,54.3,0,1.2,1.9,0.9,5.0,0,1.1,3.3,0,0,0,0,12,7,0,33.6,0,43.9,16.1,0
EH104AG,EH10 4AG,EH,57,0,57,0,0,0,43,21.4,28.4,7.9,50.0,8.1,17.4,45.6,0,1.2,1.7,0.7,3.0,0.7,1.0,2.8,0,0,0,2,12,9,0,26.7,41.5,32.7,17.4,0
EH104AH,EH10 4AH,EH,65,0,65,0,0,0,35,20.1,43.3,0.3,200.0,5.0,14.0,88.9,0,1.2,2.7,0.3,12.0,0.7,0.9,5.3,0,1,1,2,10,9,0,38.4,19.0,49.3,21.4,0
EH104AJ,EH10 4AJ,EH,75,0,75,0,0,0,25,50.0,41.6,13.6,100.0,0,17.7,60.7,0,3.0,2.5,0.5,6.0,0,1.1,3.6,0,0,0,0,12,15,0,100.8,0,190.1,35.4,0
EH104AL,EH10 4AL,EH,100,0,100,0,0,0,0,28.4,51.2,8.1,200.0,8.1,20.0,82.5,0,2.0,3.3,0.4,12.0,0.4,1.1,5.5,0,0,0,1,22,23,0,61.2,3.5,56.1,64.6,0
EH104AN,EH10 4AN,EH,100,0,100,0,0,0,0,50.0,46.6,8.1,100.0,8.1,17.8,62.4,0,3.0,3.2,0.4,10.0,0.4,1.0,4.5,0,0,0,1,11,22,0,34.1,0.7,39.3,31.2,0
