postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
EN106AA,EN10 6AA,EN,100,0,100,0,0,0,0,60.0,58.5,30.0,77.3,0,0,58.5,0,5.0,8.0,2.0,20.0,0,0,8.0,0,0,0,0,0,5,0,177.1,0,0,177.1,0
EN106AB,EN10 6AB,EN,100,0,100,0,0,0,0,5.8,53.0,2.0,152.0,4.3,4.3,126.0,0,1.1,4.2,0.8,12.0,1.0,1.0,9.0,0,0,1,2,0,2,0,49.6,45.6,45.6,55.5,0
EN106AD,EN10 6AD,EN,100,0,100,0,0,0,0,8.5,40.2,4.6,200.0,7.4,7.4,99.4,0,1.1,4.0,0.4,12.0,1.0,1.0,9.4,0,0,1,8,0,5,0,179.1,169.1,169.1,197.0,0
EN106AE,EN10 6AE,EN,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EN106AG,EN10 6AG,EN,100,0,100,0,0,0,0,50.0,54.4,5.8,100.0,5.8,5.8,61.4,0,3.0,4.1,1.0,10.0,1.0,1.0,4.7,0,0,0,1,0,7,0,87.1,8.4,8.4,102.7,0
EN106AH,EN10 6AH,EN,100,0,100,0,0,0,0,5.6,5.2,3.1,6.5,5.2,5.2,0,0,0.8,0.8,0.4,1.0,0.8,0.8,0,0,0,1,3,0,0,0,70.5,70.5,70.5,0,0
EN106AJ,EN10 6AJ,EN,100,0,100,0,0,0,0,29.1,32.7,2.5,70.0,5.3,5.3,60.0,0,1.9,2.4,0.8,5.0,0.8,0.8,4.0,0,0,1,1,0,2,0,162.9,153.1,153.1,172.7,0
EN106AL,EN10 6AL,EN,100,0,100,0,0,0,0,23.7,31.7,3.3,79.9,5.1,5.1,58.4,0,1.0,3.9,0.8,10.0,0.9,0.9,10.0,0,0,3,1,0,4,0,231.5,227.0,227.0,271.9,0
EN106AN,EN10 6AN,EN,100,0,100,0,0,0,0,30.0,31.8,4.2,79.9,5.4,5.4,53.0,0,1.6,3.5,0.4,10.0,0.8,0.8,6.2,0,0,2,2,0,5,0,166.0,282.7,282.7,81.3,0
EN106AP,EN10 6AP,EN,100,0,100,0,0,0,0,100.0,88.9,19.5,200.0,0,23.5,138.0,0,6.0,7.2,4.1,12.0,0,4.8,9.0,0,0,0,0,3,4,0,93.0,0,32.4,161.4,0
EN106AQ,EN10 6AQ,EN,100,0,100,0,0,0,0,45.0,57.6,3.3,200.0,4.5,4.5,95.5,0,2.1,4.8,0.7,12.0,1.0,1.0,8.6,0,0,4,1,0,7,0,140.1,244.5,244.5,65.5,0
EN106AR,EN10 6AR,EN,100,0,100,0,0,0,0,70.0,67.4,1.2,200.0,2.4,15.2,109.2,0,5.7,5.4,0.4,12.0,0.5,2.6,7.0,0,1,2,0,5,10,0,193.0,58.7,331.0,82.6,0
EN106AS,EN10 6AS,EN,100,0,100,0,0,0,0,30.2,54.7,2.6,200.0,3.2,13.5,84.8,0,3.8,5.1,0.5,12.0,0.6,3.7,6.1,0,0,3,0,5,11,0,133.5,40.5,120.2,155.3,0
EN106AT,EN10 6AT,EN,100,0,100,0,0,0,0,60.0,73.3,1.9,200.0,3.0,12.0,129.5,0,5.9,5.8,0.3,12.0,0.6,2.9,8.4,0,2,3,1,5,12,0,91.9,89.6,113.5,70.3,0
EN106AU,EN10 6AU,EN,100,0,100,0,0,0,0,37.6,67.2,0.4,200.0,2.3,13.4,121.0,0,6.2,5.8,0.5,12.0,0.7,2.7,8.5,0,2,2,0,3,7,0,123.1,10.6,186.8,66.7,0
EN106AW,EN10 6AW,EN,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EN106AX,EN10 6AX,EN,100,0,100,0,0,0,0,52.0,56.1,1.9,152.0,4.3,4.3,71.3,0,6.0,6.0,0.4,12.0,0.6,0.6,7.7,0,1,3,1,0,17,0,148.4,138.6,138.6,151.3,0
EN106AY,EN10 6AY,EN,100,0,100,0,0,0,0,4.9,39.3,0.4,200.0,3.7,3.7,93.7,0,0.8,3.0,0.3,12.0,0.6,0.6,7.0,0,2,21,3,0,17,0,99.5,60.6,60.6,157.6,0
