postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
EX100AA,EX10 0AA,EX,100,0,100,0,0,0,0,3.2,18.1,1.7,79.7,2.7,2.7,79.7,0,0.6,0.6,0.4,0.8,0.6,0.6,0,0,1,3,0,0,1,0,54.0,31.7,31.7,120.7,0
EX100AB,EX10 0AB,EX,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EX100AD,EX10 0AD,EX,100,0,100,0,0,0,0,3.9,18.0,1.6,54.9,3.2,3.2,47.4,0,0.8,2.6,0.6,10.0,0.8,0.8,10.0,0,1,3,0,0,2,0,38.5,35.6,35.6,44.1,0
EX100AE,EX10 0AE,EX,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EX100AF,EX10 0AF,EX,100,0,100,0,0,0,0,72.9,58.0,2.6,79.8,2.6,2.6,69.0,0,18.3,13.1,0.8,20.0,0.8,0.8,19.2,0,0,1,0,0,5,0,87.9,8.1,8.1,103.8,0
EX100AG,EX10 0AG,EX,100,0,100,0,0,0,0,21.3,22.7,1.9,49.4,2.3,2.3,43.1,0,0.8,3.0,0.4,10.0,0.7,0.7,10.0,0,1,2,0,0,3,0,57.3,83.1,83.1,31.4,0
EX100AH,EX10 0AH,EX,100,0,100,0,0,0,0,37.2,35.5,27.4,40.2,0,27.4,38.2,0,6.4,5.9,2.0,8.8,0,5.9,5.9,0,0,0,0,1,3,0,19.1,0,14.5,20.7,0
EX100AJ,EX10 0AJ,EX,100,0,100,0,0,0,0,2.4,6.1,0.8,22.4,2.0,6.1,0,0,0.5,0.5,0.4,0.7,0.5,0.5,0,0,2,2,0,1,0,0,13.2,9.1,9.7,0,0
EX100AL,EX10 0AL,EX,100,0,100,0,0,0,0,3.0,22.0,0.9,79.8,2.4,3.7,63.4,0,0.5,3.2,0.4,20.0,0.5,0.6,15.0,0,2,6,0,1,4,0,59.8,21.9,23.7,120.2,0
EX100AN,EX10 0AN,EX,100,0,100,0,0,0,0,3.2,23.6,2.0,75.8,2.7,2.7,53.5,0,0.8,4.4,0.3,20.0,0.6,0.6,11.2,0,0,10,0,0,7,0,60.4,16.8,16.8,122.0,0
EX100AP,EX10 0AP,EX,100,0,100,0,0,0,0,2.6,17.6,1.1,54.9,2.1,2.1,45.9,0,0.6,3.6,0.1,10.0,0.5,0.5,9.4,0,4,7,0,0,6,0,23.5,8.1,8.1,51.6,0
