postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
FK101AA,FK10 1AA,FK,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FK101AB,FK10 1AB,FK,25,0,25,0,0,0,75,49.8,49.3,17.7,80.0,0,18.7,80.0,0,0.8,0.8,0.8,0.9,0,0.8,0,0,0,0,0,2,2,0,70.1,0,15.9,124.3,0
FK101AD,FK10 1AD,FK,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FK101AG,FK10 1AG,FK,100,0,100,0,0,0,0,18.3,18.6,16.4,22.0,0,18.6,0,0,0.8,0.9,0.4,1.3,0,0.9,0,0,0,0,0,7,0,0,29.4,0,29.4,0,0
FK101AL,FK10 1AL,FK,0,0,0,0,0,0,100,24.0,21.7,8.2,24.4,8.2,21.7,0,0,1.1,1.1,0.8,1.3,0.8,1.1,0,0,0,0,1,8,0,0,159.9,83.7,159.9,0,0
FK101AN,FK10 1AN,FK,45,0,45,0,0,0,55,21.8,20.0,6.7,24.4,7.4,20.0,0,0,0.9,1.0,0.4,1.3,0.8,1.0,0,0,0,0,2,21,0,0,85.9,10.7,89.2,0,0
FK101AT,FK10 1AT,FK,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FK101BB,FK10 1BB,FK,100,0,100,0,0,0,0,17.7,26.9,15.0,80.0,0,17.0,53.3,0,1.2,4.5,0.8,20.0,0,1.1,13.3,0,0,0,0,8,3,0,281.6,0,172.0,573.9,0
FK101BD,FK10 1BD,FK,100,0,100,0,0,0,0,18.0,16.9,8.2,20.9,9.1,16.9,0,0,1.0,1.4,0.8,6.0,3.5,1.4,0,0,0,0,2,12,0,0,176.0,9.4,165.3,0,0
FK101BE,FK10 1BE,FK,100,0,100,0,0,0,0,18.8,25.9,7.5,80.0,7.5,16.7,67.5,0,1.2,1.1,0.8,1.3,0.8,1.1,0,0,0,0,1,8,2,0,101.5,42.8,109.1,67.3,0
