postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
FY11AN,FY1 1AN,FY,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FY11AP,FY1 1AP,FY,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FY11BA,FY1 1BA,FY,100,0,100,0,0,0,0,8.1,11.4,0.3,24.1,7.4,11.4,0,0,0.4,0.7,0.4,1.1,0.5,0.7,0,0,1,0,12,6,0,0,7.5,0.4,7.5,0,0
FY11BN,FY1 1BN,FY,100,0,100,0,0,0,0,21.9,21.1,16.2,23.4,0,21.1,0,0,1.1,1.1,0.9,1.2,0,1.1,0,0,0,0,0,5,0,0,22.4,0,22.4,0,0
FY11BP,FY1 1BP,FY,100,0,100,0,0,0,0,23.5,41.2,8.1,150.0,8.2,16.4,82.6,0,1.3,4.1,0.6,12.0,0.8,1.1,9.2,0,0,0,2,3,3,0,112.5,36.5,104.8,128.0,0
FY11DA,FY1 1DA,FY,87,0,87,0,0,0,13,22.2,18.0,3.7,24.2,6.0,18.0,0,0,1.0,1.0,0.7,1.3,0.8,1.0,0,0,0,1,2,9,0,0,85.4,5.6,85.4,0,0
FY11DG,FY1 1DG,FY,100,0,100,0,0,0,0,20.1,17.4,8.1,23.7,8.1,17.4,0,0,1.1,0.9,0.4,1.1,1.0,0.9,0,0,0,0,1,4,0,0,75.6,0.3,75.6,0,0
FY11DH,FY1 1DH,FY,100,0,100,0,0,0,0,22.3,30.9,8.1,80.0,8.1,18.6,80.0,0,1.2,4.8,0.4,20.0,0.4,1.0,20.0,0,0,0,1,3,1,0,16.3,0.1,20.3,0.1,0
FY11DU,FY1 1DU,FY,92,0,92,0,0,0,8,21.5,19.6,8.1,24.2,8.1,19.6,0,0,1.1,1.2,0.8,2.5,1.1,1.2,0,0,0,0,2,14,0,0,13.8,0,13.8,0,0
FY11DW,FY1 1DW,FY,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
