postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
G115AA,G11 5AA,G,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G115AB,G11 5AB,G,100,0,100,0,0,0,0,31.5,37.2,8.1,79.7,8.5,15.2,59.2,0,1.2,6.1,0.7,20.0,0.9,1.7,12.9,0,0,0,5,20,25,0,116.2,16.0,66.0,170.6,0
G115AD,G11 5AD,G,100,0,100,0,0,0,0,16.9,27.6,0.8,79.8,6.5,13.6,69.8,0,1.0,1.5,0.2,10.0,0.7,0.9,10.0,0,1,0,3,11,5,0,61.7,16.2,47.4,104.5,0
G115AE,G11 5AE,G,100,0,100,0,0,0,0,48.3,54.6,13.8,152.0,0,17.2,75.3,0,3.0,6.4,0.4,20.0,0,0.9,9.4,0,0,0,0,5,9,0,87.6,0,19.4,129.5,0
G115AF,G11 5AF,G,100,0,100,0,0,0,0,45.0,64.5,1.2,200.0,5.2,10.4,94.6,0,4.5,6.0,0.7,20.0,0.9,0.9,8.8,0,1,0,1,3,9,0,160.8,121.2,246.0,113.5,0
G115AG,G11 5AG,G,100,0,100,0,0,0,0,43.6,36.4,7.0,59.9,7.0,12.2,52.6,0,4.2,6.4,0.8,19.5,1.1,1.0,11.7,0,0,0,1,3,6,0,247.5,73.6,168.7,300.1,0
G115AH,G11 5AH,G,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G115AJ,G11 5AJ,G,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G115AL,G11 5AL,G,100,0,100,0,0,0,0,35.6,40.3,8.2,79.7,8.2,15.7,64.9,0,1.3,2.7,0.7,10.0,0.7,1.1,5.3,0,0,0,1,4,5,0,67.9,4.9,37.4,98.3,0
G115AN,G11 5AN,G,100,0,100,0,0,0,0,79.7,95.5,3.4,200.0,3.4,8.8,108.8,0,8.0,7.6,0.5,12.0,0.5,0.8,9.0,0,0,1,0,1,13,0,72.8,2.7,1.4,83.7,0
