postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
GL102AA,GL10 2AA,GL,100,0,100,0,0,0,0,19.2,18.0,1.2,54.9,7.1,16.4,47.4,0,1.1,1.3,0.2,10.0,0.7,1.0,6.0,0,1,0,7,28,2,0,102.7,59.8,105.5,55.4,0
GL102AD,GL10 2AD,GL,100,0,100,0,0,0,0,19.4,20.9,4.4,54.9,6.3,18.4,47.5,0,1.2,2.2,0.8,10.0,0.9,1.5,10.0,0,0,1,1,19,2,0,91.2,31.2,95.1,88.8,0
GL102AE,GL10 2AE,GL,100,0,100,0,0,0,0,20.5,29.6,12.9,66.6,0,19.3,57.9,0,1.2,2.7,0.4,13.8,0,1.0,11.9,0,0,0,0,11,4,0,162.2,0,110.5,304.6,0
GL102AJ,GL10 2AJ,GL,100,0,100,0,0,0,0,15.2,16.1,1.3,37.6,1.3,14.6,37.6,0,0.8,1.4,0.1,8.9,0.1,0.9,8.9,0,1,0,0,13,1,0,229.2,27.1,271.2,28.3,0
GL102AL,GL10 2AL,GL,100,0,100,0,0,0,0,17.9,21.9,13.7,60.8,0,17.4,57.8,0,1.2,2.5,0.4,20.0,0,1.0,15.0,0,0,0,0,16,2,0,71.4,0,76.0,34.2,0
GL102AN,GL10 2AN,GL,100,0,100,0,0,0,0,15.8,15.3,7.0,19.4,7.0,15.3,0,0,1.0,1.0,0.4,1.3,0.4,1.0,0,0,0,0,1,9,0,0,67.2,0.7,67.2,0,0
GL102AP,GL10 2AP,GL,100,0,100,0,0,0,0,13.0,14.9,0.3,48.9,5.9,12.3,48.9,0,0.9,1.5,0.8,8.5,1.0,1.0,8.5,0,1,0,2,10,1,0,101.0,118.7,104.4,57.6,0
GL102AQ,GL10 2AQ,GL,100,0,100,0,0,0,0,17.0,17.5,1.8,80.0,6.5,15.4,80.0,0,0.8,0.8,0.2,1.3,0.6,0.8,0,0,1,0,3,25,1,0,98.7,39.8,79.1,667.2,0
GL102AR,GL10 2AR,GL,100,0,100,0,0,0,0,13.1,17.7,1.8,55.0,6.0,12.2,45.0,0,1.0,1.6,0.6,10.0,0.8,1.0,10.0,0,1,0,3,11,3,0,114.0,42.9,106.4,159.2,0
GL102AS,GL10 2AS,GL,100,0,100,0,0,0,0,13.9,13.5,6.2,19.6,8.6,13.5,0,0,1.0,1.0,0.8,1.3,1.1,1.0,0,0,0,0,5,15,0,0,52.0,19.8,52.0,0,0
GL102AT,GL10 2AT,GL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GL102AU,GL10 2AU,GL,100,0,100,0,0,0,0,17.0,16.7,9.9,21.4,9.9,16.7,0,0,1.0,1.0,0.8,1.3,0.9,1.0,0,0,0,0,1,9,0,0,94.2,29.9,94.2,0,0
