postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
GU101AA,GU10 1AA,GU,92,0,100,0,0,0,8,40.0,34.2,0.7,79.7,1.1,5.8,50.5,0,3.0,2.8,0.4,7.3,0.5,0.5,4.2,0,3,0,0,1,7,0,85.3,12.7,15.2,176.1,0
GU101AB,GU10 1AB,GU,100,0,100,0,0,0,0,50.0,68.9,3.2,200.0,6.2,6.2,91.3,0,5.0,5.6,0.4,12.0,0.7,0.7,7.4,0,0,3,7,0,28,0,47.8,90.8,90.8,27.8,0
GU101AD,GU10 1AD,GU,100,0,100,0,0,0,0,51.2,73.3,7.2,200.0,7.2,7.2,86.5,0,4.5,5.6,1.0,12.0,1.0,1.0,6.5,0,0,0,1,0,5,0,45.3,5.6,5.6,55.3,0
GU101AE,GU10 1AE,GU,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GU101AF,GU10 1AF,GU,100,0,100,0,0,0,0,67.4,95.4,3.5,200.0,5.6,5.6,133.8,0,10.0,7.0,0.4,12.0,0.7,0.7,10.2,0,0,1,2,0,7,0,81.0,14.1,14.1,107.8,0
GU101AG,GU10 1AG,GU,100,0,100,0,0,0,0,54.9,50.4,9.2,100.0,9.3,9.3,66.8,0,4.5,5.2,1.0,10.0,1.0,1.0,7.2,0,0,0,2,0,5,0,67.5,181.4,181.4,10.5,0
GU101AH,GU10 1AH,GU,100,0,100,0,0,0,0,8.7,21.3,5.1,71.5,7.5,7.5,55.8,0,1.1,5.0,0.8,20.0,1.0,1.0,15.0,0,0,0,5,0,2,0,103.2,100.6,100.6,109.5,0
GU101AJ,GU10 1AJ,GU,100,0,100,0,0,0,0,50.0,56.4,3.4,200.0,7.1,7.3,89.1,0,3.0,5.0,0.6,12.0,0.9,0.9,8.4,0,0,3,10,1,21,0,96.4,105.6,104.1,62.0,0
GU101AL,GU10 1AL,GU,100,0,100,0,0,0,0,8.0,28.1,1.7,100.0,5.0,5.0,55.6,0,1.0,4.8,0.4,20.0,0.8,0.8,11.1,0,1,7,11,0,16,0,74.9,61.4,61.4,91.2,0
GU101AP,GU10 1AP,GU,100,0,100,0,0,0,0,50.0,68.8,4.9,200.0,5.7,7.4,99.5,0,6.0,6.2,0.8,12.0,0.8,0.8,8.8,0,0,1,1,1,6,0,78.2,109.8,99.4,79.4,0
GU101AQ,GU10 1AQ,GU,100,0,100,0,0,0,0,6.1,20.1,4.8,54.9,5.3,11.5,54.9,0,0.9,3.1,0.7,10.0,0.8,0.8,10.0,0,0,2,1,1,1,0,51.7,70.4,52.8,47.4,0
GU101AR,GU10 1AR,GU,100,0,100,0,0,0,0,52.5,61.6,2.3,200.0,6.1,8.8,93.2,0,3.0,4.8,0.6,12.0,0.9,1.7,6.8,0,0,3,5,4,20,0,67.0,75.9,136.9,15.7,0
GU101AS,GU10 1AS,GU,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GU101AT,GU10 1AT,GU,100,0,100,0,0,0,0,60.0,73.2,8.0,200.0,8.0,9.6,105.0,0,4.0,4.6,0.9,12.0,0.9,0.9,6.5,0,0,0,1,1,4,0,77.1,57.3,154.0,0.2,0
