postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
HA01AD,HA0 1AD,HA,100,0,100,0,0,0,0,50.0,48.1,4.9,100.0,7.7,10.2,67.0,0,3.0,3.0,0.6,6.0,0.9,0.9,4.1,0,0,1,3,1,10,0,310.0,309.5,293.5,318.2,0
HA01AE,HA0 1AE,HA,100,0,100,0,0,0,0,50.0,56.1,3.1,200.0,7.4,7.4,98.8,0,3.0,3.8,0.4,12.0,0.9,0.9,6.4,0,0,2,12,0,16,0,207.5,158.0,158.0,250.7,0
HA01AF,HA0 1AF,HA,100,0,100,0,0,0,0,8.0,52.5,4.3,200.0,6.1,6.1,118.9,0,1.0,3.8,0.4,12.0,0.8,0.8,7.7,0,0,2,8,0,7,0,149.8,82.1,82.1,236.9,0
HA01AH,HA0 1AH,HA,90,10,100,0,0,0,0,50.0,47.8,2.6,152.0,6.2,7.4,79.4,0,3.0,3.5,0.4,12.0,0.8,0.8,5.6,0,0,2,8,1,14,0,175.8,131.7,126.0,227.6,0
HA01AJ,HA0 1AJ,HA,93,0,93,0,0,7,7,10.5,43.6,2.2,200.0,7.1,8.2,90.8,0,1.1,2.9,0.6,12.0,0.8,0.9,5.7,0,0,2,12,2,12,0,185.0,142.8,149.5,232.2,0
HA01AN,HA0 1AN,HA,20,0,20,0,0,30,80,9.5,17.3,2.9,100.0,7.2,8.1,100.0,0,1.0,1.4,0.5,6.0,0.8,0.9,6.0,0,0,2,5,2,1,0,59.9,52.8,50.1,148.2,0
HA01AP,HA0 1AP,HA,100,0,100,0,0,0,0,50.0,46.1,4.6,150.0,6.2,6.2,78.0,0,3.0,3.1,0.5,10.0,0.7,0.7,4.9,0,0,2,10,0,15,0,224.7,162.4,162.4,274.6,0
HA01AQ,HA0 1AQ,HA,100,0,100,0,0,0,0,13.1,45.7,3.1,152.0,7.1,8.3,85.1,0,1.2,3.1,0.4,12.0,0.8,0.9,5.5,0,0,1,13,5,18,0,169.8,82.2,113.4,238.8,0
HA01AR,HA0 1AR,HA,74,26,100,0,0,0,0,50.0,63.9,2.0,200.0,5.9,7.2,86.2,0,3.0,4.2,0.4,12.0,0.8,0.8,5.6,0,0,3,7,1,28,0,176.2,194.6,197.8,172.6,0
HA01AS,HA0 1AS,HA,27,73,100,0,0,0,0,50.0,50.7,5.0,152.0,7.9,7.9,82.8,0,3.0,3.5,0.8,12.0,1.0,1.0,5.4,0,0,1,5,0,8,0,147.2,59.2,59.2,213.1,0
