postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
HD11AA,HD1 1AA,HD,0,0,0,0,0,0,100,19.8,18.0,14.4,21.2,0,18.0,0,0,0.8,0.9,0.8,1.0,0,0.9,0,0,0,0,0,5,0,0,21.1,0,21.1,0,0
HD11BA,HD1 1BA,HD,100,0,100,0,0,0,0,15.4,16.6,8.1,24.0,8.1,16.6,0,0,1.2,1.1,0.9,1.3,0.9,1.1,0,0,0,0,1,6,0,0,47.7,3.3,47.7,0,0
HD11BG,HD1 1BG,HD,100,0,100,0,0,0,0,15.3,15.7,8.1,22.9,8.1,15.7,0,0,1.2,1.1,0.8,1.3,1.3,1.1,0,0,0,0,1,4,0,0,25.8,2.1,25.8,0,0
HD11BL,HD1 1BL,HD,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HD11BR,HD1 1BR,HD,83,0,83,0,0,0,17,13.5,14.2,1.1,40.0,6.7,11.7,40.0,0,0.9,1.4,0.1,6.4,1.7,1.4,0,0,1,0,4,5,1,0,25.3,19.3,16.0,18.9,0
HD11BS,HD1 1BS,HD,89,0,89,0,0,0,11,18.6,23.1,12.3,55.0,0,17.8,55.0,0,0.8,0.9,0.7,1.2,0,0.9,0,0,0,0,0,6,1,0,302.3,0,321.8,185.9,0
HD11BT,HD1 1BT,HD,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HD11BU,HD1 1BU,HD,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HD11BX,HD1 1BX,HD,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HD11DD,HD1 1DD,HD,100,0,100,0,0,0,0,24.0,29.7,21.0,50.0,0,23.0,50.0,0,1.3,1.6,0.8,3.0,0,1.1,3.0,0,0,0,0,3,1,0,299.3,0,380.2,56.7,0
