postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
HG11AB,HG1 1AB,HG,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HG11AE,HG1 1AE,HG,0,0,0,0,0,0,100,14.3,13.3,1.0,21.7,6.8,13.3,0,0,1.1,1.0,0.1,1.8,0.7,1.0,0,0,1,1,9,20,0,0,25.9,20.6,25.9,0,0
HG11AG,HG1 1AG,HG,0,0,0,0,0,0,100,19.7,19.1,14.8,21.1,0,19.1,0,0,0.7,0.8,0.4,1.2,0,0.8,0,0,0,0,0,6,0,0,35.1,0,35.1,0,0
HG11AH,HG1 1AH,HG,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HG11AX,HG1 1AX,HG,100,0,100,0,0,0,0,67.3,70.0,7.8,150.0,7.8,13.1,81.4,0,4.5,4.9,1.1,10.0,1.2,1.1,5.9,0,0,0,1,1,10,0,156.5,90.6,64.6,193.2,0
HG11BA,HG1 1BA,HG,100,0,100,0,0,0,0,18.2,18.1,15.3,20.3,0,18.1,0,0,1.3,1.2,0.9,1.4,0,1.2,0,0,0,0,0,6,0,0,102.5,0,107.5,0,0
HG11BB,HG1 1BB,HG,100,0,100,0,0,0,0,20.3,26.8,18.1,70.0,0,19.8,55.0,0,1.1,2.4,0.8,10.0,0,1.1,7.5,0,0,0,0,8,2,0,196.8,0,185.9,89.6,0
HG11BE,HG1 1BE,HG,100,0,100,0,0,0,0,35.0,52.6,14.9,152.0,0,17.3,79.0,0,2.5,4.1,0.8,12.0,0,0.9,6.5,0,0,0,0,6,8,0,200.9,0,276.8,165.4,0
HG11BJ,HG1 1BJ,HG,100,0,100,0,0,0,0,18.0,27.1,5.4,79.7,7.1,14.0,59.8,0,1.1,1.0,0.8,1.2,0.9,1.0,0,0,0,0,4,11,6,0,72.6,14.3,18.4,154.0,0
HG11BL,HG1 1BL,HG,100,0,100,0,0,0,0,39.9,51.0,2.3,200.0,6.6,14.9,82.1,0,1.3,4.2,0.7,20.0,0.8,1.0,8.1,0,0,1,4,14,22,0,94.3,11.5,58.2,128.3,0
