postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
HP100AA,HP10 0AA,HP,100,0,100,0,0,0,0,39.9,34.7,2.0,73.5,6.2,6.2,53.2,0,1.2,5.8,0.6,20.0,1.0,1.0,12.4,0,0,3,8,0,17,0,103.2,79.6,79.6,92.2,0
HP100AD,HP10 0AD,HP,100,0,100,0,0,0,0,25.8,27.7,4.3,54.9,4.3,7.9,47.5,0,10.0,7.3,0.4,11.3,0.4,0.4,10.7,0,0,1,0,1,2,0,102.4,241.2,241.2,59.4,0
HP100AE,HP10 0AE,HP,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HP100AF,HP10 0AF,HP,100,0,100,0,0,0,0,9.3,12.1,3.5,54.9,7.0,8.2,54.9,0,1.0,1.7,0.3,10.0,0.9,0.9,10.0,0,0,3,5,3,1,0,37.1,25.9,39.3,12.7,0
HP100AG,HP10 0AG,HP,100,0,100,0,0,0,0,4.9,18.6,1.2,66.7,4.1,4.1,52.2,0,0.8,1.9,0.4,10.0,0.8,0.8,10.0,0,1,5,1,0,3,0,77.8,61.7,61.7,115.5,0
HP100AL,HP10 0AL,HP,100,0,100,0,0,0,0,23.6,29.7,7.1,64.4,7.2,7.2,52.1,0,1.0,1.0,0.8,1.2,1.0,1.0,0,0,0,0,2,0,2,0,267.6,225.6,225.6,309.6,0
HP100AN,HP10 0AN,HP,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HP100AP,HP10 0AP,HP,0,0,0,0,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HP100AQ,HP10 0AQ,HP,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HP100AT,HP10 0AT,HP,100,0,100,0,0,0,0,16.5,24.6,2.2,56.0,4.5,6.9,47.4,0,1.0,5.0,0.6,16.7,0.9,0.9,13.2,0,0,4,4,1,7,0,114.2,34.5,57.2,187.6,0
