postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
HR11AB,HR1 1AB,HR,0,0,0,0,100,100,100,1.6,2.1,0.8,3.8,2.1,2.1,0,0,0.6,0.6,0.3,0.8,0.6,0.6,0,0,4,2,0,0,0,0,58.5,58.5,58.5,0,0
HR11AD,HR1 1AD,HR,0,0,0,0,0,80,100,5.8,6.6,0.6,80.0,5.6,5.6,80.0,0,0.8,0.8,0.4,1.3,0.8,0.8,0,0,3,19,48,0,1,0,102.5,101.1,101.1,196.3,0
HR11AE,HR1 1AE,HR,0,0,0,0,100,100,100,5.9,4.8,1.0,6.3,4.8,4.8,0,0,0.8,0.8,0.4,1.0,0.8,0.8,0,0,1,0,4,0,0,0,75.1,75.1,75.1,0,0
HR11AF,HR1 1AF,HR,0,0,0,0,100,100,100,3.1,2.9,1.3,3.9,2.9,2.9,0,0,0.7,0.8,0.6,1.0,0.8,0.8,0,0,1,3,0,0,0,0,94.9,94.9,94.9,0,0
HR11AG,HR1 1AG,HR,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HR11AH,HR1 1AH,HR,100,0,100,0,0,0,0,39.9,31.4,1.6,79.9,3.5,3.5,55.6,0,0.9,5.5,0.3,20.0,0.7,0.7,10.7,0,1,12,0,0,15,0,131.0,53.8,53.8,102.0,0
HR11AJ,HR1 1AJ,HR,100,0,100,0,0,0,0,3.6,9.8,2.1,54.9,3.4,3.4,54.9,0,0.8,1.9,0.4,10.0,0.7,0.7,10.0,0,0,7,0,0,1,0,42.3,36.0,36.0,70.7,0
HR11AL,HR1 1AL,HR,100,0,100,0,0,0,0,47.4,37.5,2.3,79.7,3.3,3.3,59.2,0,10.0,8.1,0.4,20.0,0.7,0.7,13.2,0,0,7,0,0,11,0,126.9,144.4,144.4,103.7,0
HR11AN,HR1 1AN,HR,100,0,100,0,0,0,0,44.9,38.1,2.0,79.9,3.1,3.1,55.6,0,10.0,8.9,0.3,20.0,0.7,0.7,13.5,0,0,8,0,0,16,0,123.5,20.6,20.6,119.8,0
HR11AP,HR1 1AP,HR,100,0,100,0,0,0,0,22.3,34.1,1.5,79.7,3.2,3.2,64.9,0,0.8,4.9,0.2,20.0,0.6,0.6,12.5,0,1,6,0,0,7,0,179.9,36.1,36.1,234.3,0
HR11AQ,HR1 1AQ,HR,100,0,100,0,0,0,0,6.5,27.8,6.1,79.9,6.4,6.4,60.0,0,1.1,3.2,0.8,10.0,1.0,1.0,10.0,0,0,0,3,0,2,0,117.1,84.4,84.4,218.0,0
HR11AR,HR1 1AR,HR,100,0,100,0,0,0,0,4.7,31.9,2.5,79.7,3.6,3.6,67.3,0,0.8,3.4,0.4,10.0,0.7,0.7,10.0,0,0,5,0,0,4,0,131.4,39.5,39.5,270.1,0
HR11AS,HR1 1AS,HR,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
