postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
HS12AE,HS1 2AE,HS,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HS12AG,HS1 2AG,HS,0,0,0,0,0,0,100,19.9,18.2,10.7,21.1,0,18.2,0,0,1.2,1.1,0.4,1.2,0,1.1,0,0,0,0,0,22,0,0,177.3,0,177.3,0,0
HS12BD,HS1 2BD,HS,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HS12BE,HS1 2BE,HS,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HS12BJ,HS1 2BJ,HS,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HS12BN,HS1 2BN,HS,0,0,33,0,0,0,100,8.1,10.7,7.4,22.2,7.8,10.7,0,0,1.2,1.2,1.2,1.2,0,1.2,0,0,0,0,4,1,0,0,128.2,150.0,128.2,0,0
HS12BS,HS1 2BS,HS,20,0,20,0,0,0,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HS12BT,HS1 2BT,HS,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HS12DA,HS1 2DA,HS,0,0,0,0,0,0,100,8.1,9.4,4.8,24.4,7.5,9.4,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0,0,0,1,7,1,0,0,34.2,34.2,34.2,0,0
HS12DB,HS1 2DB,HS,0,0,0,0,0,0,100,20.6,18.4,8.1,24.4,8.1,18.4,0,0,1.2,1.2,1.2,1.2,0,1.2,0,0,0,0,1,3,0,0,40.3,26.2,40.3,0,0
HS12DD,HS1 2DD,HS,0,0,0,0,0,0,100,8.1,12.0,5.7,24.4,7.6,12.0,0,0,1.2,1.0,0.4,1.3,0.8,1.0,0,0,0,0,14,6,0,0,32.2,12.1,32.2,0,0
HS12DF,HS1 2DF,HS,0,0,0,0,0,0,100,8.1,12.0,7.4,24.4,7.9,12.0,0,0,1.3,1.3,1.3,1.3,0,1.3,0,0,0,0,3,1,0,0,10.2,11.5,10.2,0,0
HS12DG,HS1 2DG,HS,0,0,0,0,0,0,100,8.1,14.2,6.2,24.4,7.4,14.2,0,0,1.2,1.0,0.4,1.3,0.4,1.0,0,0,0,0,6,5,0,0,88.9,41.3,88.9,0,0
HS12DH,HS1 2DH,HS,0,0,0,0,0,0,100,20.8,16.1,5.7,24.4,7.2,16.1,0,0,1.2,1.7,0.4,7.7,0.4,1.7,0,0,0,0,7,9,0,0,88.5,16.6,88.5,0,0
HS12DJ,HS1 2DJ,HS,0,0,0,0,0,0,100,21.9,18.5,7.4,22.9,7.4,18.5,0,0,1.2,1.2,1.2,1.2,0,1.2,0,0,0,0,1,3,0,0,113.6,44.3,113.6,0,0
HS12DL,HS1 2DL,HS,0,0,0,0,0,0,100,20.4,18.5,7.1,40.0,7.9,17.4,40.0,0,1.2,1.1,0.4,1.2,0.4,1.1,0,0,0,0,4,15,1,0,97.4,90.4,102.8,0.0,0
HS12DP,HS1 2DP,HS,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HS12DR,HS1 2DR,HS,0,0,0,0,0,0,100,8.1,10.4,2.8,24.4,6.8,10.4,0,0,1.2,0.9,0.4,1.2,0.4,0.9,0,0,0,1,5,3,0,0,99.3,86.7,99.3,0,0
HS12DS,HS1 2DS,HS,0,0,0,0,0,0,100,8.1,12.6,7.4,24.4,8.0,12.6,0,0,1.2,1.2,1.2,1.3,0,1.2,0,0,0,0,7,5,0,0,130.9,197.9,130.9,0,0
HS12DT,HS1 2DT,HS,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HS12DU,HS1 2DU,HS,0,0,0,0,0,0,100,8.1,13.6,7.4,24.4,8.0,13.6,0,0,1.2,1.2,1.0,1.3,1.0,1.2,0,0,0,0,11,8,0,0,51.4,39.9,51.4,0,0
HS12DX,HS1 2DX,HS,0,0,0,0,0,0,100,21.6,19.1,7.2,23.3,7.2,19.1,0,0,1.2,1.0,0.4,1.2,0.4,1.0,0,0,0,0,1,4,0,0,26.5,3.0,26.5,0,0
HS12DY,HS1 2DY,HS,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS12DZ,HS1 2DZ,HS,61,0,61,0,0,0,39,16.2,20.5,5.1,79.8,7.4,13.7,74.9,0,1.2,2.3,0.4,14.0,0.4,1.1,14.0,0,0,0,7,9,2,0,38.2,17.0,31.0,96.0,0
HS12EB,HS1 2EB,HS,0,0,0,0,0,0,100,8.1,14.5,8.1,24.4,8.1,14.5,0,0,1.1,1.1,1.0,1.2,0,1.1,0,0,0,0,3,2,0,0,220.4,319.3,220.4,0,0
HS12ED,HS1 2ED,HS,0,0,0,0,0,0,100,21.9,20.2,8.1,23.8,8.1,20.2,0,0,1.2,1.2,0.8,1.3,0,1.2,0,0,0,0,1,9,0,0,86.4,258.2,86.4,0,0
HS12EG,HS1 2EG,HS,100,0,100,0,0,0,0,36.5,32.1,5.7,68.9,7.4,11.1,50.0,0,10.0,7.9,1.0,20.0,1.0,1.1,11.3,0,0,0,3,3,7,0,74.1,51.5,35.7,96.0,0
HS12EH,HS1 2EH,HS,100,0,100,0,0,0,0,15.9,31.9,14.3,59.0,0,15.3,57.0,0,1.2,6.7,0.8,20.0,0,1.1,15.0,0,0,0,0,3,2,0,104.2,0,9.8,245.9,0
HS12EJ,HS1 2EJ,HS,100,0,100,0,0,0,0,40.0,34.0,8.1,59.1,8.7,12.8,48.2,0,9.2,7.0,0.7,11.3,0.7,1.0,9.9,0,0,0,2,2,6,0,181.6,9.7,13.7,265.5,0
HS12EP,HS1 2EP,HS,100,0,100,0,0,0,0,12.0,33.6,8.1,79.7,8.1,9.4,69.8,0,0.8,0.8,0.8,0.8,0,0.8,0,0,0,0,2,1,2,0,125.0,0.0,12.8,237.3,0
HS12EU,HS1 2EU,HS,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HS12EW,HS1 2EW,HS,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HS12EX,HS1 2EX,HS,100,0,100,0,0,0,0,16.9,26.2,14.3,54.9,0,15.6,47.5,0,1.2,3.1,1.1,10.0,0,1.2,6.0,0,0,0,0,4,2,0,99.1,0,107.2,86.9,0
HS12EY,HS1 2EY,HS,95,0,95,0,0,0,5,15.1,34.7,5.2,79.7,5.2,12.7,60.2,0,1.2,5.2,0.4,20.0,0.4,1.1,13.3,0,0,0,1,6,6,0,124.4,47.5,38.9,209.9,0
