postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
HU106AA,HU10 6AA,HU,0,7,7,0,0,0,93,13.8,31.9,10.6,250.0,0,13.7,250.0,0,1.0,10.5,0.6,125.0,0,1.0,125.0,0,0,0,0,24,2,0,104.6,0,99.4,167.0,0
HU106AB,HU10 6AB,HU,0,0,0,0,0,0,100,15.3,14.8,9.8,17.0,9.8,14.8,0,0,1.0,1.0,0.7,1.0,0.7,1.0,0,0,0,0,1,17,0,0,41.4,61.0,41.4,0,0
HU106AD,HU10 6AD,HU,0,8,8,0,0,0,92,14.9,68.5,7.2,1000.0,7.7,14.5,250.0,1000.0,1.0,28.6,0.9,500.0,1.0,1.0,125.0,500.0,0,0,2,22,3,1,88.0,76.7,86.9,91.3,111.0
HU106AE,HU10 6AE,HU,0,0,0,0,0,0,100,14.6,13.9,8.0,16.9,8.7,13.9,0,0,1.0,1.0,0.9,1.0,1.0,1.0,0,0,0,0,2,17,0,0,112.5,54.8,112.5,0,0
HU106AF,HU10 6AF,HU,0,0,0,0,0,0,100,14.9,14.6,12.5,16.6,0,14.6,0,0,0.9,0.9,0.4,1.0,0,0.9,0,0,0,0,0,11,0,0,134.0,0,134.0,0,0
HU106AH,HU10 6AH,HU,0,13,13,0,0,0,87,11.4,42.9,5.5,250.0,7.8,11.1,250.0,0,1.0,17.5,0.8,125.0,0.9,1.0,125.0,0,0,0,5,8,2,0,83.7,53.6,61.2,229.5,0
HU106AJ,HU10 6AJ,HU,0,0,0,0,0,0,100,10.7,10.4,3.5,14.0,8.0,10.4,0,0,1.0,0.9,0.5,1.0,0.9,0.9,0,0,0,1,10,20,0,0,91.1,64.9,91.1,0,0
HU106AL,HU10 6AL,HU,0,0,0,0,0,0,100,10.7,19.5,3.6,250.0,8.2,10.6,250.0,0,1.0,5.5,0.6,125.0,0.9,0.9,125.0,0,0,1,9,16,1,0,37.8,28.0,37.4,47.9,0
HU106AN,HU10 6AN,HU,0,0,0,0,0,0,100,12.4,11.2,3.6,15.2,7.9,11.2,0,0,0.9,0.9,0.7,1.0,0.9,0.9,0,0,0,1,5,13,0,0,124.2,87.1,124.2,0,0
HU106AP,HU10 6AP,HU,0,0,0,0,0,0,100,11.3,11.3,7.3,14.2,8.4,11.3,0,0,0.9,0.9,0.9,1.0,0.9,0.9,0,0,0,0,2,9,0,0,86.0,107.3,86.0,0,0
HU106AQ,HU10 6AQ,HU,0,25,25,0,0,0,75,13.6,72.6,13.0,250.0,0,13.4,250.0,0,1.0,32.0,0.9,125.0,0,0.9,125.0,0,0,0,0,3,1,0,184.5,0,205.6,121.1,0
HU106AR,HU10 6AR,HU,0,0,0,0,0,0,100,12.0,11.9,7.0,16.0,7.7,11.9,0,0,0.9,0.9,0.8,1.0,0.9,0.9,0,0,0,0,3,17,0,0,140.9,75.3,140.9,0,0
HU106AS,HU10 6AS,HU,0,0,0,0,0,0,100,11.3,10.9,5.2,13.0,8.6,10.9,0,0,0.9,0.9,0.8,1.0,0.9,0.9,0,0,0,0,4,19,0,0,80.4,83.1,80.4,0,0
HU106AT,HU10 6AT,HU,0,0,0,0,0,0,100,10.3,10.0,3.1,13.2,7.2,10.0,0,0,0.9,0.9,0.6,1.0,0.9,0.9,0,0,0,1,6,10,0,0,164.4,26.1,164.4,0,0
