postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
HX11AE,HX1 1AE,HX,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HX11AF,HX1 1AF,HX,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HX11BE,HX1 1BE,HX,67,0,67,0,0,0,33,15.3,14.3,2.2,24.2,6.1,14.3,0,0,1.0,0.9,0.4,1.3,0.5,0.9,0,0,0,1,2,4,0,0,12.5,22.5,12.5,0,0
HX11BP,HX1 1BP,HX,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HX11BS,HX1 1BS,HX,80,0,80,0,0,0,20,20.2,18.5,9.7,23.6,9.7,18.5,0,0,1.3,1.3,1.3,1.3,1.3,1.3,0,0,0,0,1,3,0,0,5.1,7.6,5.1,0,0
HX11BW,HX1 1BW,HX,100,0,100,0,0,0,0,20.9,18.2,8.1,22.9,8.1,18.2,0,0,1.2,1.1,0.9,1.3,1.1,1.1,0,0,0,0,1,3,0,0,5.7,1.3,5.7,0,0
HX11BX,HX1 1BX,HX,90,0,90,0,0,0,10,21.1,23.2,7.6,50.0,7.6,17.7,45.0,0,1.2,1.6,0.6,5.0,0,1.1,5.0,0,0,0,1,7,2,0,39.0,0,29.5,105.4,0
HX11DD,HX1 1DD,HX,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HX11DE,HX1 1DE,HX,57,0,57,0,0,0,43,16.0,17.5,14.3,22.9,0,17.5,0,0,1.1,1.1,0.8,1.3,0,1.1,0,0,0,0,0,5,0,0,6.3,0,6.3,0,0
HX11DH,HX1 1DH,HX,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HX11DJ,HX1 1DJ,HX,100,0,100,0,0,0,0,21.3,23.4,8.1,80.0,8.1,19.7,55.0,0,1.1,1.2,0.6,3.0,1.3,1.1,3.0,0,0,0,1,16,2,0,98.9,1.6,92.7,148.2,0
HX11DL,HX1 1DL,HX,46,0,46,0,0,0,54,21.0,22.2,8.1,80.0,8.1,19.8,80.0,0,1.1,1.0,0.4,1.3,0.9,1.0,0,0,0,0,1,23,1,0,37.8,5.9,39.1,10.9,0
HX11DS,HX1 1DS,HX,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HX11DU,HX1 1DU,HX,92,0,92,0,0,0,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HX11DY,HX1 1DY,HX,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HX11DZ,HX1 1DZ,HX,79,0,79,0,0,0,21,17.7,17.5,8.1,24.4,8.1,17.5,0,0,1.0,0.9,0.4,1.1,1.0,0.9,0,0,0,0,1,8,0,0,37.4,0.1,37.4,0,0
HX11HA,HX1 1HA,HX,82,0,82,0,0,0,18,20.0,17.5,2.3,24.4,5.2,17.5,0,0,0.9,0.9,0.2,1.3,0.3,0.9,0,0,0,1,1,9,0,0,163.7,15.5,163.7,0,0
HX11HB,HX1 1HB,HX,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HX11HF,HX1 1HF,HX,67,0,67,0,0,0,33,18.2,16.8,8.1,22.6,8.1,16.8,0,0,1.0,1.0,0.8,1.2,0.9,1.0,0,0,0,0,1,3,0,0,31.6,93.4,31.6,0,0
HX11HJ,HX1 1HJ,HX,100,0,100,0,0,0,0,24.4,20.3,8.1,24.4,8.1,20.3,0,0,1.1,1.1,1.0,1.1,0,1.1,0,0,0,0,1,3,0,0,163.0,0,163.0,0,0
HX11HS,HX1 1HS,HX,79,0,79,0,0,0,21,20.9,17.7,7.5,24.4,7.8,17.7,0,0,1.0,1.0,0.4,1.2,0.7,1.0,0,0,0,0,2,4,0,0,38.9,14.9,38.9,0,0
HX11HU,HX1 1HU,HX,50,0,50,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HX11HX,HX1 1HX,HX,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HX11JB,HX1 1JB,HX,80,0,80,0,0,0,20,23.4,37.2,5.8,100.0,5.8,20.4,93.2,0,1.2,2.0,0.7,6.0,0.7,1.1,6.0,0,0,0,1,9,3,0,81.6,3.5,103.2,23.8,0
HX11JF,HX1 1JF,HX,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HX11JN,HX1 1JN,HX,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HX11LH,HX1 1LH,HX,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HX11LN,HX1 1LN,HX,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HX11LW,HX1 1LW,HX,86,0,86,0,0,0,14,24.4,20.4,8.1,24.5,8.1,20.4,0,0,1.3,1.2,1.2,1.3,0,1.2,0,0,0,0,1,3,0,0,47.2,0,47.2,0,0
HX11NH,HX1 1NH,HX,75,0,75,0,0,0,25,18.6,16.4,8.1,24.4,8.1,16.4,0,0,1.1,1.0,0.4,1.3,0.9,1.0,0,0,0,0,3,4,0,0,108.9,3.7,108.9,0,0
HX11NL,HX1 1NL,HX,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HX11NT,HX1 1NT,HX,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HX11NX,HX1 1NX,HX,67,0,67,0,0,0,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HX11PB,HX1 1PB,HX,92,0,92,0,0,0,8,21.4,20.4,9.1,24.4,9.1,20.4,0,0,1.1,1.0,0.4,1.3,0.7,1.0,0,0,0,0,1,16,0,0,7.7,0.3,7.7,0,0
HX11PD,HX1 1PD,HX,0,0,0,0,0,0,100,18.8,17.0,4.5,24.4,4.5,17.0,0,0,1.1,1.0,0.4,1.3,0.4,1.0,0,0,0,1,0,4,0,0,57.1,30.9,57.1,0,0
HX11PF,HX1 1PF,HX,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HX11PR,HX1 1PR,HX,100,0,100,0,0,0,0,22.1,41.0,4.0,79.8,4.0,15.6,79.2,0,1.1,5.4,0.5,18.8,0.5,0.9,18.8,0,0,1,0,2,2,0,69.1,20.0,32.2,124.5,0
HX11PU,HX1 1PU,HX,100,0,100,0,0,0,0,21.3,25.7,20.2,40.0,0,20.9,40.0,0,1.1,1.0,0.8,1.1,0,1.0,0,0,0,0,0,3,1,0,36.9,0,43.9,15.7,0
HX11PW,HX1 1PW,HX,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HX11QE,HX1 1QE,HX,100,0,100,0,0,0,0,20.8,24.5,8.1,100.0,8.1,18.2,100.0,0,1.1,1.6,0.4,6.0,1.2,1.2,6.0,0,0,0,2,10,1,0,44.8,35.3,48.6,0.0,0
HX11QG,HX1 1QG,HX,100,0,100,0,0,0,0,15.9,24.7,5.6,66.4,6.9,12.8,60.2,0,1.0,4.8,0.4,19.5,0.8,0.8,16.7,0,0,0,2,4,2,0,58.7,6.1,38.4,109.6,0
HX11QH,HX1 1QH,HX,100,0,100,0,0,0,0,21.3,44.7,8.2,200.0,8.2,18.9,135.0,0,1.2,2.7,0.8,12.0,1.0,1.1,8.5,0,0,0,1,6,2,0,165.5,24.6,169.6,151.0,0
HX11QL,HX1 1QL,HX,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HX11QP,HX1 1QP,HX,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HX11QR,HX1 1QR,HX,100,0,100,0,0,0,0,21.2,42.5,14.1,200.0,0,18.2,75.0,0,1.3,2.9,0.5,12.0,0,0.9,6.3,0,0,0,0,8,6,0,115.3,0,89.2,145.7,0
HX11QS,HX1 1QS,HX,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
