postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
IG101AD,IG10 1AD,IG,93,0,93,0,0,0,7,23.6,27.9,0.3,152.0,6.1,19.4,70.4,0,1.1,1.7,0.6,12.0,0.8,1.1,4.8,0,1,0,3,21,5,0,96.9,14.0,94.3,141.0,0
IG101AE,IG10 1AE,IG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IG101AF,IG10 1AF,IG,100,0,100,0,0,0,0,15.4,46.1,1.8,200.0,7.7,12.5,128.1,0,1.1,3.0,0.0,12.0,0.6,0.8,7.8,0,1,0,17,21,16,0,114.1,1.3,71.7,212.9,0
IG101AG,IG10 1AG,IG,100,0,100,0,0,0,0,18.7,72.9,4.7,200.0,4.7,15.1,150.0,0,1.2,4.7,0.8,12.0,0.8,1.1,9.5,0,0,1,0,7,6,0,111.1,67.5,77.4,165.0,0
IG101AH,IG10 1AH,IG,77,0,77,0,5,5,23,19.7,19.1,7.2,39.9,8.3,16.4,39.9,0,0.9,1.0,0.7,1.3,0.9,1.0,0,0,0,0,4,11,2,0,50.1,16.4,55.4,18.4,0
IG101AL,IG10 1AL,IG,100,0,100,0,0,0,0,30.0,38.0,10.3,68.9,0,19.5,53.5,0,2.0,6.4,0.9,20.0,0,1.1,10.8,0,0,0,0,5,6,0,205.8,0,300.4,126.9,0
IG101AN,IG10 1AN,IG,93,0,93,0,0,0,7,21.7,47.0,5.0,200.0,7.2,18.8,111.4,0,1.2,3.3,0.5,12.0,0.8,1.1,7.9,0,0,0,2,14,7,0,154.8,56.9,162.0,139.5,0
IG101AQ,IG10 1AQ,IG,0,0,0,0,0,0,100,21.1,20.3,12.3,24.3,0,20.3,0,0,1.0,1.0,0.8,1.4,0,1.0,0,0,0,0,0,29,0,0,249.9,0,249.9,0,0
IG101BA,IG10 1BA,IG,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IG101BB,IG10 1BB,IG,71,0,71,0,0,0,29,18.5,16.7,8.1,24.4,8.1,16.7,0,0,1.0,0.9,0.4,1.2,0.7,0.9,0,0,0,0,2,13,0,0,107.5,4.1,116.4,0,0
IG101BF,IG10 1BF,IG,100,0,100,0,0,0,0,15.3,31.5,2.0,79.9,6.3,9.6,59.4,0,1.2,5.3,0.4,20.0,0.8,1.0,12.7,0,0,3,7,9,15,0,121.7,110.9,144.7,92.7,0
IG101BH,IG10 1BH,IG,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
