postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
IP100AA,IP10 0AA,IP,0,0,0,0,0,100,100,7.9,6.9,2.2,8.1,6.9,6.9,0,0,0.4,0.5,0.4,0.9,0.5,0.5,0,0,0,2,16,0,0,0,79.5,79.5,79.5,0,0
IP100AB,IP10 0AB,IP,0,0,50,0,25,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IP100AD,IP10 0AD,IP,0,0,100,0,40,100,100,4.4,4.1,2.7,5.2,4.1,4.1,0,0,0.6,0.7,0.4,0.9,0.7,0.7,0,0,0,3,2,0,0,0,29.8,29.8,29.8,0,0
IP100AE,IP10 0AE,IP,0,0,100,0,0,29,100,5.1,4.7,0.3,7.8,4.7,4.7,0,0,0.8,0.8,0.4,1.0,0.8,0.8,0,0,1,1,4,0,0,0,48.9,48.9,48.9,0,0
IP100AG,IP10 0AG,IP,0,0,100,0,0,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IP100AH,IP10 0AH,IP,50,0,100,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IP100AL,IP10 0AL,IP,0,0,100,0,0,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IP100AN,IP10 0AN,IP,0,0,100,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IP100AP,IP10 0AP,IP,0,0,100,0,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IP100AQ,IP10 0AQ,IP,0,0,100,5,5,16,100,6.6,7.4,4.2,15.0,6.1,7.4,0,0,1.0,0.9,0.5,1.1,0.8,0.9,0,0,0,2,4,1,0,0,33.8,39.3,33.8,0,0
IP100AR,IP10 0AR,IP,0,0,100,50,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IP100AS,IP10 0AS,IP,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IP100AT,IP10 0AT,IP,0,100,100,0,0,0,0,4.8,5.1,3.3,7.1,5.1,5.1,0,0,0.4,0.6,0.4,0.8,0.6,0.6,0,0,0,3,3,0,0,0,34.3,34.3,34.3,0,0
IP100AU,IP10 0AU,IP,0,0,0,0,0,100,100,8.1,7.1,4.5,8.1,7.1,7.1,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0,0,0,1,5,0,0,0,87.8,87.8,87.8,0,0
IP100AW,IP10 0AW,IP,0,0,100,0,0,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IP100AX,IP10 0AX,IP,0,100,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
