postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
IV108AB,IV10 8AB,IV,71,0,100,0,0,0,29,22.3,30.3,8.1,53.7,8.1,20.3,46.6,0,1.3,4.7,0.8,10.0,0,1.1,10.0,0,0,0,1,12,8,0,108.0,198.6,136.0,62.5,0
IV108RA,IV10 8RA,IV,0,0,79,45,88,100,100,2.8,2.7,0.5,5.9,2.7,2.7,0,0,0.5,0.7,0.4,1.1,0.7,0.7,0,0,8,13,2,0,0,0,26.6,26.6,26.6,0,0
IV108RH,IV10 8RH,IV,52,0,100,0,0,0,48,15.2,14.1,3.6,21.6,6.2,14.1,0,0,1.1,1.3,0.7,4.0,1.0,1.3,0,0,0,2,2,14,0,0,51.9,45.7,51.9,0,0
IV108RJ,IV10 8RJ,IV,100,0,100,0,0,0,0,20.8,27.3,11.3,54.9,0,18.1,54.9,0,1.2,3.8,0.8,10.0,0,1.1,10.0,0,0,0,0,9,3,0,43.2,0,22.9,95.1,0
IV108RP,IV10 8RP,IV,100,0,100,0,0,0,0,17.4,18.6,7.4,37.1,8.7,16.3,35.5,0,1.1,1.8,0.5,7.6,0.8,1.1,7.4,0,0,0,2,13,2,0,149.1,52.4,139.8,218.2,0
IV108RQ,IV10 8RQ,IV,77,0,100,0,0,0,23,19.6,25.7,13.0,55.0,0,18.8,46.3,0,1.1,2.8,0.8,10.0,0,1.1,9.8,0,0,0,0,24,8,0,113.7,0,101.2,163.2,0
IV108RR,IV10 8RR,IV,100,0,100,0,0,0,0,14.6,14.9,11.7,19.0,0,14.9,0,0,0.9,0.9,0.8,1.1,0,0.9,0,0,0,0,0,4,0,0,13.6,0,13.6,0,0
IV108RS,IV10 8RS,IV,0,0,100,0,0,0,100,18.1,23.0,10.2,40.0,0,15.6,37.9,0,1.2,2.7,0.9,8.8,0,1.1,8.8,0,0,0,0,4,2,0,70.6,0,81.9,48.1,0
IV108RT,IV10 8RT,IV,100,0,100,0,0,0,0,19.2,18.7,15.8,20.7,0,18.7,0,0,1.1,1.1,0.9,1.2,0,1.1,0,0,0,0,0,6,0,0,66.2,0,66.2,0,0
IV108RW,IV10 8RW,IV,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IV108RX,IV10 8RX,IV,0,0,100,0,0,0,100,17.0,16.1,0.3,30.0,4.1,16.1,0,0,1.2,1.2,0.4,2.0,0.8,1.2,0,0,1,0,1,9,0,0,35.8,5.8,35.8,0,0
IV108RY,IV10 8RY,IV,0,0,100,0,0,0,100,18.2,15.8,8.2,19.1,8.2,15.8,0,0,1.1,1.0,0.7,1.2,0.7,1.0,0,0,0,0,1,5,0,0,38.2,6.9,38.2,0,0
IV108RZ,IV10 8RZ,IV,0,0,100,0,0,0,100,14.5,14.1,6.9,20.7,8.3,14.1,0,0,1.1,1.0,0.4,1.3,0.9,1.0,0,0,0,0,4,15,0,0,53.7,46.2,47.6,0,0
IV108SA,IV10 8SA,IV,100,0,100,0,0,0,0,54.9,43.5,22.3,54.9,0,22.5,51.9,0,10.0,7.1,1.1,10.0,0,1.2,10.0,0,0,0,0,2,5,0,25.2,0,22.9,26.1,0
IV108SB,IV10 8SB,IV,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IV108SD,IV10 8SD,IV,62,0,100,0,0,8,38,15.7,15.0,7.2,23.6,7.8,15.0,0,0,1.1,1.2,0.4,4.7,0.9,1.2,0,0,0,0,5,27,0,0,54.7,34.6,54.7,0,0
IV108SE,IV10 8SE,IV,53,0,100,0,0,0,47,14.5,15.1,6.6,21.6,7.5,15.1,0,0,1.1,1.3,0.8,2.7,1.0,1.3,0,0,0,0,2,12,0,0,102.3,238.7,102.3,0,0
IV108SF,IV10 8SF,IV,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IV108SG,IV10 8SG,IV,100,0,100,0,0,0,0,14.3,14.2,5.8,23.4,7.0,14.2,0,0,1.2,1.0,0.4,1.3,0.4,1.0,0,0,0,0,2,8,0,0,43.8,134.7,43.8,0,0
IV108SH,IV10 8SH,IV,5,0,100,0,40,70,95,7.3,11.0,1.9,61.9,5.4,8.4,61.9,0,1.0,1.5,0.4,12.9,0.9,0.9,12.9,0,1,6,6,7,1,0,82.6,77.9,82.3,129.4,0
IV108SJ,IV10 8SJ,IV,64,0,100,0,0,8,36,6.6,11.7,2.1,55.9,5.0,8.0,42.8,0,1.0,2.4,0.4,14.6,0.9,1.4,10.5,0,0,6,11,8,3,0,53.4,45.1,40.8,92.8,0
IV108SL,IV10 8SL,IV,0,0,80,0,27,73,100,3.2,3.5,2.4,5.9,3.5,3.5,0,0,0.4,0.6,0.4,1.2,0.6,0.6,0,0,0,13,2,0,0,0,46.9,46.9,46.9,0,0
IV108SN,IV10 8SN,IV,0,0,95,13,47,84,100,3.8,5.5,0.4,21.4,3.9,5.5,0,0,0.6,0.7,0.3,1.2,0.7,0.7,0,0,7,21,8,5,0,0,60.7,60.7,60.7,0,0
IV108SP,IV10 8SP,IV,26,0,100,0,0,0,74,17.3,18.0,1.4,40.2,6.4,16.1,34.3,0,1.2,1.7,0.1,7.4,0.8,1.5,4.4,0,1,3,9,64,9,0,48.6,25.5,47.0,63.8,0
IV108SQ,IV10 8SQ,IV,100,0,100,0,0,0,0,20.2,27.5,8.1,59.9,8.1,18.1,48.7,0,1.1,1.9,0.4,10.0,0.4,1.0,10.0,0,0,0,1,8,4,0,98.7,1.5,91.0,139.8,0
IV108SR,IV10 8SR,IV,97,0,100,0,0,0,3,14.3,13.3,4.5,17.5,7.8,13.3,0,0,1.2,1.2,0.8,2.1,1.0,1.2,0,0,0,1,4,24,0,0,130.0,98.0,130.0,0,0
IV108SS,IV10 8SS,IV,30,0,100,0,0,0,70,14.7,14.7,8.1,22.2,8.1,14.7,0,0,1.2,1.1,0.4,1.9,0.4,1.1,0,0,0,0,1,7,0,0,65.4,5.1,71.4,0,0
IV108ST,IV10 8ST,IV,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IV108SU,IV10 8SU,IV,100,0,100,0,0,0,0,22.5,30.0,5.4,79.9,7.6,17.3,55.6,0,1.2,3.6,0.4,16.9,0.4,1.1,11.7,0,0,0,5,11,8,0,106.0,10.2,45.9,226.1,0
IV108SW,IV10 8SW,IV,0,0,90,55,90,90,100,1.2,1.6,0.8,3.8,1.6,1.6,0,0,0.4,0.4,0.2,0.7,0.4,0.4,0,0,9,6,0,0,0,0,49.4,49.4,49.4,0,0
IV108SX,IV10 8SX,IV,100,0,100,0,0,0,0,21.1,26.8,1.1,78.4,6.1,15.5,55.6,0,1.2,4.4,0.3,20.0,0.5,1.3,11.8,0,1,0,4,13,7,0,57.5,13.2,33.4,119.6,0
IV108SY,IV10 8SY,IV,100,0,100,0,0,0,0,19.6,26.6,8.1,54.9,8.1,15.4,54.6,0,1.2,4.6,0.7,10.0,0,1.0,10.0,0,0,0,2,3,2,0,19.3,10.9,19.6,18.6,0
IV108SZ,IV10 8SZ,IV,100,0,100,0,0,0,0,21.6,26.7,8.1,54.9,8.1,19.1,51.8,0,1.2,2.9,0.4,10.0,0.4,1.1,10.0,0,0,0,2,21,7,0,83.9,49.2,57.9,169.4,0
IV108TA,IV10 8TA,IV,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IV108TB,IV10 8TB,IV,93,0,100,7,7,7,7,18.1,22.5,4.9,79.8,6.6,16.2,79.8,0,1.2,1.1,0.9,1.3,1.0,1.1,0,0,0,1,1,7,1,0,55.4,27.2,37.6,212.7,0
IV108TD,IV10 8TD,IV,100,0,100,0,0,0,0,21.6,26.3,3.1,54.9,3.1,16.7,40.6,0,1.2,4.4,0.9,10.0,0.9,1.1,9.3,0,0,1,0,5,4,0,163.4,135.1,174.0,147.6,0
IV108TE,IV10 8TE,IV,100,0,100,0,0,0,0,23.6,27.4,21.8,44.3,0,23.1,44.3,0,1.2,2.9,0.9,10.0,0,1.1,10.0,0,0,0,0,4,1,0,49.1,0,60.5,3.7,0
IV108TF,IV10 8TF,IV,92,0,100,0,0,0,8,21.7,26.3,8.1,79.7,8.1,18.8,67.3,0,1.2,1.1,0.4,1.3,0.4,1.1,0,0,0,0,2,9,2,0,42.6,0.1,37.4,68.8,0
IV108TG,IV10 8TG,IV,100,0,100,0,0,0,0,22.9,33.1,16.9,66.9,0,20.2,59.0,0,1.2,1.1,0.8,1.2,0,1.1,0,0,0,0,0,6,3,0,45.3,0,30.0,75.9,0
