postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
KA106AA,KA10 6AA,KA,94,0,94,0,0,0,6,22.6,33.0,8.1,200.0,8.6,19.2,150.0,0,1.1,1.8,0.4,10.0,0.7,1.0,8.0,0,0,0,4,13,2,0,50.4,6.4,53.2,2.6,0
KA106AB,KA10 6AB,KA,100,0,100,0,0,0,0,21.4,37.5,8.1,200.0,8.1,18.9,76.1,0,1.2,3.2,0.4,12.0,0.4,1.0,10.0,0,0,0,1,26,13,0,138.2,0.0,83.9,238.4,0
KA106AG,KA10 6AG,KA,100,0,100,0,0,0,0,58.5,56.8,13.7,100.0,0,13.7,65.4,0,5.0,4.2,0.9,6.0,0,0.9,5.3,0,0,0,0,1,5,0,9.4,0,7.7,9.7,0
KA106AH,KA10 6AH,KA,100,0,100,0,0,0,0,39.4,62.6,3.7,200.0,3.7,15.6,109.7,0,1.2,5.0,0.8,12.0,0.8,0.9,11.0,0,0,1,0,2,3,0,58.9,2.8,10.7,107.2,0
KA106AJ,KA10 6AJ,KA,100,0,100,0,0,0,0,45.0,43.4,9.7,100.0,9.7,20.5,62.1,0,3.0,4.3,0.8,14.8,1.0,1.2,7.1,0,0,0,1,8,11,0,26.6,50.9,37.3,15.9,0
KA106AL,KA10 6AL,KA,100,0,100,0,0,0,0,23.6,50.7,7.0,200.0,7.6,20.7,113.7,0,1.3,3.7,0.4,12.0,0.7,1.1,9.2,0,0,0,2,19,10,0,79.5,9.9,110.4,14.8,0
KA106AN,KA10 6AN,KA,100,0,100,0,0,0,0,23.7,41.8,13.2,200.0,0,21.1,73.4,0,1.3,3.4,0.6,12.0,0,1.2,7.7,0,0,0,0,29,19,0,68.3,0,97.8,30.0,0
KA106AP,KA10 6AP,KA,100,0,100,0,0,0,0,22.9,36.1,2.6,100.0,5.4,19.6,69.0,0,1.2,2.6,0.2,10.0,0.6,1.0,7.5,0,0,1,1,16,9,0,142.6,36.9,134.6,197.5,0
KA106AQ,KA10 6AQ,KA,100,0,100,0,0,0,0,49.2,95.2,8.8,200.0,8.8,13.4,149.7,0,7.9,7.1,1.0,12.0,2.5,1.8,10.6,0,0,0,1,1,3,0,25.1,71.7,40.2,15.1,0
KA106AR,KA10 6AR,KA,98,0,100,2,2,2,2,24.0,50.1,10.1,200.0,0,20.7,81.2,0,1.3,4.5,0.4,20.0,0,1.0,9.0,0,0,0,0,18,17,0,101.9,0,120.9,71.5,0
KA106AS,KA10 6AS,KA,100,0,100,0,0,0,0,26.2,51.6,13.0,200.0,0,20.9,89.1,0,1.4,5.6,0.7,19.6,0,1.6,11.9,0,0,0,0,11,9,0,111.5,0,136.9,95.7,0
KA106AT,KA10 6AT,KA,100,0,100,0,0,0,0,51.6,61.4,11.9,200.0,0,20.0,88.9,0,8.2,6.1,0.8,12.0,0,0.9,9.8,0,0,0,0,8,12,0,69.7,0,64.8,77.6,0
KA106AU,KA10 6AU,KA,100,0,100,0,0,0,0,19.1,21.6,8.1,100.0,8.1,16.5,75.0,0,1.0,1.3,0.4,6.0,0.7,1.0,4.5,0,0,0,5,16,2,0,20.6,1.5,21.2,14.2,0
