postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
KT100AA,KT10 0AA,KT,100,0,100,0,0,0,0,38.3,47.4,5.9,200.0,7.4,15.8,73.1,0,3.0,4.8,0.5,15.0,1.1,1.7,7.7,0,0,0,2,11,16,0,137.3,117.0,84.8,176.6,0
KT100AB,KT10 0AB,KT,100,0,100,0,0,0,0,52.5,58.9,14.6,200.0,0,17.9,68.3,0,3.0,5.5,1.0,12.0,0,1.0,6.9,0,0,0,0,3,13,0,155.9,0,163.1,87.1,0
KT100AD,KT10 0AD,KT,100,0,100,0,0,0,0,51.3,69.8,6.4,200.0,6.4,19.1,104.6,0,6.0,5.8,0.8,12.0,1.1,2.7,8.4,0,0,0,1,10,16,0,257.4,76.6,192.2,323.2,0
KT100AE,KT10 0AE,KT,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KT100AF,KT10 0AF,KT,100,0,100,0,0,0,0,18.1,30.4,6.5,59.9,7.6,12.1,51.4,0,1.1,4.0,0.4,10.0,0.8,1.0,10.0,0,0,0,3,5,7,0,5.0,2.9,2.0,9.0,0
KT100AG,KT10 0AG,KT,100,0,100,0,0,0,0,54.9,58.4,14.7,79.9,0,14.7,65.7,0,9.2,7.3,0.7,10.0,0,0.7,9.4,0,0,0,0,1,6,0,200.8,0,196.9,201.5,0
KT100AH,KT10 0AH,KT,100,0,100,0,0,0,0,46.6,45.1,6.7,100.0,6.7,13.0,55.0,0,5.0,5.5,0.9,12.0,0.9,1.0,7.3,0,0,0,1,3,13,0,189.3,16.9,166.4,196.4,0
KT100AJ,KT10 0AJ,KT,100,0,100,0,0,0,0,39.8,56.3,8.1,200.0,8.6,14.7,87.5,0,3.0,4.4,0.4,12.0,1.1,1.6,6.8,0,0,0,2,10,16,0,138.0,4.0,106.5,141.9,0
KT100AL,KT10 0AL,KT,100,0,100,0,0,0,0,29.6,64.5,5.3,200.0,6.8,17.2,111.8,0,4.8,5.4,0.6,12.0,0.7,2.4,8.0,0,0,0,2,12,14,0,256.7,106.8,91.5,421.8,0
KT100AN,KT10 0AN,KT,100,0,100,0,0,0,0,50.0,77.5,7.5,200.0,7.7,13.6,111.7,0,3.0,5.6,0.9,12.0,1.0,1.2,8.1,0,0,0,2,6,15,0,189.3,43.2,155.5,203.2,0
KT100AP,KT10 0AP,KT,100,0,100,0,0,0,0,19.0,28.8,12.9,79.7,0,16.4,59.8,0,1.2,2.6,1.0,10.0,0,1.1,10.0,0,0,0,0,5,2,0,280.0,0,313.8,195.7,0
