postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
KW106AB,KW10 6AB,KW,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KW106RA,KW10 6RA,KW,98,0,100,0,0,0,2,8.1,11.9,2.2,53.8,7.5,8.7,40.8,0,3.3,3.7,0.3,10.0,0.4,1.5,8.1,0,0,4,37,4,5,0,37.9,29.4,29.9,110.6,0
KW106RH,KW10 6RH,KW,100,0,100,0,0,0,0,8.1,14.7,3.4,37.6,7.3,10.0,36.1,0,3.9,4.2,2.0,7.1,0,2.6,6.5,0,0,1,5,3,2,0,75.2,59.5,93.7,1.5,0
KW106RN,KW10 6RN,KW,50,0,100,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KW106RP,KW10 6RP,KW,92,0,100,0,0,0,8,40.0,34.9,6.1,79.8,7.6,7.6,56.8,0,8.9,6.0,0.4,10.0,0.4,0.4,9.6,0,0,0,4,0,5,0,37.8,39.8,39.8,36.2,0
KW106RQ,KW10 6RQ,KW,100,0,100,0,0,0,0,8.1,19.2,2.1,52.8,7.3,7.3,42.9,0,10.0,5.7,0.1,10.0,0.4,0.4,10.0,0,0,2,12,0,7,0,77.9,70.9,70.9,107.0,0
KW106RS,KW10 6RS,KW,100,0,100,0,0,0,0,24.0,30.6,6.2,80.0,7.7,7.7,53.5,0,10.0,9.5,8.4,10.0,0,0,9.5,0,0,0,5,0,5,0,189.0,73.0,73.0,304.9,0
KW106RU,KW10 6RU,KW,100,0,100,0,0,0,0,40.0,32.7,4.5,54.9,7.5,7.5,49.5,0,10.0,7.8,0.4,10.0,0.4,0.4,9.8,0,0,1,5,0,9,0,121.1,12.9,12.9,193.2,0
KW106RW,KW10 6RW,KW,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KW106RX,KW10 6RX,KW,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
