postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
KY102AA,KY10 2AA,KY,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KY102AB,KY10 2AB,KY,38,0,38,0,0,0,62,21.3,19.9,7.2,55.3,8.0,18.5,42.8,0,1.2,1.6,0.4,15.3,0.4,1.1,9.4,0,0,0,7,26,2,0,79.5,23.8,77.4,151.0,0
KY102AD,KY10 2AD,KY,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KY102AE,KY10 2AE,KY,88,0,88,0,0,0,13,19.1,17.5,8.1,20.4,8.1,17.5,0,0,1.2,1.2,1.1,1.3,0,1.2,0,0,0,0,1,7,0,0,127.6,2.1,127.6,0,0
KY102AF,KY10 2AF,KY,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KY102AG,KY10 2AG,KY,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KY102AH,KY10 2AH,KY,0,0,0,0,0,0,100,19.8,18.6,14.3,20.8,0,18.6,0,0,1.2,1.2,1.1,1.2,0,1.2,0,0,0,0,0,8,0,0,121.3,0,121.3,0,0
KY102AJ,KY10 2AJ,KY,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY102AL,KY10 2AL,KY,55,0,55,0,0,0,45,19.9,18.1,8.1,23.5,8.1,18.1,0,0,1.2,1.2,1.0,1.2,0,1.2,0,0,0,0,3,12,0,0,136.4,11.0,136.4,0,0
KY102AN,KY10 2AN,KY,71,0,71,0,0,0,29,18.0,17.0,7.3,22.2,7.3,17.0,0,0,1.2,1.1,0.4,1.3,0.4,1.1,0,0,0,0,1,5,0,0,32.6,47.1,32.6,0,0
KY102AP,KY10 2AP,KY,47,0,47,0,0,0,53,19.5,17.3,2.6,24.4,7.0,17.3,0,0,1.2,1.1,0.4,1.3,0.6,1.1,0,0,0,1,5,22,0,0,79.9,59.4,79.9,0,0
KY102AQ,KY10 2AQ,KY,88,0,88,0,0,0,13,14.0,20.2,8.1,55.0,8.1,13.2,55.0,0,1.2,0.9,0.4,1.2,0.4,0.9,0,0,0,0,3,2,1,0,159.8,47.3,103.2,442.8,0
KY102AR,KY10 2AR,KY,100,0,100,0,0,0,0,21.9,19.2,8.1,23.7,8.4,19.2,0,0,1.2,1.1,0.4,1.3,0.5,1.1,0,0,0,0,2,10,0,0,20.0,14.0,20.0,0,0
KY102AT,KY10 2AT,KY,100,0,100,0,0,0,0,20.8,18.1,8.1,23.9,8.1,18.1,0,0,1.2,1.1,0.4,1.2,0.4,1.1,0,0,0,0,5,14,0,0,125.8,47.7,125.8,0,0
KY102AU,KY10 2AU,KY,100,0,100,0,0,0,0,21.8,21.7,18.1,24.0,0,21.7,0,0,1.2,1.1,0.4,1.3,0,1.1,0,0,0,0,0,16,0,0,47.9,0,47.9,0,0
KY102AW,KY10 2AW,KY,90,0,90,0,0,0,10,21.4,29.1,7.7,55.0,7.7,18.7,55.0,0,1.2,2.5,0.4,10.0,0.4,1.1,10.0,0,0,0,1,4,2,0,56.3,106.4,69.2,24.2,0
KY102AX,KY10 2AX,KY,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KY102AY,KY10 2AY,KY,100,0,100,0,0,0,0,21.9,22.3,1.3,76.9,5.5,19.0,70.7,0,1.2,2.3,0.2,20.0,0.3,1.2,18.1,0,1,0,2,27,2,0,94.6,62.5,97.2,56.9,0
KY102AZ,KY10 2AZ,KY,73,0,73,0,0,0,27,21.9,21.9,6.0,80.0,7.6,18.6,62.1,0,1.2,1.7,0.4,20.0,0.4,1.1,13.2,0,0,0,6,30,3,0,166.7,115.9,147.6,383.4,0
KY102BA,KY10 2BA,KY,100,0,100,0,0,0,0,20.6,17.9,7.1,23.9,7.6,17.9,0,0,1.2,1.1,0.4,1.3,0.4,1.1,0,0,0,0,2,6,0,0,29.3,58.4,29.3,0,0
KY102BB,KY10 2BB,KY,98,0,98,0,0,2,2,19.1,16.9,6.1,22.0,7.8,16.9,0,0,1.2,1.1,0.4,1.2,0.7,1.1,0,0,0,0,8,24,0,0,75.4,71.9,75.4,0,0
KY102BD,KY10 2BD,KY,100,0,100,0,0,0,0,20.9,20.4,8.1,40.0,8.8,16.5,40.0,0,1.2,2.7,0.4,10.0,0.6,0.9,10.0,0,0,0,2,3,1,0,16.0,3.8,16.0,0,0
KY102BE,KY10 2BE,KY,0,0,0,0,0,0,100,20.6,18.9,7.1,24.0,8.0,18.9,0,0,1.2,1.1,0.4,1.3,0.4,1.1,0,0,0,0,7,51,0,0,101.8,47.0,101.8,0,0
KY102BG,KY10 2BG,KY,89,0,89,0,0,0,11,19.8,19.0,8.1,55.0,8.3,17.8,55.0,0,1.2,1.0,0.4,1.3,0.4,1.0,0,0,0,0,6,23,1,0,160.9,58.2,153.5,377.2,0
KY102BH,KY10 2BH,KY,58,0,58,0,0,0,42,18.2,16.5,3.1,21.8,5.9,16.5,0,0,1.2,1.0,0.4,1.3,0.7,1.0,0,0,0,1,2,15,0,0,89.7,29.0,89.7,0,0
KY102BJ,KY10 2BJ,KY,100,0,100,0,0,0,0,10.8,12.9,8.1,22.1,8.1,12.9,0,0,0.7,0.8,0.4,1.2,0.4,0.8,0,0,0,0,2,2,0,0,21.4,5.3,21.4,0,0
KY102BL,KY10 2BL,KY,100,0,100,0,0,0,0,22.0,20.9,6.5,31.1,6.5,20.0,31.1,0,1.2,1.4,0.7,4.3,0.7,1.1,4.3,0,0,0,1,10,1,0,87.4,0.5,61.2,323.1,0
KY102BN,KY10 2BN,KY,88,0,88,0,0,0,13,21.6,22.5,7.4,55.0,7.4,20.5,55.0,0,1.2,1.8,1.1,10.0,0,1.2,10.0,0,0,0,1,15,1,0,61.2,61.0,64.3,66.7,0
KY102BP,KY10 2BP,KY,0,0,0,0,0,0,100,19.7,16.4,3.6,24.4,6.5,16.4,0,0,1.2,1.0,0.1,1.2,0.3,1.0,0,0,0,1,2,7,0,0,131.1,6.8,131.1,0,0
KY102BQ,KY10 2BQ,KY,100,0,100,0,0,0,0,19.8,18.5,8.1,23.2,8.1,18.5,0,0,1.2,1.1,0.4,1.2,0.4,1.1,0,0,0,0,2,11,0,0,24.7,10.0,24.7,0,0
KY102BS,KY10 2BS,KY,100,0,100,0,0,0,0,8.1,11.3,0.3,22.5,5.9,11.3,0,0,0.8,0.8,0.4,1.3,0.6,0.8,0,0,1,0,3,2,0,0,11.7,6.9,11.7,0,0
KY102BT,KY10 2BT,KY,46,0,46,0,0,0,54,20.6,18.2,8.1,21.9,8.1,18.2,0,0,1.2,1.1,0.4,1.3,0.4,1.1,0,0,0,0,2,8,0,0,35.1,52.7,35.1,0,0
KY102BU,KY10 2BU,KY,100,0,100,0,0,0,0,21.3,22.3,8.0,40.0,8.0,17.9,40.0,0,1.2,2.8,0.4,10.0,0.4,0.9,10.0,0,0,0,1,3,1,0,36.3,0.5,43.2,8.8,0
KY102BW,KY10 2BW,KY,0,0,0,0,0,0,100,20.9,17.8,0.8,23.5,6.0,17.8,0,0,1.2,1.1,0.4,1.3,0.7,1.1,0,0,1,1,3,21,0,0,102.3,55.1,102.3,0,0
KY102BX,KY10 2BX,KY,0,0,0,0,0,0,100,21.2,19.0,8.1,24.4,8.1,19.0,0,0,1.2,1.1,0.4,1.3,0.4,1.1,0,0,0,0,4,20,0,0,67.9,10.0,67.9,0,0
KY102BZ,KY10 2BZ,KY,100,0,100,0,0,0,0,20.2,18.8,8.1,24.1,8.1,18.8,0,0,1.2,1.0,0.4,1.3,0,1.0,0,0,0,0,1,11,0,0,170.8,232.8,186.1,0,0
KY102DA,KY10 2DA,KY,0,0,0,0,0,0,100,18.1,15.7,5.1,21.4,6.8,15.7,0,0,1.2,1.0,0.4,1.2,0.4,1.0,0,0,0,0,3,9,0,0,162.3,106.1,162.3,0,0
KY102DB,KY10 2DB,KY,0,0,0,0,0,0,100,14.3,14.7,8.1,22.0,8.1,14.7,0,0,1.2,0.9,0.4,1.2,0.4,0.9,0,0,0,0,2,3,0,0,76.2,31.0,76.2,0,0
KY102DD,KY10 2DD,KY,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KY102DE,KY10 2DE,KY,0,0,0,0,0,0,100,14.3,13.2,4.1,20.7,6.6,13.2,0,0,1.1,1.0,0.4,1.2,0.7,1.0,0,0,0,1,3,9,0,0,133.4,9.6,133.4,0,0
KY102DF,KY10 2DF,KY,0,0,0,0,0,0,100,10.0,10.3,8.1,13.1,8.4,10.3,0,0,1.2,1.0,0.4,1.2,1.2,1.0,0,0,0,0,2,2,0,0,23.8,23.2,23.8,0,0
KY102DG,KY10 2DG,KY,0,0,0,0,0,0,100,8.1,8.6,6.5,10.6,7.3,8.6,0,0,1.0,1.0,1.0,1.1,1.0,1.0,0,0,0,0,3,2,0,0,45.3,69.1,45.3,0,0
KY102DH,KY10 2DH,KY,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
