postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
L100AD,L10 0AD,L,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L100AE,L10 0AE,L,100,0,100,0,0,0,0,50.0,61.1,2.5,200.0,3.3,3.3,70.0,0,6.0,7.3,0.7,20.0,0.7,0.7,8.5,0,0,2,0,0,13,0,57.6,9.2,9.2,61.3,0
L100AF,L10 0AF,L,100,0,100,0,0,0,0,17.0,23.9,1.6,66.2,2.7,2.7,45.1,0,0.8,2.9,0.3,20.0,0.6,0.6,7.0,0,2,5,0,0,7,0,38.7,35.5,35.5,42.5,0
L100AG,L10 0AG,L,100,0,100,0,0,0,0,50.0,60.4,0.7,200.0,2.5,4.3,82.8,0,3.0,4.7,0.4,12.0,0.7,0.7,6.4,0,2,7,0,1,25,0,102.6,55.2,49.9,126.1,0
L100AH,L10 0AH,L,100,0,100,0,0,0,0,75.0,88.1,1.5,200.0,2.4,2.4,105.2,0,4.5,5.6,0.7,12.0,0.7,0.7,6.6,0,1,1,0,0,10,0,69.7,15.3,15.3,80.6,0
L100AJ,L10 0AJ,L,100,0,100,0,0,0,0,50.0,50.0,2.6,120.0,3.0,13.6,70.3,0,6.0,5.1,0.4,12.0,0.6,2.5,6.6,0,0,5,0,5,18,0,87.2,19.1,77.2,103.3,0
L100AL,L10 0AL,L,100,0,100,0,0,0,0,45.0,51.4,0.6,200.0,2.5,4.0,88.8,0,3.0,4.6,0.3,14.8,0.6,1.0,7.0,0,5,8,1,1,19,0,107.7,61.8,67.0,99.8,0
L100AN,L10 0AN,L,100,0,100,0,0,0,0,66.1,82.3,2.4,200.0,3.4,7.5,94.8,0,6.0,6.8,0.7,20.0,0.8,0.8,7.8,0,0,2,1,1,24,0,109.7,62.4,47.5,128.0,0
L100AP,L10 0AP,L,100,0,100,0,0,0,0,52.5,70.9,2.3,200.0,3.4,6.7,106.6,0,4.5,5.3,0.2,12.0,0.5,0.8,7.8,0,0,4,0,1,9,0,121.0,216.4,173.3,91.9,0
L100AR,L10 0AR,L,100,0,100,0,0,0,0,50.0,49.3,0.8,200.0,3.4,6.9,78.1,0,3.0,4.0,0.3,12.0,0.7,1.2,6.1,0,3,7,4,3,25,0,128.9,52.9,105.1,153.5,0
L100AS,L10 0AS,L,100,0,100,0,0,0,0,5.3,16.1,1.9,55.0,4.4,4.4,51.2,0,0.8,2.6,0.2,10.0,0.7,0.7,10.0,0,1,6,5,0,4,0,32.6,28.7,28.7,44.4,0
L100AT,L10 0AT,L,100,0,100,0,0,0,0,27.7,36.0,1.5,100.0,3.5,3.5,68.6,0,1.9,2.4,0.2,6.0,0.6,0.6,4.1,0,2,3,2,0,7,0,88.8,96.7,96.7,99.8,0
L100AW,L10 0AW,L,100,0,100,0,0,0,0,60.0,81.4,1.3,200.0,2.7,2.7,99.9,0,8.0,7.6,0.6,20.0,0.7,0.7,9.3,0,1,2,1,0,17,0,108.4,86.7,86.7,127.5,0
L100AY,L10 0AY,L,100,0,100,0,0,0,0,50.0,62.7,2.6,200.0,3.6,7.7,79.6,0,3.0,5.7,0.8,19.0,0.8,0.8,7.2,0,0,3,0,1,13,0,174.2,133.5,104.6,197.4,0
L101LA,L10 1LA,L,100,0,100,0,0,0,0,55.0,70.7,4.1,200.0,5.3,5.3,84.9,0,4.5,4.9,0.5,12.0,0.8,0.8,5.9,0,0,1,4,0,23,0,177.3,26.8,26.8,207.3,0
L101LB,L10 1LB,L,100,0,100,0,0,0,0,50.0,59.3,3.0,200.0,3.4,3.4,101.2,0,1.9,3.9,0.8,12.0,0.8,0.8,7.0,0,0,3,0,0,4,0,81.7,70.9,70.9,110.1,0
L101LD,L10 1LD,L,0,0,0,0,0,0,0,4.2,13.8,1.2,39.9,3.5,5.6,38.3,0,0.6,2.3,0.4,8.5,0.6,1.1,8.4,0,2,8,1,1,4,0,98.1,58.2,88.4,151.7,0
L101LF,L10 1LF,L,100,0,100,0,0,0,0,45.0,59.1,2.5,200.0,4.1,8.0,100.0,0,2.0,4.0,0.4,12.0,0.7,0.8,7.2,0,0,5,1,2,10,0,115.9,30.9,31.7,193.0,0
L101LG,L10 1LG,L,100,0,100,0,0,0,0,40.0,51.4,2.1,200.0,4.5,6.1,83.7,0,3.0,4.1,0.6,12.0,0.8,0.8,6.6,0,0,4,5,1,14,0,149.4,103.3,93.4,189.4,0
L101LH,L10 1LH,L,100,0,100,0,0,0,0,40.0,48.4,5.2,150.0,5.5,5.5,74.1,0,2.5,5.3,0.5,20.0,0.7,0.7,8.0,0,0,0,3,0,5,0,186.3,267.6,267.6,137.5,0
L101LJ,L10 1LJ,L,100,0,100,0,0,0,0,50.0,53.7,4.6,152.0,4.9,4.9,65.9,0,3.0,4.4,0.8,12.0,1.0,1.0,5.2,0,0,1,1,0,8,0,111.9,32.8,32.8,105.9,0
L101LL,L10 1LL,L,100,0,100,0,0,0,0,50.0,39.8,4.1,100.0,5.4,7.9,55.8,0,3.0,2.8,0.8,10.0,0.8,0.9,4.0,0,0,2,3,1,12,0,80.7,126.2,117.9,62.1,0
L101LN,L10 1LN,L,100,0,100,0,0,0,0,50.0,61.3,0.4,200.0,3.7,7.1,91.0,0,3.0,4.5,0.4,12.0,0.7,1.5,6.2,0,2,4,3,2,20,0,154.5,76.6,73.4,199.9,0
L101LP,L10 1LP,L,100,0,100,0,0,0,0,50.0,73.2,3.6,200.0,4.4,5.8,97.2,0,6.0,5.7,0.4,12.0,0.7,0.7,7.4,0,0,7,3,1,31,0,152.9,69.2,69.2,191.0,0
L101LQ,L10 1LQ,L,100,0,100,0,0,0,0,50.0,66.5,1.8,200.0,4.5,6.2,89.1,0,3.0,5.1,0.4,12.0,0.9,1.0,6.7,0,1,3,4,1,24,0,163.3,93.8,84.0,189.4,0
L101LR,L10 1LR,L,100,0,100,0,0,0,0,50.0,72.1,2.0,200.0,3.1,3.1,98.0,0,3.0,5.0,0.6,12.0,0.7,0.7,6.6,0,0,5,1,0,16,0,126.1,84.2,84.2,132.4,0
L101LS,L10 1LS,L,100,0,100,0,0,0,0,35.0,51.2,1.5,200.0,3.0,3.0,93.3,0,1.0,3.4,0.4,12.0,0.7,0.7,6.5,0,2,5,0,0,8,0,223.7,150.9,150.9,223.9,0
L101LT,L10 1LT,L,100,0,100,0,0,0,0,40.0,47.9,1.1,200.0,2.3,2.3,68.9,0,3.0,4.3,0.6,12.0,0.8,0.8,6.0,0,2,4,0,0,13,0,189.9,53.1,53.1,287.9,0
L101LU,L10 1LU,L,100,0,100,0,0,0,0,50.0,76.5,2.8,200.0,3.8,3.8,127.4,0,3.0,5.2,0.7,12.0,0.8,0.8,8.3,0,0,6,1,0,10,0,91.2,123.9,123.9,75.8,0
L101LW,L10 1LW,L,100,0,100,0,0,0,0,1.2,3.1,1.0,8.1,3.1,3.1,0,0,0.4,0.6,0.4,0.9,0.6,0.6,0,0,3,1,1,0,0,0,1.6,1.6,1.6,0,0
L101LX,L10 1LX,L,100,0,100,0,0,0,0,40.0,47.8,2.6,152.0,4.6,4.6,74.8,0,3.0,4.5,0.6,12.0,0.8,0.8,7.1,0,0,3,2,0,8,0,267.9,75.2,75.2,431.9,0
L101NB,L10 1NB,L,100,0,100,0,0,0,0,44.6,58.1,0.2,200.0,3.0,9.3,92.3,0,3.0,4.6,0.4,12.0,0.8,1.8,6.6,0,3,3,2,6,20,0,139.4,92.5,164.1,128.9,0
L101ND,L10 1ND,L,100,0,100,0,0,0,0,40.0,50.7,2.6,100.0,2.8,8.5,76.0,0,2.5,3.2,0.6,6.0,0.7,0.8,4.6,0,0,2,0,1,5,0,141.0,269.6,182.8,140.5,0
L101NE,L10 1NE,L,100,0,100,0,0,0,0,18.2,28.0,1.5,100.0,2.5,10.0,70.0,0,1.8,2.5,0.6,6.0,0.6,1.7,4.0,0,2,2,0,3,3,0,69.4,57.5,74.8,56.7,0
L101NF,L10 1NF,L,100,0,100,0,0,0,0,50.0,54.4,0.7,200.0,2.2,6.3,88.7,0,3.0,3.7,0.4,12.0,0.6,1.1,5.5,0,3,4,0,3,14,0,129.4,24.5,195.3,82.3,0
L101NG,L10 1NG,L,100,0,100,0,0,0,0,17.2,21.3,0.2,51.9,3.1,3.1,39.5,0,0.8,4.5,0.6,10.0,0.7,0.7,9.5,0,3,13,0,0,16,0,127.1,72.2,72.2,187.1,0
L101NH,L10 1NH,L,100,0,100,0,0,0,0,3.4,16.5,0.4,45.9,2.4,9.5,37.4,0,0.8,3.3,0.4,8.9,0.7,2.2,7.6,0,8,19,0,12,13,0,127.7,79.5,119.7,167.3,0
L101NJ,L10 1NJ,L,100,0,100,0,0,0,0,50.0,47.6,4.0,100.0,4.4,4.4,80.0,0,3.0,3.2,0.7,6.0,0.8,0.8,5.0,0,0,3,0,0,4,0,87.9,79.4,79.4,94.2,0
L101NL,L10 1NL,L,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L102JA,L10 2JA,L,100,0,100,0,0,0,0,5.4,25.9,2.5,79.8,4.6,4.6,68.4,0,0.8,2.8,0.4,19.7,0.7,0.7,19.7,0,0,5,3,0,4,0,27.8,14.8,14.8,39.3,0
L102JD,L10 2JD,L,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L102JE,L10 2JE,L,100,0,100,0,0,0,0,50.0,68.5,1.7,200.0,4.2,4.2,86.9,0,3.0,5.6,0.8,12.0,0.8,0.8,6.9,0,1,1,2,0,14,0,121.0,106.0,106.0,125.3,0
L102JF,L10 2JF,L,100,0,100,0,0,0,0,35.0,51.5,3.8,200.0,5.3,5.3,78.4,0,5.5,5.2,0.4,20.0,0.7,0.7,8.1,0,0,3,4,0,12,0,174.2,171.5,171.5,181.3,0
L102JG,L10 2JG,L,100,0,100,0,0,0,0,79.6,83.0,0.4,200.0,4.4,4.4,104.9,0,6.0,7.2,0.7,20.0,1.0,1.0,8.9,0,1,2,2,0,18,0,158.9,166.9,166.9,157.1,0
