postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
LA105AA,LA10 5AA,LA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LA105AB,LA10 5AB,LA,100,0,100,0,0,0,0,20.7,31.3,8.1,79.8,8.1,18.1,54.9,0,1.0,1.0,0.9,1.3,0.9,1.0,0,0,0,0,1,8,5,0,124.4,0.3,164.9,67.8,0
LA105AD,LA10 5AD,LA,100,0,100,0,0,0,0,18.2,20.7,8.1,53.3,8.1,16.6,49.3,0,1.1,2.1,0.4,10.0,0.4,1.0,10.0,0,0,0,2,12,2,0,119.6,8.3,126.4,72.2,0
LA105AE,LA10 5AE,LA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LA105AF,LA10 5AF,LA,93,0,100,0,0,0,7,19.2,25.5,11.0,49.9,0,16.8,46.0,0,1.1,3.2,0.7,14.2,0,1.1,10.6,0,0,0,0,7,3,0,61.9,0,84.0,8.8,0
LA105AH,LA10 5AH,LA,100,0,100,0,0,0,0,22.2,24.7,8.1,54.9,8.1,20.3,54.9,0,1.2,2.3,0.4,10.0,0.4,1.0,10.0,0,0,0,1,6,1,0,135.2,7.9,157.9,77.0,0
LA105AJ,LA10 5AJ,LA,100,0,100,0,0,0,0,22.8,34.4,18.7,54.9,0,20.4,51.1,0,1.2,4.7,1.1,10.0,0,1.1,9.9,0,0,0,0,6,5,0,90.5,0,93.6,86.8,0
LA105AL,LA10 5AL,LA,100,0,100,0,0,0,0,18.7,17.1,12.2,19.8,0,17.1,0,0,1.1,1.0,0.8,1.1,0,1.0,0,0,0,0,0,5,0,0,8.0,0,8.0,0,0
LA105AN,LA10 5AN,LA,100,0,100,0,0,0,0,18.9,28.6,2.2,79.8,5.2,16.4,55.4,0,1.1,3.2,0.2,10.0,0.6,1.3,10.0,0,0,1,1,20,10,0,56.8,42.5,47.3,75.2,0
LA105AP,LA10 5AP,LA,100,0,100,0,0,0,0,18.9,24.9,10.0,54.9,0,16.5,49.9,0,1.1,2.7,1.0,10.0,0,1.1,10.0,0,0,0,0,9,3,0,132.0,0,116.8,177.6,0
LA105AQ,LA10 5AQ,LA,100,0,100,0,0,0,0,19.9,20.9,8.1,40.0,8.1,17.2,35.8,0,1.1,1.5,0.4,6.0,0.4,1.0,6.0,0,0,0,1,7,2,0,73.8,25.8,31.1,244.8,0
LA105AR,LA10 5AR,LA,100,0,100,0,0,0,0,20.0,27.2,4.3,79.9,4.3,17.1,49.5,0,1.1,2.7,0.4,10.0,0.4,1.0,8.8,0,0,1,0,10,5,0,103.2,26.0,76.7,161.6,0
LA105AS,LA10 5AS,LA,100,0,100,0,0,0,0,21.9,32.4,8.2,59.0,8.2,18.3,50.1,0,1.1,4.4,0.8,12.5,1.0,1.0,10.5,0,0,0,1,9,8,0,77.1,6.7,50.9,114.6,0
LA105AT,LA10 5AT,LA,100,0,100,0,0,0,0,37.2,39.2,15.9,70.3,0,18.3,60.1,0,1.1,6.6,1.1,20.0,0,1.1,15.0,0,0,0,0,3,3,0,172.0,0,15.6,328.5,0
LA105AU,LA10 5AU,LA,100,0,100,0,0,0,0,19.8,23.9,3.1,73.0,6.8,17.5,49.5,0,1.1,3.2,0.5,18.8,0.9,1.4,11.6,0,0,1,2,29,8,0,124.2,73.5,109.8,191.1,0
LA105AW,LA10 5AW,LA,100,0,100,0,0,0,0,21.4,32.1,13.4,79.7,0,19.1,50.5,0,1.1,4.6,0.8,18.5,0,1.8,11.2,0,0,0,0,17,12,0,75.8,0,39.5,109.9,0
LA105AY,LA10 5AY,LA,100,0,100,0,0,0,0,20.2,31.8,10.3,75.0,0,19.1,52.7,0,1.1,4.4,0.8,20.0,0,1.0,11.1,0,0,0,0,18,11,0,98.7,0,79.8,129.6,0
LA105AZ,LA10 5AZ,LA,96,0,100,0,0,0,4,20.0,27.2,1.4,54.9,4.8,16.9,43.3,0,1.1,3.4,0.3,10.0,0.4,0.9,7.9,0,1,0,1,12,9,0,131.5,8.4,86.0,202.1,0
LA105BA,LA10 5BA,LA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LA105BB,LA10 5BB,LA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LA105BD,LA10 5BD,LA,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA105BG,LA10 5BG,LA,100,0,100,0,0,0,0,16.4,17.2,10.0,25.8,10.0,17.2,0,0,1.0,2.8,0.8,8.4,0.8,2.8,0,0,0,0,1,3,0,0,2.0,1.6,2.0,0,0
LA105BH,LA10 5BH,LA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LA105BJ,LA10 5BJ,LA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LA105BL,LA10 5BL,LA,100,0,100,0,0,0,0,19.6,19.8,0.3,61.5,6.5,14.8,46.2,0,1.0,2.0,0.3,10.0,0.7,0.9,9.3,0,1,0,4,11,3,0,120.4,12.1,86.4,279.1,0
LA105BN,LA10 5BN,LA,100,0,100,0,0,0,0,20.5,27.6,4.9,80.0,7.6,15.6,72.8,0,1.1,2.2,0.3,20.0,0.6,0.9,20.0,0,0,1,5,9,4,0,37.1,4.3,27.9,77.9,0
LA105BQ,LA10 5BQ,LA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LA105BT,LA10 5BT,LA,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA105BU,LA10 5BU,LA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LA105BX,LA10 5BX,LA,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
