postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
LD15AB,LD1 5AB,LD,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LD15AD,LD1 5AD,LD,0,0,0,0,0,0,100,21.5,20.7,13.4,24.1,0,20.7,0,0,1.2,1.1,0.6,1.3,0,1.1,0,0,0,0,0,5,0,0,174.7,0,174.7,0,0
LD15AE,LD1 5AE,LD,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LD15AF,LD1 5AF,LD,100,0,100,0,0,0,0,11.1,22.6,8.9,53.9,9.2,10.7,48.7,0,1.1,3.6,0.8,14.3,0.9,1.1,10.7,0,0,0,3,8,5,0,61.1,5.8,54.4,99.0,0
LD15AL,LD1 5AL,LD,13,0,13,0,0,0,87,10.0,13.8,6.6,54.9,8.4,10.6,54.9,0,0.9,1.6,0.4,10.0,1.0,0.9,10.0,0,0,0,7,6,1,0,52.9,40.5,54.8,27.9,0
LD15BA,LD1 5BA,LD,100,0,100,0,0,0,0,13.6,26.0,2.7,79.9,6.9,10.0,58.1,0,1.1,3.2,0.4,20.0,0.8,0.9,12.5,0,0,2,6,8,8,0,118.3,91.0,112.1,139.1,0
LD15BB,LD1 5BB,LD,0,71,71,0,0,0,29,20.8,13.9,0.6,23.6,4.3,13.9,0,0,1.1,0.9,0.2,1.3,0.3,0.9,0,0,1,2,2,6,0,0,84.7,1.5,84.7,0,0
LD15BD,LD1 5BD,LD,0,13,12,0,0,0,88,18.6,18.5,8.1,23.4,8.1,18.5,0,0,1.2,1.0,0.4,1.3,0.4,1.0,0,0,0,0,1,12,0,0,69.8,29.4,69.8,0,0
LD15BE,LD1 5BE,LD,0,100,100,0,0,0,0,21.2,18.1,8.1,21.9,8.1,18.1,0,0,1.0,1.1,0.9,1.3,0.9,1.1,0,0,0,0,1,5,0,0,52.9,10.0,52.9,0,0
LD15BF,LD1 5BF,LD,100,0,100,0,0,0,0,13.8,24.2,6.4,77.6,7.3,12.3,54.2,0,1.1,4.1,0.6,20.0,0.9,1.0,13.9,0,0,0,4,21,10,0,139.9,102.2,91.2,232.2,0
LD15BG,LD1 5BG,LD,100,0,100,0,0,0,0,23.8,36.4,18.5,79.8,0,22.0,79.8,0,1.0,1.0,0.8,1.2,0,1.0,0,0,0,0,0,3,1,0,239.3,0,221.3,206.7,0
LD15BH,LD1 5BH,LD,100,0,100,0,0,0,0,21.1,24.8,1.5,79.8,7.5,16.6,57.4,0,1.2,2.5,0.3,10.0,0.6,1.1,10.0,0,1,0,9,22,8,0,61.1,6.9,32.8,174.3,0
LD15BJ,LD1 5BJ,LD,80,20,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LD15BL,LD1 5BL,LD,100,0,100,0,0,0,0,18.2,19.7,3.7,39.9,5.4,14.5,35.4,0,1.2,3.2,0.6,10.0,0.7,2.1,10.0,0,0,1,1,4,2,0,201.9,93.1,125.7,384.3,0
LD15BN,LD1 5BN,LD,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LD15BP,LD1 5BP,LD,100,0,100,0,0,0,0,20.1,24.4,5.6,54.9,5.6,17.6,45.0,0,1.2,3.3,1.0,10.0,1.0,1.1,10.0,0,0,0,1,5,2,0,247.6,14.5,16.5,940.9,0
LD15BQ,LD1 5BQ,LD,100,0,100,0,0,0,0,21.9,17.5,3.1,23.1,3.1,17.5,0,0,1.0,0.9,0.4,1.2,0.4,0.9,0,0,0,1,0,3,0,0,12.6,0.2,12.6,0,0
LD15BS,LD1 5BS,LD,100,0,100,0,0,0,0,16.2,27.7,9.0,69.6,9.0,13.8,69.6,0,1.0,0.9,0.4,1.2,1.0,0.9,0,0,0,0,1,2,1,0,101.6,43.1,19.4,348.1,0
LD15BT,LD1 5BT,LD,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LD15BU,LD1 5BU,LD,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LD15BW,LD1 5BW,LD,100,0,100,0,0,0,0,17.4,29.5,14.3,79.7,0,16.9,67.3,0,1.2,2.6,1.0,10.0,0,1.1,10.0,0,0,0,0,6,2,0,36.9,0,22.0,74.4,0
LD15BX,LD1 5BX,LD,100,0,100,0,0,0,0,17.1,18.5,6.5,53.9,8.4,15.5,41.6,0,1.1,1.8,0.7,8.8,0.9,1.3,7.8,0,0,0,5,18,3,0,79.6,17.7,75.5,130.7,0
LD15BY,LD1 5BY,LD,100,0,100,0,0,0,0,22.4,26.3,17.4,54.9,0,20.6,54.9,0,1.2,3.0,1.1,10.0,0,1.2,10.0,0,0,0,0,5,1,0,188.7,0,219.2,36.2,0
LD15BZ,LD1 5BZ,LD,100,0,100,0,0,0,0,11.6,22.6,4.5,79.9,7.6,9.6,56.5,0,1.1,4.0,0.9,20.0,1.0,1.1,15.9,0,0,1,7,5,5,0,108.3,89.0,70.9,172.1,0
LD15DA,LD1 5DA,LD,100,0,100,0,0,0,0,22.2,22.3,21.0,23.5,0,22.3,0,0,1.2,1.2,1.0,1.3,0,1.2,0,0,0,0,0,6,0,0,45.7,0,45.7,0,0
LD15DB,LD1 5DB,LD,100,0,100,0,0,0,0,19.5,20.1,18.1,23.8,0,20.1,0,0,1.0,1.0,0.8,1.2,0,1.0,0,0,0,0,0,5,0,0,86.5,0,86.5,0,0
LD15DD,LD1 5DD,LD,0,0,0,0,0,100,100,5.7,5.2,2.3,6.8,5.2,5.2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,4.6,4.6,4.6,0,0
LD15DE,LD1 5DE,LD,100,0,100,0,0,0,0,18.8,22.9,5.3,55.0,7.7,16.4,52.3,0,1.2,2.2,0.6,10.0,1.1,1.1,10.0,0,0,0,3,33,8,0,61.7,8.4,54.7,92.2,0
LD15DF,LD1 5DF,LD,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LD15DG,LD1 5DG,LD,0,0,0,0,0,0,100,20.8,19.8,8.1,24.0,8.1,19.8,0,0,1.0,1.1,0.8,1.2,0.9,1.1,0,0,0,0,1,8,0,0,76.0,0.0,76.0,0,0
LD15DH,LD1 5DH,LD,0,0,0,0,0,0,100,19.6,18.6,2.3,24.0,2.3,18.6,0,0,1.0,0.9,0.2,1.3,0.2,0.9,0,0,0,1,0,12,0,0,34.1,16.5,34.1,0,0
LD15DL,LD1 5DL,LD,67,0,67,0,0,0,33,21.0,23.6,8.2,79.8,8.2,20.1,59.8,0,1.1,1.1,0.4,1.2,1.0,1.1,0,0,0,0,1,20,2,0,78.1,1.7,84.6,19.4,0
LD15DP,LD1 5DP,LD,57,0,57,0,0,0,43,18.3,25.6,8.1,79.7,8.2,15.8,58.2,0,1.2,1.0,0.4,1.3,0.6,1.0,0,0,0,0,2,8,3,0,124.7,29.2,100.2,158.0,0
LD15DU,LD1 5DU,LD,6,0,6,0,0,0,94,19.1,17.9,3.1,24.4,6.4,17.9,0,0,1.1,1.1,0.8,1.3,0.9,1.1,0,0,0,1,1,13,0,0,124.8,57.4,124.8,0,0
LD15EB,LD1 5EB,LD,42,0,42,0,0,0,58,22.5,25.9,9.7,62.5,9.7,21.2,58.7,0,1.1,1.7,0.5,10.0,0.5,1.0,10.0,0,0,0,1,13,2,0,51.3,18.2,56.0,20.9,0
LD15ED,LD1 5ED,LD,0,0,0,0,0,0,100,6.6,5.9,2.6,10.1,5.2,5.9,0,0,1.1,1.0,0.9,1.1,1.0,1.0,0,0,0,3,3,1,0,0,52.7,57.7,52.7,0,0
LD15EE,LD1 5EE,LD,100,0,100,0,0,0,0,54.9,37.9,3.9,54.9,3.9,12.2,54.9,0,10.0,7.1,1.3,10.0,0,1.3,10.0,0,0,1,0,1,3,0,74.5,0,186.3,37.2,0
LD15EF,LD1 5EF,LD,100,0,100,0,0,0,0,19.2,26.7,13.6,54.9,0,17.3,54.9,0,1.2,3.3,0.7,10.0,0,1.0,10.0,0,0,0,0,3,1,0,263.8,0,122.0,689.3,0
LD15EG,LD1 5EG,LD,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LD15EH,LD1 5EH,LD,100,0,100,0,0,0,0,16.8,18.9,4.1,51.9,7.0,14.6,46.4,0,1.2,2.4,0.5,10.0,0.8,1.4,8.7,0,0,1,3,15,3,0,65.8,15.8,58.7,110.6,0
LD15EL,LD1 5EL,LD,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LD15ER,LD1 5ER,LD,57,0,57,0,0,0,43,16.4,19.1,8.1,54.9,8.1,15.1,54.9,0,1.1,1.9,0.4,10.0,0.4,0.9,10.0,0,0,0,2,7,1,0,170.4,26.7,190.9,5.9,0
LD15ES,LD1 5ES,LD,80,20,100,0,0,0,0,21.9,33.5,16.9,79.8,0,20.0,60.5,0,1.2,3.0,1.1,10.0,0,1.2,10.0,0,0,0,0,8,4,0,87.8,0,115.8,53.7,0
LD15ET,LD1 5ET,LD,0,0,0,0,0,0,100,20.3,17.8,7.4,24.4,7.8,17.8,0,0,1.1,1.1,0.4,1.4,0.8,1.1,0,0,0,0,5,16,0,0,69.3,15.0,69.3,0,0
LD15EW,LD1 5EW,LD,0,0,0,0,0,0,100,10.2,9.9,3.5,13.8,7.7,9.9,0,0,1.0,1.0,0.7,1.1,0.9,1.0,0,0,0,2,6,8,0,0,48.6,26.9,48.6,0,0
LD15EX,LD1 5EX,LD,0,0,0,0,0,0,100,12.2,11.1,4.7,16.0,7.3,11.1,0,0,1.0,1.0,0.8,1.1,1.0,1.0,0,0,0,1,3,7,0,0,218.7,184.7,218.7,0,0
LD15EY,LD1 5EY,LD,100,0,100,0,0,0,0,18.6,30.9,10.0,80.0,10.0,16.3,74.8,0,1.0,1.6,0.4,10.0,1.0,1.0,10.0,0,0,0,1,14,5,0,99.9,197.1,101.6,106.9,0
LD15HB,LD1 5HB,LD,0,0,0,0,0,0,100,11.8,10.6,1.2,16.9,6.5,10.6,0,0,1.1,1.0,0.4,1.2,1.0,1.0,0,0,1,4,8,19,0,0,60.8,60.3,60.8,0,0
LD15HE,LD1 5HE,LD,100,0,100,0,0,0,0,18.8,29.3,10.6,80.0,0,17.4,76.7,0,1.0,1.0,0.8,1.3,0,1.0,0,0,0,0,0,8,2,0,60.8,0,70.8,25.9,0
LD15HF,LD1 5HF,LD,47,3,50,0,0,0,50,22.0,23.9,0.8,79.7,6.2,19.6,58.2,0,1.2,1.4,0.3,10.0,0.5,1.1,10.0,0,1,0,2,21,3,0,118.5,43.9,125.8,42.1,0
LD15HG,LD1 5HG,LD,100,0,100,0,0,0,0,19.4,27.4,8.0,80.0,8.0,17.0,56.4,0,1.1,1.8,0.4,20.0,1.0,1.0,20.0,0,0,0,1,24,9,0,123.2,130.4,106.7,144.1,0
LD15HP,LD1 5HP,LD,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LD15HR,LD1 5HR,LD,100,0,100,0,0,0,0,16.4,19.6,7.5,54.9,7.5,16.1,54.9,0,1.0,2.0,0.8,10.0,0.8,1.0,10.0,0,0,0,1,9,1,0,99.2,26.3,101.4,64.4,0
LD15HS,LD1 5HS,LD,100,0,100,0,0,0,0,20.4,32.4,11.4,79.7,0,19.0,61.9,0,1.2,2.5,0.9,10.0,0,1.2,10.0,0,0,0,0,11,5,0,233.3,0,230.7,139.1,0
LD15HT,LD1 5HT,LD,100,0,100,0,0,0,0,20.6,27.9,2.3,79.7,4.5,17.8,59.2,0,1.1,2.8,0.4,20.0,0.7,1.3,11.2,0,0,1,1,26,9,0,93.5,2.3,76.6,146.2,0
LD15HU,LD1 5HU,LD,100,0,100,0,0,0,0,18.1,25.2,2.3,70.8,5.8,13.7,67.3,0,1.1,4.4,0.5,20.0,0.8,1.0,20.0,0,0,2,2,7,3,0,138.4,20.1,12.1,601.3,0
LD15HW,LD1 5HW,LD,100,0,100,0,0,0,0,18.9,31.8,3.1,79.8,3.1,15.9,63.6,0,1.2,2.9,0.8,10.0,0.8,1.1,10.0,0,0,1,0,7,4,0,284.2,82.3,186.5,479.6,0
LD15HY,LD1 5HY,LD,100,0,100,0,0,0,0,13.4,18.8,8.3,54.9,9.0,14.2,54.9,0,1.1,2.0,0.8,10.0,1.0,1.0,10.0,0,0,0,2,6,1,0,58.2,93.7,58.1,58.8,0
LD15LA,LD1 5LA,LD,100,0,100,0,0,0,0,19.6,25.6,0.3,73.7,6.0,14.6,58.7,0,1.1,2.1,0.4,10.0,0.8,1.0,10.0,0,1,0,4,10,5,0,92.9,9.9,76.5,142.0,0
LD15LB,LD1 5LB,LD,100,0,100,0,0,0,0,23.4,27.4,13.8,54.9,0,20.7,47.4,0,1.0,2.3,0.8,10.0,0,1.0,10.0,0,0,0,0,6,2,0,145.8,0,182.9,34.6,0
LD15LD,LD1 5LD,LD,100,0,100,0,0,0,0,21.6,26.9,3.1,54.9,3.1,16.5,51.2,0,1.2,3.7,0.7,10.0,1.0,1.1,9.9,0,0,1,0,6,3,0,92.7,8.3,76.5,130.7,0
LD15LE,LD1 5LE,LD,100,0,100,0,0,0,0,16.9,21.9,4.0,54.9,5.9,14.9,49.9,0,1.2,3.4,0.4,18.7,0.7,1.4,11.4,0,0,2,2,20,6,0,74.6,128.7,72.0,85.1,0
LD15LF,LD1 5LF,LD,100,0,100,0,0,0,0,10.4,15.6,0.8,54.9,4.0,7.7,54.9,0,1.0,2.3,0.2,10.0,0.6,0.8,10.0,0,1,1,1,2,1,0,55.6,14.7,20.8,229.6,0
LD15LJ,LD1 5LJ,LD,100,0,100,0,0,0,0,18.5,21.4,8.1,41.4,8.1,14.9,40.7,0,1.1,3.1,0.4,10.0,0.4,0.8,10.0,0,0,0,1,5,2,0,29.3,16.5,35.0,26.4,0
LD15LL,LD1 5LL,LD,100,0,100,0,0,0,0,19.1,20.0,11.0,40.0,0,18.6,40.0,0,1.0,1.0,0.8,1.3,0,1.0,0,0,0,0,0,14,1,0,162.3,0,140.3,17.6,0
LD15LN,LD1 5LN,LD,100,0,100,0,0,0,0,14.7,23.1,6.7,71.0,7.4,12.3,55.5,0,1.1,4.9,0.5,19.5,1.0,0.9,14.7,0,0,0,2,4,2,0,68.3,17.5,22.0,207.2,0
LD15LP,LD1 5LP,LD,100,0,100,0,0,0,0,14.1,16.8,6.7,39.9,6.7,12.9,39.9,0,1.1,1.0,0.7,1.2,1.1,1.0,0,0,0,0,1,5,1,0,35.9,38.0,36.0,35.4,0
LD15LQ,LD1 5LQ,LD,0,0,0,0,0,0,100,12.8,12.5,6.9,17.7,8.2,12.5,0,0,1.0,1.0,0.8,1.2,0.9,1.0,0,0,0,0,2,5,0,0,94.7,48.5,94.7,0,0
LD15LR,LD1 5LR,LD,100,0,100,0,0,0,0,19.6,20.9,9.8,35.9,9.8,17.9,35.9,0,1.0,1.9,0.7,7.0,0.7,0.9,7.0,0,0,0,1,4,1,0,190.2,353.1,226.3,9.9,0
LD15LS,LD1 5LS,LD,81,0,81,0,0,0,19,17.3,16.5,11.5,19.3,0,16.5,0,0,1.1,1.1,0.8,1.2,0,1.1,0,0,0,0,0,8,0,0,53.6,0,53.6,0,0
LD15LT,LD1 5LT,LD,0,0,0,0,0,0,100,12.1,12.2,5.6,18.2,8.2,12.2,0,0,1.0,1.0,0.6,1.2,0.9,1.0,0,0,0,0,5,9,0,0,137.8,141.3,137.8,0,0
LD15LU,LD1 5LU,LD,20,0,20,0,0,0,80,15.9,17.8,7.2,79.9,8.2,14.6,69.2,0,1.1,1.5,0.4,15.8,0.8,1.1,15.8,0,0,0,6,26,2,0,148.4,29.8,148.4,147.6,0
LD15LW,LD1 5LW,LD,100,0,100,0,0,0,0,17.3,26.2,9.7,74.7,9.8,16.0,61.9,0,1.1,4.1,0.8,20.0,1.0,1.0,14.8,0,0,0,2,12,4,0,89.4,51.8,44.2,230.5,0
LD15LY,LD1 5LY,LD,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LD15NA,LD1 5NA,LD,0,0,0,0,0,0,100,13.9,14.0,5.6,20.6,7.4,14.0,0,0,1.1,1.0,0.8,1.2,0.9,1.0,0,0,0,0,4,17,0,0,125.2,101.0,125.2,0,0
