postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
LE100AD,LE10 0AD,LE,100,0,100,0,0,0,0,21.9,22.0,19.9,24.3,0,22.0,0,0,1.1,1.1,1.0,1.3,0,1.1,0,0,0,0,0,4,0,0,36.6,0,36.6,0,0
LE100AE,LE10 0AE,LE,100,0,100,0,0,0,0,21.8,21.2,19.3,22.5,0,21.2,0,0,1.3,1.1,0.8,1.4,0,1.1,0,0,0,0,0,5,0,0,106.2,0,106.2,0,0
LE100AF,LE10 0AF,LE,100,0,100,0,0,0,0,11.3,50.9,4.3,200.0,7.4,8.9,104.4,0,1.1,4.1,0.7,12.0,1.1,1.0,8.1,0,0,2,6,6,11,0,153.1,201.9,151.5,169.0,0
LE100AG,LE10 0AG,LE,67,0,67,0,0,0,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LE100AH,LE10 0AH,LE,100,0,100,0,0,0,0,24.0,50.0,17.7,200.0,0,22.0,82.3,0,1.3,3.0,0.8,12.0,0,1.1,5.2,0,0,0,0,15,13,0,183.3,0,187.3,178.7,0
LE100AJ,LE10 0AJ,LE,100,0,100,0,0,0,0,24.0,56.6,7.1,200.0,7.1,21.0,95.0,0,1.3,3.8,0.2,12.0,0.2,1.0,6.8,0,0,0,1,13,13,0,210.8,24.5,244.9,174.0,0
LE100AL,LE10 0AL,LE,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LE100AN,LE10 0AN,LE,100,0,100,0,0,0,0,22.0,20.8,16.7,23.9,0,20.8,0,0,1.1,1.1,0.8,1.2,0,1.1,0,0,0,0,0,5,0,0,160.0,0,160.0,0,0
LE100AP,LE10 0AP,LE,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LE100AQ,LE10 0AQ,LE,100,0,100,0,0,0,0,50.0,51.0,1.5,200.0,4.4,18.8,74.7,0,3.0,3.1,0.7,12.0,0.8,1.1,4.6,0,1,0,1,9,15,0,146.0,10.3,103.1,179.8,0
