postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
LL111AG,LL11 1AG,LL,67,0,67,0,0,0,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LL111AH,LL11 1AH,LL,57,0,57,0,0,0,43,15.8,17.4,6.2,39.8,8.1,14.2,39.8,0,1.1,1.0,0.6,1.2,0.7,1.0,0,0,0,0,2,5,1,0,18.8,48.7,20.8,22.0,0
LL111AL,LL11 1AL,LL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LL111AP,LL11 1AP,LL,38,0,38,0,0,0,63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LL111AT,LL11 1AT,LL,0,0,0,0,0,0,100,18.8,17.1,8.1,22.7,8.1,17.1,0,0,1.2,1.1,0.9,1.3,0.9,1.1,0,0,0,0,1,3,0,0,87.4,0.0,87.4,0,0
LL111BA,LL11 1BA,LL,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL111BB,LL11 1BB,LL,77,0,77,0,0,0,23,17.0,26.9,8.1,79.8,8.1,13.7,66.5,0,1.0,1.0,0.4,2.0,0.8,0.9,2.0,0,0,0,4,5,3,0,25.9,7.9,16.2,51.7,0
LL111BD,LL11 1BD,LL,13,0,12,0,0,0,88,20.6,17.9,8.5,24.4,8.5,17.9,0,0,1.0,0.9,0.4,1.2,0.9,0.9,0,0,0,0,1,8,0,0,21.6,12.1,21.6,0,0
LL111BE,LL11 1BE,LL,0,0,0,0,0,0,100,21.3,18.2,8.1,24.4,8.1,18.2,0,0,1.1,1.1,0.9,1.4,1.0,1.1,0,0,0,0,2,8,0,0,35.0,65.8,35.0,0,0
LL111BG,LL11 1BG,LL,14,0,14,0,0,0,86,15.9,14.5,1.2,24.3,1.2,14.5,0,0,1.2,1.0,0.6,1.2,0,1.0,0,0,1,0,0,4,0,0,19.7,0,19.7,0,0
LL111BS,LL11 1BS,LL,100,0,100,0,0,0,0,19.1,25.1,14.3,39.9,0,17.7,39.9,0,1.2,1.2,1.0,1.2,0,1.2,0,0,0,0,0,4,2,0,26.0,0,24.3,29.4,0
LL111BT,LL11 1BT,LL,0,0,0,0,0,0,100,21.5,18.6,0.6,24.4,0.6,18.6,0,0,1.2,1.2,1.2,1.2,0,1.2,0,0,1,0,0,5,0,0,34.1,1.9,34.1,0,0
LL111BU,LL11 1BU,LL,0,0,0,0,0,0,100,8.1,13.6,3.0,24.4,7.9,13.6,0,0,0.4,0.8,0.3,2.8,0.5,0.8,0,0,0,1,35,24,0,0,11.1,4.4,11.1,0,0
LL111DY,LL11 1DY,LL,89,0,89,0,0,0,11,55.0,53.8,23.4,79.8,0,23.4,58.9,0,5.5,5.5,1.1,10.0,0,1.1,10.0,0,0,0,0,1,6,0,173.2,0,109.1,183.9,0
LL111EB,LL11 1EB,LL,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LL111EF,LL11 1EF,LL,100,0,100,0,0,0,0,39.9,37.0,5.1,68.6,5.1,15.7,51.2,0,1.6,5.4,0.4,18.9,0.4,1.0,9.8,0,0,0,1,7,12,0,211.7,51.1,104.0,288.6,0
LL111EH,LL11 1EH,LL,100,0,100,0,0,0,0,45.3,41.5,6.7,76.5,6.7,16.2,54.2,0,8.5,8.1,0.8,20.0,1.1,1.1,13.7,0,0,0,1,3,8,0,225.4,4.7,95.6,290.3,0
LL111EL,LL11 1EL,LL,100,0,100,0,0,0,0,19.1,29.8,2.4,65.3,6.2,15.8,58.0,0,1.2,4.5,0.1,20.0,0.5,1.0,12.9,0,0,1,2,15,9,0,178.3,69.4,131.0,213.6,0
LL111EP,LL11 1EP,LL,100,0,100,0,0,0,0,23.1,35.4,14.2,80.0,0,21.5,73.7,0,1.1,1.0,0.7,1.3,0,1.0,0,0,0,0,0,11,4,0,164.6,0,72.9,370.9,0
LL111EQ,LL11 1EQ,LL,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL111EW,LL11 1EW,LL,100,0,100,0,0,0,0,15.6,18.2,0.9,55.0,2.1,14.6,55.0,0,1.1,1.9,0.4,10.0,0.6,1.0,10.0,0,1,1,0,8,1,0,17.9,2.3,7.5,63.2,0
LL111HE,LL11 1HE,LL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LL111HF,LL11 1HF,LL,89,11,100,0,0,0,0,27.5,27.1,8.1,40.0,8.1,16.9,37.3,0,1.3,3.9,0.4,10.0,0.4,0.8,10.0,0,0,0,1,2,3,0,62.1,86.8,45.0,83.6,0
LL111HG,LL11 1HG,LL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LL111HH,LL11 1HH,LL,50,0,50,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LL111HR,LL11 1HR,LL,22,0,22,0,0,0,78,22.2,25.8,14.9,79.8,0,20.9,59.8,0,1.1,1.0,0.4,1.3,0,1.0,0,0,0,0,0,14,2,0,83.0,0,92.0,24.4,0
LL111LA,LL11 1LA,LL,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LL111LE,LL11 1LE,LL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LL111LF,LL11 1LF,LL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LL111LG,LL11 1LG,LL,83,17,100,0,0,0,0,24.1,32.0,8.1,79.8,8.1,13.4,59.9,0,1.0,4.0,0.9,10.0,1.0,1.0,10.0,0,0,0,2,1,2,0,43.5,7.5,7.5,79.5,0
LL111LH,LL11 1LH,LL,0,100,100,0,0,0,0,17.6,14.8,0.6,22.9,4.9,14.8,0,0,1.1,0.9,0.4,1.2,0.5,0.9,0,0,1,0,2,5,0,0,11.6,0.3,11.6,0,0
LL111LN,LL11 1LN,LL,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LL111LR,LL11 1LR,LL,0,86,86,0,0,0,14,21.9,21.2,16.5,24.4,0,21.2,0,0,1.1,1.1,0.8,1.2,0,1.1,0,0,0,0,0,4,0,0,76.0,0,76.0,0,0
LL111LS,LL11 1LS,LL,17,0,17,0,0,0,83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LL111LW,LL11 1LW,LL,33,67,100,0,0,0,0,16.7,16.2,8.1,24.0,8.1,16.2,0,0,0.9,0.9,0.8,1.2,0.9,0.9,0,0,0,0,2,4,0,0,82.5,0.4,75.9,0,0
LL111NA,LL11 1NA,LL,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
