postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
LN105DS,LN10 5DS,LN,0,0,100,0,0,100,100,6.8,6.0,2.6,7.4,6.0,6.0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0,0,0,4,15,0,0,0,98.6,98.6,98.6,0,0
LN105DT,LN10 5DT,LN,0,0,100,0,24,56,100,6.3,6.5,1.5,16.5,5.6,6.5,0,0,0.4,0.7,0.4,1.2,0.6,0.7,0,0,2,8,19,5,0,0,75.2,76.7,73.9,0,0
LN105DU,LN10 5DU,LN,0,0,96,0,0,100,100,5.4,5.1,1.1,8.1,5.1,5.1,0,0,0.4,0.5,0.4,1.1,0.5,0.5,0,0,2,8,12,0,0,0,60.2,60.2,60.2,0,0
LN105DX,LN10 5DX,LN,0,0,88,25,100,100,100,1.5,1.9,0.3,4.8,1.9,1.9,0,0,0.4,0.5,0.4,0.6,0.5,0.5,0,0,6,3,0,0,0,0,34.2,34.2,34.2,0,0
LN105DY,LN10 5DY,LN,0,0,93,0,3,100,100,6.8,5.8,0.2,8.1,5.8,5.8,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0,0,3,4,16,0,0,0,75.7,75.7,75.7,0,0
LN105DZ,LN10 5DZ,LN,0,0,100,0,0,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LN105EA,LN10 5EA,LN,0,0,100,0,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LN105EB,LN10 5EB,LN,0,0,100,100,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LN105ED,LN10 5ED,LN,0,0,100,100,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LN105EE,LN10 5EE,LN,0,0,100,50,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LN105EF,LN10 5EF,LN,0,0,50,100,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LN105EG,LN10 5EG,LN,0,0,100,100,100,100,100,1.6,1.5,0.8,2.0,1.5,1.5,0,0,0.4,0.4,0.3,0.4,0.4,0.4,0,0,3,1,0,0,0,0,23.6,23.6,23.6,0,0
LN105EJ,LN10 5EJ,LN,73,0,100,0,0,0,27,7.7,11.5,3.8,40.0,6.6,6.6,36.2,0,0.4,2.1,0.3,10.0,0.5,0.5,6.7,0,0,2,8,0,2,0,101.2,63.6,63.6,289.3,0
LN105EQ,LN10 5EQ,LN,0,0,100,0,0,7,100,8.1,9.1,5.5,18.7,7.5,9.1,0,0,0.4,0.6,0.4,1.1,0.6,0.6,0,0,0,0,9,2,0,0,84.9,64.8,84.9,0,0
LN105ER,LN10 5ER,LN,0,0,100,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LN105ES,LN10 5ES,LN,75,0,100,0,0,0,25,11.6,15.6,4.4,35.0,5.3,9.2,35.0,0,2.0,3.4,0.4,7.6,0.4,1.2,7.6,0,0,1,1,1,1,0,65.1,110.6,93.1,32.7,0
LN105ET,LN10 5ET,LN,100,0,100,0,0,0,0,34.4,29.7,2.5,55.0,6.2,11.9,47.5,0,10.0,6.8,0.4,10.0,0.4,0.4,10.0,0,0,1,2,1,4,0,103.4,44.1,45.6,161.3,0
LN105EX,LN10 5EX,LN,100,0,100,0,0,0,0,8.1,27.7,6.4,78.7,7.9,9.3,53.1,0,10.0,8.5,0.4,20.0,0.4,1.0,10.9,0,0,0,23,2,18,0,58.8,18.3,23.5,107.9,0
LN105EY,LN10 5EY,LN,100,0,100,0,0,0,0,15.0,26.4,8.1,53.1,8.1,9.8,48.6,0,10.0,9.2,6.9,10.0,0,6.9,10.0,0,0,0,3,1,3,0,360.1,242.8,200.0,573.5,0
LN105EZ,LN10 5EZ,LN,67,0,100,0,0,0,33,19.7,20.2,6.8,54.9,7.4,14.4,54.9,0,1.2,3.2,0.4,10.0,0.4,0.9,10.0,0,0,0,3,3,1,0,60.0,58.1,70.3,8.5,0
LN105HA,LN10 5HA,LN,0,0,100,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LN105HH,LN10 5HH,LN,88,0,100,0,0,0,13,8.1,17.7,0.9,54.9,6.7,9.2,47.4,0,4.9,5.1,0.4,10.0,0.4,1.0,9.2,0,1,0,5,1,2,0,20.8,18.3,18.7,28.1,0
LN105HJ,LN10 5HJ,LN,0,0,100,40,100,100,100,3.3,3.7,2.4,5.8,3.7,3.7,0,0,0.4,0.5,0.3,0.7,0.5,0.5,0,0,0,3,1,0,0,0,134.9,134.9,134.9,0,0
LN105HL,LN10 5HL,LN,33,0,100,0,17,17,67,7.0,6.7,2.2,13.0,5.1,6.7,0,0,0.8,0.8,0.4,1.1,0.8,0.8,0,0,0,3,3,2,0,0,71.1,92.4,71.1,0,0
LN105HN,LN10 5HN,LN,0,0,40,0,100,100,100,2.8,2.5,0.8,3.7,2.5,2.5,0,0,0.4,0.6,0.4,0.9,0.6,0.6,0,0,1,3,0,0,0,0,45.8,45.8,45.8,0,0
LN105HP,LN10 5HP,LN,7,0,100,0,93,93,93,4.2,4.0,0.8,7.0,4.0,4.0,0,0,0.8,0.7,0.4,0.9,0.7,0.7,0,0,3,15,5,0,0,0,46.2,46.2,46.2,0,0
LN105HR,LN10 5HR,LN,0,0,100,0,75,75,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LN105HS,LN10 5HS,LN,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LN105HT,LN10 5HT,LN,0,0,100,100,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LN105HW,LN10 5HW,LN,0,0,100,25,25,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LN106AA,LN10 6AA,LN,100,0,100,0,0,0,0,20.6,26.1,18.4,50.9,0,20.1,47.1,0,0.8,2.9,0.8,10.0,0,0.8,10.0,0,0,0,0,7,2,0,176.2,0,220.6,20.5,0
