postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
LS101AB,LS10 1AB,LS,0,0,0,0,100,100,100,3.2,3.4,0.3,10.3,3.2,3.4,0,0,0.8,0.8,0.3,1.0,0.8,0.8,0,0,2,26,0,1,0,0,38.6,38.6,38.6,0,0
LS101AD,LS10 1AD,LS,0,0,0,0,0,78,100,8.8,8.7,1.2,14.7,5.0,8.7,0,0,1.1,1.0,0.7,1.2,0.9,1.0,0,0,1,0,4,5,0,0,79.7,67.6,79.7,0,0
LS101AE,LS10 1AE,LS,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LS101AF,LS10 1AF,LS,0,0,0,0,0,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LS101AG,LS10 1AG,LS,86,0,86,0,0,14,14,8.9,18.6,6.7,50.0,8.2,8.2,50.0,0,1.0,1.9,0.4,5.0,0.8,0.8,5.0,0,0,0,3,0,1,0,8.4,5.7,5.7,16.3,0
LS101AL,LS10 1AL,LS,0,0,0,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LS101AP,LS10 1AP,LS,0,0,0,0,0,0,100,18.3,17.1,2.5,22.2,6.1,17.1,0,0,1.2,1.1,0.4,1.3,0.7,1.1,0,0,0,1,1,19,0,0,282.1,342.9,282.1,0,0
LS101AQ,LS10 1AQ,LS,0,0,0,0,0,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LS101AW,LS10 1AW,LS,8,0,8,0,0,8,92,14.2,13.1,4.2,19.6,7.1,13.1,0,0,1.1,1.0,0.8,1.2,1.0,1.0,0,0,0,1,2,3,0,0,57.6,58.8,57.6,0,0
LS101AX,LS10 1AX,LS,0,0,0,0,50,100,100,2.6,3.3,1.2,7.3,3.3,3.3,0,0,0.7,0.6,0.3,1.0,0.6,0.6,0,0,4,3,2,0,0,0,18.1,18.1,18.1,0,0
