postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
LU11AR,LU1 1AR,LU,100,0,100,0,0,0,0,26.8,47.5,1.1,200.0,3.7,18.1,76.9,0,1.3,3.1,0.1,12.0,0.4,1.0,5.8,0,1,1,1,18,21,0,275.1,82.9,289.8,261.1,0
LU11BB,LU1 1BB,LU,67,0,67,0,0,0,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LU11BE,LU1 1BE,LU,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LU11BH,LU1 1BH,LU,0,0,0,0,0,0,100,22.0,21.1,15.1,24.2,0,21.1,0,0,1.1,1.1,0.8,1.3,0,1.1,0,0,0,0,0,14,0,0,164.9,0,164.9,0,0
LU11BL,LU1 1BL,LU,0,0,0,0,0,0,0,17.9,24.5,8.1,55.0,8.1,15.7,55.0,0,0.8,2.0,0.7,10.0,0.8,0.9,10.0,0,0,0,1,6,2,0,147.3,167.1,158.7,180.2,0
LU11BN,LU1 1BN,LU,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LU11BP,LU1 1BP,LU,0,0,0,0,0,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LU11BT,LU1 1BT,LU,100,0,100,0,0,0,0,24.0,32.2,13.9,80.0,0,16.2,48.3,0,1.2,1.9,0.8,5.0,0,1.0,3.7,0,0,0,0,6,6,0,144.7,0,83.4,206.0,0
LU11BW,LU1 1BW,LU,100,0,100,0,0,0,0,50.0,46.8,0.6,80.0,4.3,13.5,67.6,0,1.3,3.4,0.4,20.0,0,1.0,6.8,0,1,0,1,8,16,0,92.9,0.1,107.4,84.2,0
LU11BX,LU1 1BX,LU,100,0,100,0,0,0,0,50.0,57.7,10.0,200.0,0,14.7,78.0,0,3.0,4.4,0.6,12.0,0,1.4,5.8,0,0,0,0,8,17,0,121.4,0,135.6,102.0,0
