postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
M111AA,M11 1AA,M,100,0,100,0,0,0,0,16.2,23.7,8.1,67.6,8.1,13.7,53.7,0,1.1,3.6,0.4,17.0,0.4,1.0,17.0,0,0,0,2,4,2,0,10.6,1.7,6.0,22.1,0
M111AD,M11 1AD,M,100,0,100,0,0,0,0,9.4,18.1,1.7,79.7,5.6,7.6,53.2,0,0.8,2.3,0.3,10.0,0.6,0.7,10.0,0,1,3,3,3,3,0,80.9,64.2,45.1,215.9,0
M111AE,M11 1AE,M,100,0,100,0,0,0,0,5.6,17.2,1.6,54.9,4.6,4.6,54.9,0,1.0,3.1,0.5,10.0,0.8,0.8,10.0,0,1,2,3,0,2,0,220.6,188.9,188.9,316.0,0
M111AF,M11 1AF,M,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M111AG,M11 1AG,M,100,0,100,0,0,0,0,40.0,37.9,4.5,79.9,5.5,8.1,62.8,0,5.6,7.5,0.8,20.0,1.0,1.0,14.0,0,0,2,1,2,6,0,207.1,206.1,341.2,107.4,0
M111AH,M11 1AH,M,100,0,100,0,0,0,0,40.0,41.9,6.3,79.7,6.7,6.7,68.3,0,1.1,3.2,0.8,10.0,1.0,1.0,10.0,0,0,0,3,0,4,0,355.5,140.4,140.4,516.8,0
M111AJ,M11 1AJ,M,83,0,100,0,0,0,17,7.9,11.6,3.0,27.4,6.3,11.6,0,0,0.9,2.2,0.8,6.2,0.9,2.2,0,0,0,1,2,1,0,0,416.7,86.8,416.7,0,0
M111AN,M11 1AN,M,100,0,100,0,0,0,0,11.8,21.1,1.8,79.9,6.3,10.2,60.2,0,1.0,2.5,0.3,19.9,0.8,0.9,12.5,0,1,1,7,16,7,0,210.1,108.3,200.3,250.3,0
M111AP,M11 1AP,M,100,0,100,0,0,0,0,5.5,22.0,1.4,78.7,4.1,4.1,57.8,0,0.8,4.3,0.6,20.0,0.8,0.8,15.0,0,1,2,3,0,3,0,76.7,43.2,43.2,115.7,0
M111AQ,M11 1AQ,M,100,0,100,0,0,0,0,7.6,16.4,0.7,54.9,5.7,5.7,45.0,0,1.1,3.4,0.3,10.0,0.9,0.9,10.0,0,1,2,5,0,3,0,167.9,151.1,151.1,194.6,0
