postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
ME101AA,ME10 1AA,ME,50,0,50,0,0,0,50,17.3,14.2,0.5,21.0,4.4,14.2,0,0,1.0,0.9,0.6,1.2,0.9,0.9,0,0,1,0,1,4,0,0,37.5,36.1,37.5,0,0
ME101AB,ME10 1AB,ME,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ME101AF,ME10 1AF,ME,100,0,100,0,0,0,0,19.3,25.4,17.1,53.8,0,19.2,46.9,0,1.2,2.2,0.9,10.0,0,1.1,10.0,0,0,0,0,7,2,0,28.8,0,27.6,33.1,0
ME101AG,ME10 1AG,ME,0,0,0,0,0,0,100,17.1,16.7,9.1,22.0,9.1,16.7,0,0,1.1,1.1,0.9,1.3,0.9,1.1,0,0,0,0,1,5,0,0,12.4,34.2,12.4,0,0
ME101AJ,ME10 1AJ,ME,100,0,100,0,0,0,0,50.0,49.8,39.9,69.1,0,0,49.8,0,3.0,3.0,3.0,3.0,0,0,3.0,0,0,0,0,0,5,0,88.1,0,0,88.1,0
ME101AL,ME10 1AL,ME,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ME101AN,ME10 1AN,ME,100,0,100,0,0,0,0,23.2,55.5,17.0,152.0,0,20.4,96.5,0,1.2,5.8,0.8,20.0,0,1.0,11.4,0,0,0,0,7,6,0,179.2,0,124.2,174.6,0
ME101AP,ME10 1AP,ME,100,0,100,0,0,0,0,30.9,37.4,0.3,100.0,0.3,14.9,60.0,0,1.1,1.9,0.8,6.0,0.8,1.1,6.0,0,1,0,0,4,5,0,104.3,5.1,94.0,55.2,0
ME101AR,ME10 1AR,ME,100,0,100,0,0,0,0,20.8,45.0,6.3,150.0,7.3,11.8,94.9,0,1.0,3.1,0.5,10.0,0.7,0.8,10.0,0,0,0,2,1,2,0,152.9,17.9,87.6,251.0,0
ME101AS,ME10 1AS,ME,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ME101AU,ME10 1AU,ME,100,0,100,0,0,0,0,24.0,44.7,5.0,152.0,5.0,20.8,70.6,0,2.2,3.4,0.3,12.0,0.3,1.2,5.7,0,0,0,1,12,12,0,99.1,172.0,175.4,47.1,0
ME101AW,ME10 1AW,ME,100,0,100,0,0,0,0,42.2,62.2,8.1,200.0,8.1,18.1,106.2,0,1.2,3.3,0.4,10.0,0.4,1.0,8.0,0,0,0,1,3,4,0,131.2,5.7,146.1,93.8,0
ME101AX,ME10 1AX,ME,100,0,100,0,0,0,0,39.9,60.4,16.7,200.0,0,20.9,96.6,0,2.5,4.6,0.8,20.0,0,1.2,8.1,0,0,0,0,11,12,0,195.6,0,178.2,211.6,0
ME101AY,ME10 1AY,ME,100,0,100,0,0,0,0,19.6,40.0,5.0,100.0,5.0,15.7,82.3,0,1.3,2.0,0.3,6.0,0.3,1.0,5.5,0,0,0,1,6,4,0,66.1,12.1,60.0,68.1,0
ME101BA,ME10 1BA,ME,100,0,100,0,0,0,0,35.6,57.2,6.9,200.0,6.9,16.4,98.1,0,3.0,5.5,0.7,20.0,0.7,2.0,9.4,0,0,0,1,7,8,0,198.2,57.8,181.0,205.6,0
ME101BB,ME10 1BB,ME,100,0,100,0,0,0,0,50.0,64.6,13.2,200.0,0,20.0,89.6,0,4.0,4.7,0.8,12.0,0,1.1,6.8,0,0,0,0,14,25,0,166.2,0,189.7,159.2,0
ME101BD,ME10 1BD,ME,100,0,100,0,0,0,0,73.9,94.8,50.0,200.0,0,0,94.8,0,6.0,8.1,3.0,20.0,0,0,8.1,0,0,0,0,0,7,0,113.5,0,0,113.5,0
ME101BE,ME10 1BE,ME,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ME101BF,ME10 1BF,ME,100,0,100,0,0,0,0,67.3,58.3,18.8,79.7,0,18.8,71.4,0,5.7,5.7,1.3,10.0,0,1.3,10.0,0,0,0,0,1,3,0,58.9,0,2.5,77.7,0
ME101BG,ME10 1BG,ME,100,0,100,0,0,0,0,19.7,26.7,15.9,54.9,0,19.7,54.9,0,1.3,3.3,0.8,10.0,0,1.1,10.0,0,0,0,0,4,1,0,267.1,0,116.7,718.1,0
ME101BH,ME10 1BH,ME,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ME101BJ,ME10 1BJ,ME,100,0,100,0,0,0,0,39.9,50.2,7.4,200.0,7.4,17.3,72.9,0,3.0,4.2,0.8,12.0,0,1.1,6.4,0,0,0,1,10,16,0,258.7,38.3,352.6,216.8,0
ME101BL,ME10 1BL,ME,100,0,100,0,0,0,0,50.0,78.3,6.3,200.0,8.7,11.6,122.8,0,3.0,5.4,0.8,12.3,1.0,1.1,8.4,0,0,0,4,12,24,0,242.3,355.1,335.6,210.8,0
ME101BN,ME10 1BN,ME,100,0,100,0,0,0,0,40.0,67.6,8.0,200.0,8.4,12.3,113.6,0,3.0,5.0,0.6,12.0,1.0,1.0,8.4,0,0,0,5,10,18,0,295.2,352.9,337.7,278.1,0
ME101BP,ME10 1BP,ME,100,0,100,0,0,0,0,14.8,53.2,6.5,200.0,6.5,12.9,120.3,0,1.2,3.5,0.7,12.0,0.8,1.0,7.8,0,0,0,1,9,6,0,239.8,439.1,326.2,110.3,0
ME101BQ,ME10 1BQ,ME,100,0,100,0,0,0,0,50.0,63.5,14.0,200.0,0,18.4,82.8,0,3.0,3.7,0.8,12.0,0,0.9,5.4,0,0,0,0,3,7,0,129.1,0,195.6,100.7,0
ME101BS,ME10 1BS,ME,100,0,100,0,0,0,0,21.8,53.4,5.0,200.0,7.5,16.4,94.4,0,1.7,3.8,0.3,12.0,0.7,1.0,6.9,0,0,0,3,17,18,0,155.3,172.8,194.4,120.5,0
ME101BT,ME10 1BT,ME,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ME101BU,ME10 1BU,ME,100,0,100,0,0,0,0,50.0,72.1,6.2,200.0,7.1,13.2,96.2,0,4.0,6.5,0.7,18.8,1.0,1.0,8.8,0,0,0,2,7,22,0,101.3,59.6,89.8,110.5,0
ME101BW,ME10 1BW,ME,100,0,100,0,0,0,0,45.0,59.0,14.3,200.0,0,17.8,92.0,0,3.0,3.9,0.8,12.0,0,1.0,6.4,0,0,0,0,8,10,0,203.9,0,246.2,203.8,0
ME101BX,ME10 1BX,ME,100,0,100,0,0,0,0,27.1,66.4,7.8,200.0,7.8,12.5,120.3,0,1.1,4.5,0.6,12.0,0.6,0.9,8.8,0,0,0,1,5,6,0,135.4,1.9,43.2,227.5,0
ME101BY,ME10 1BY,ME,100,0,100,0,0,0,0,27.6,60.1,4.8,200.0,7.4,10.2,110.0,0,1.2,4.3,0.8,12.0,0.9,0.9,8.2,0,0,1,3,3,7,0,156.1,139.1,173.2,157.4,0
ME101BZ,ME10 1BZ,ME,100,0,100,0,0,0,0,50.0,74.8,8.2,200.0,8.7,15.2,102.3,0,3.0,5.1,0.8,12.0,1.0,1.1,7.0,0,0,0,2,10,26,0,139.6,14.2,153.4,143.9,0
ME101DA,ME10 1DA,ME,100,0,100,0,0,0,0,54.9,81.8,4.5,200.0,6.3,12.5,116.4,0,6.0,6.3,0.4,12.0,0.6,1.2,8.9,0,0,1,1,3,10,0,126.9,65.2,50.3,170.0,0
ME101DB,ME10 1DB,ME,100,0,100,0,0,0,0,50.0,48.5,6.7,200.0,8.0,9.2,71.6,0,3.0,5.8,0.8,17.3,0.9,1.0,8.8,0,0,0,7,3,17,0,120.4,42.4,42.5,166.3,0
ME101DD,ME10 1DD,ME,100,0,100,0,0,0,0,54.9,95.7,14.3,200.0,0,14.3,105.9,0,10.0,7.6,0.8,12.0,0,0.8,8.5,0,0,0,0,1,8,0,84.4,0,65.2,86.8,0
ME101DF,ME10 1DF,ME,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ME101DG,ME10 1DG,ME,100,0,100,0,0,0,0,40.1,53.6,3.2,200.0,6.5,8.1,89.0,0,3.0,5.2,0.7,18.8,1.0,1.0,8.5,0,0,2,3,2,9,0,43.3,11.7,12.2,71.9,0
ME101DH,ME10 1DH,ME,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ME101DR,ME10 1DR,ME,100,0,100,0,0,0,0,28.2,44.6,4.4,200.0,6.2,18.5,71.9,0,1.3,4.6,0.7,20.0,0.8,1.5,9.4,0,0,1,1,19,20,0,156.9,5.9,138.3,183.9,0
ME101DT,ME10 1DT,ME,100,0,100,0,0,0,0,35.0,31.9,2.9,79.8,6.4,6.6,55.7,0,1.1,6.6,0.7,20.0,0.9,0.9,13.1,0,0,6,9,1,17,0,161.0,133.0,142.2,182.8,0
ME101DY,ME10 1DY,ME,100,0,100,0,0,0,0,24.2,57.1,8.1,200.0,8.1,18.6,104.5,0,1.3,4.3,0.8,16.5,1.1,1.1,8.2,0,0,0,1,15,13,0,205.9,7.6,199.9,226.0,0
ME101DZ,ME10 1DZ,ME,100,0,100,0,0,0,0,22.5,57.8,16.1,200.0,0,21.1,141.7,0,1.2,3.8,0.7,12.0,0,1.1,10.0,0,0,0,0,16,7,0,212.5,0,197.1,214.4,0
ME101EA,ME10 1EA,ME,100,0,100,0,0,0,0,49.0,41.3,22.3,54.9,0,22.4,50.7,0,3.0,4.0,0.9,10.0,0,1.0,5.5,0,0,0,0,2,4,0,191.3,0,290.3,188.4,0
ME101EB,ME10 1EB,ME,100,0,100,0,0,0,0,50.0,75.8,6.6,200.0,6.6,20.5,108.6,0,3.0,5.0,0.5,12.0,0.5,1.1,7.3,0,0,0,1,15,27,0,179.7,11.2,202.2,166.3,0
ME101EF,ME10 1EF,ME,100,0,100,0,0,0,0,54.9,74.4,19.9,200.0,0,21.9,97.8,0,3.0,5.4,0.8,12.0,0,1.0,7.3,0,0,0,0,4,9,0,157.3,0,60.9,200.2,0
ME101EG,ME10 1EG,ME,100,0,100,0,0,0,0,39.5,41.7,8.2,79.7,8.2,16.1,67.3,0,1.0,3.9,0.8,10.0,1.0,0.9,10.0,0,0,0,1,1,2,0,125.4,12.5,194.1,56.6,0
ME101EH,ME10 1EH,ME,100,0,100,0,0,0,0,50.0,72.6,20.0,200.0,0,21.9,95.6,0,3.0,4.6,0.8,12.0,0,1.1,6.3,0,0,0,0,5,11,0,131.6,0,205.2,98.2,0
