postcode,structured postcode,postcode area,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
MK100AB,MK10 0AB,MK,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MK100AG,MK10 0AG,MK,100,0,100,0,0,0,0,79.8,79.8,79.7,80.0,0,0,79.8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,188.9,0,0,188.9,0
MK100AQ,MK10 0AQ,MK,100,0,100,0,0,0,0,39.9,39.0,3.4,79.8,3.8,3.8,56.7,0,0.8,0.8,0.4,1.1,0.8,0.8,0,0,0,2,0,0,4,0,134.2,145.4,145.4,128.6,0
MK100AT,MK10 0AT,MK,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MK100AX,MK10 0AX,MK,100,0,100,0,0,0,0,3.7,20.6,0.3,79.8,2.8,2.8,60.3,0,0.6,1.4,0.4,18.8,0.7,0.7,18.8,0,9,20,0,0,13,0,142.0,56.1,56.1,268.8,0
MK100BA,MK10 0BA,MK,100,0,100,0,0,0,0,2.6,13.3,0.2,80.0,2.5,3.2,44.0,0,0.8,2.1,0.4,20.0,0.8,0.9,8.4,0,11,32,1,2,15,0,57.9,12.0,17.6,164.1,0
MK100BD,MK10 0BD,MK,100,0,100,0,0,0,0,49.0,49.5,2.3,80.0,3.9,3.9,63.8,0,1.0,8.5,0.4,20.0,0.9,0.9,18.1,0,0,3,2,0,16,0,86.9,31.0,31.0,117.1,0
MK100BN,MK10 0BN,MK,100,0,100,0,0,0,0,8.1,34.6,2.1,80.0,3.5,3.5,71.9,0,0.8,4.6,0.4,20.0,0.7,0.7,20.0,0,0,5,1,0,5,0,69.5,11.3,11.3,127.7,0
MK100BP,MK10 0BP,MK,0,100,100,0,0,0,0,3.3,3.2,2.7,3.9,3.2,3.2,0,0,0.9,0.9,0.9,1.0,0.9,0.9,0,0,0,7,0,0,0,0,54.6,54.6,54.6,0,0
MK100BT,MK10 0BT,MK,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MK100BY,MK10 0BY,MK,100,0,100,0,0,0,0,3.0,18.4,0.6,80.0,2.3,2.3,66.6,0,0.9,0.8,0.4,1.0,0.8,0.8,0,0,3,6,0,0,3,0,7.4,5.2,5.2,15.0,0
MK100BZ,MK10 0BZ,MK,100,0,100,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MK100DA,MK10 0DA,MK,0,0,0,0,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MK100DB,MK10 0DB,MK,100,0,100,0,0,0,0,3.5,3.3,2.3,4.1,3.3,3.3,0,0,0.9,0.8,0.4,1.1,0.8,0.8,0,0,0,6,0,0,0,0,17.9,17.9,17.9,0,0
MK100DE,MK10 0DE,MK,0,29,29,0,71,71,71,3.8,3.1,0.3,4.6,3.1,3.1,0,0,0.9,0.9,0.7,1.1,0.9,0.9,0,0,4,11,0,0,0,0,34.4,34.4,34.4,0,0
MK100DF,MK10 0DF,MK,0,100,100,0,0,0,0,5.1,20.5,2.5,50.4,4.0,4.0,45.2,0,7.0,7.0,1.1,12.9,1.1,1.1,12.9,0,0,2,1,0,2,0,4.8,0.8,0.8,6.8,0
MK100DG,MK10 0DG,MK,100,0,100,0,0,0,0,3.8,20.5,2.7,80.0,3.6,3.6,54.5,0,0.6,0.7,0.4,1.1,0.7,0.7,0,0,0,8,0,0,4,0,25.7,9.5,9.5,45.9,0
MK107AA,MK10 7AA,MK,100,0,100,0,0,0,0,39.9,27.8,1.1,64.3,2.8,3.3,49.4,0,6.7,7.7,0.4,20.0,0.7,0.9,14.5,0,2,12,0,1,17,0,212.9,100.5,97.2,319.3,0
MK107AB,MK10 7AB,MK,100,0,100,0,0,0,0,41.1,43.5,20.5,64.5,0,25.2,46.2,0,9.6,9.5,0.9,18.9,0,5.4,10.2,0,0,0,0,2,14,0,157.5,0,111.7,189.5,0
MK107AD,MK10 7AD,MK,100,0,100,0,0,0,0,49.0,42.4,0.8,63.6,1.0,10.5,49.7,0,10.0,9.8,0.6,17.7,0.7,4.0,11.6,0,2,0,0,1,13,0,75.0,11.7,84.4,75.3,0
MK107AE,MK10 7AE,MK,100,0,100,0,0,0,0,53.1,43.3,0.3,78.6,2.3,2.3,57.0,0,10.0,10.0,0.4,20.0,0.7,0.7,13.9,0,1,4,0,0,15,0,139.1,63.9,63.9,164.6,0
MK107AF,MK10 7AF,MK,100,0,100,0,0,0,0,54.9,34.1,2.0,67.5,2.7,2.7,60.2,0,10.0,8.4,0.4,20.0,0.6,0.6,15.0,0,1,4,0,0,6,0,143.2,98.9,98.9,194.8,0
MK107AG,MK10 7AG,MK,100,0,100,0,0,0,0,25.8,26.6,1.4,69.8,2.5,6.3,51.0,0,10.0,7.6,0.7,20.0,0.8,2.3,14.0,0,2,3,0,1,5,0,308.4,102.5,200.0,507.4,0
